"Profile","Id","Path","Slice Name","Alias(s)","Label","Min","Max","Must Support?","Is Modifier?","Is Summary?","Type(s)","Short","Definition","Comments","Requirements","Default Value","Meaning When Missing","Fixed Value","Pattern","Example","Minimum Value","Maximum Value","Maximum Length","Binding Strength","Binding Description","Binding Value Set","Code","Slicing Discriminator","Slicing Description","Slicing Ordered","Slicing Rules","Base Path","Base Min","Base Max","Condition(s)","Constraint(s)"
"Boolean","Boolean","Boolean","","","",0,*,"","","","null {[]} {[]}
","CH ALIS Data Type Boolean","Boolean (xs:boolean lexical space: allowed values are true, false, 1, 0)","","","","","","","","","",,,,,"",,,,"Base",0,*,"",""
"Boolean","Boolean.data","Boolean.data","","","",1,1,"","","","string {[]} {[]}
","Boolean (allowed values: true, false, 1, 0)","Boolean (allowed values: true, false, 1, 0)","","","","","","","","","",,,,,"",,,,"Boolean.data",1,1,"",""
"Date","Date","Date","","","",0,*,"","","","null {[]} {[]}
","CH ALIS Data Type Date","Date","","","","","","","","","",,,,,"",,,,"Base",0,*,"",""
"Date","Date.data","Date.data","","","",1,1,"","","","date {[]} {[]}
","Date","Date","","","","","","","","","",,,,,"",,,,"Date.data",1,1,"",""
"DateTime","DateTime","DateTime","","","",0,*,"","","","null {[]} {[]}
","CH ALIS Data Type DateTime","DateTime","","","","","","","","","",,,,,"",,,,"Base",0,*,"",""
"DateTime","DateTime.data","DateTime.data","","","",1,1,"","","","dateTime {[]} {[]}
","DateTime","DateTime","","","","","","","","","",,,,,"",,,,"DateTime.data",1,1,"",""
"Decimal","Decimal","Decimal","","","",0,*,"","","","null {[]} {[]}
","CH ALIS Data Type Decimal","Decimal","","","","","","","","","",,,,,"",,,,"Base",0,*,"",""
"Decimal","Decimal.data","Decimal.data","","","",1,1,"","","","decimal {[]} {[]}
","Decimal","Decimal","","","","","","","","","",,,,,"",,,,"Decimal.data",1,1,"",""
"Diagnosis","Diagnosis","Diagnosis","","","",0,*,"","","","null {[]} {[]}
","CH ALIS Leistungsschnittstelle - Diagnosis","3.20 (*)	Diagnose Optional ","","","","","","","","","",,,,,"",,,,"Base",0,*,"",""
"Diagnosis","Diagnosis.DiagnosisCode","Diagnosis.DiagnosisCode","","","",1,1,"","","","http://fhir.ch/ig/ch-alis-connect/StructureDefinition/Text {[]} {[]}
","3.20.1 (*)	Diagnosecode	Alphanum.	Diagnosecode [mind. 2 Zeichen, ICDx 5 Zeichen - abhängig von vereinbarter Codeversion, Originalschreibweise mit Punkten etc.]	Obligatorisch","3.20.1 (*)	Diagnosecode	Alphanum.	Diagnosecode [mind. 2 Zeichen, ICDx 5 Zeichen - abhängig von vereinbarter Codeversion, Originalschreibweise mit Punkten etc.]	Obligatorisch","","","","","","","","","",,,,,"",,,,"Diagnosis.DiagnosisCode",1,1,"",""
"Diagnosis","Diagnosis.DiagnosisSystem","Diagnosis.DiagnosisSystem","","","",1,1,"","","","http://fhir.ch/ig/ch-alis-connect/StructureDefinition/Text {[]} {[]}
","3.20.2 (*) Diagnosesystem	Alphanum.	CodeSystem der Diagnose z.B ICD, Tessinercode	Obligatorisch","3.20.2 (*) Diagnosesystem	Alphanum.	CodeSystem der Diagnose z.B ICD, Tessinercode	Obligatorisch","","","","","","","","","",,,,,"",,,,"Diagnosis.DiagnosisSystem",1,1,"",""
"Diagnosis","Diagnosis.DiagnosisVersion","Diagnosis.DiagnosisVersion","","","",0,1,"","","","http://fhir.ch/ig/ch-alis-connect/StructureDefinition/Text {[]} {[]}
","3.20.3 (*)	Version	Alphanum.	Version des Codesystems z.B. ICD-GM 2023	Optional (Empfehlung: Version angeben)","3.20.3 (*)	Version	Alphanum.	Version des Codesystems z.B. ICD-GM 2023	Optional (Empfehlung: Version angeben)","","","","","","","","","",,,,,"",,,,"Diagnosis.DiagnosisVersion",0,1,"",""
"Diagnosis","Diagnosis.DiagnosisConfidential","Diagnosis.DiagnosisConfidential","","","",0,1,"","","","http://fhir.ch/ig/ch-alis-connect/StructureDefinition/Boolean {[]} {[]}
","3.20.4 (*)	Vertraulichkeit	Boolean	Für XML 5.0, gemäss Forum Datenaustausch muss das ärztliche Personal über die Vertraulichkeit von Diagnosen entscheiden.	Optional","3.20.4 (*)	Vertraulichkeit	Boolean	Für XML 5.0, gemäss Forum Datenaustausch muss das ärztliche Personal über die Vertraulichkeit von Diagnosen entscheiden.	Optional","","","","","","","","","",,,,,"",,,,"Diagnosis.DiagnosisConfidential",0,1,"",""
"Diagnosis","Diagnosis.OnSetDateTime","Diagnosis.OnSetDateTime","","","",0,1,"","","","http://fhir.ch/ig/ch-alis-connect/StructureDefinition/DateTime {[]} {[]}
","3.20.5 (*)	Datum der Diagnose	XML-Format Datetime	Datum der Diagnosestellung falls nicht gleich wie Datum der Leistungserbringung (3.)	Optional","3.20.5 (*)	Datum der Diagnose	XML-Format Datetime	Datum der Diagnosestellung falls nicht gleich wie Datum der Leistungserbringung (3.)	Optional","","","","","","","","","",,,,,"",,,,"Diagnosis.OnSetDateTime",0,1,"",""
"Diagnosis","Diagnosis.Laterality","Diagnosis.Laterality","","","",0,1,"","","","http://fhir.ch/ig/ch-alis-connect/StructureDefinition/Text {[]} {[]}
","l|r|b","3.20.6 (*) Seitigkeit	Alphanum.	Werte = l,r,b	Optional","","","","","","","","","",,,,,"",,,,"Diagnosis.Laterality",0,1,"",""
