Source File	Size	loadResources	load	generateSnapshots	load-configure	scan	loadDepInfo	loadInfo	checkR4R4B	generateNarratives	validate	loadLists	checkConformanceResources	checkConformanceResources2	checkConformanceResources3	generateLogicalMaps	validateExpressions	scanForUsageStats	checkURLsUnique	processProvenanceDetails	generate1	generate2	generateLogicals	makeDependencies	generateExampleZip	generateValidationPack	scanProfilesForR5	scanExamplesForR5
/input/ch.fhir.ig.ch-alis-connect.json	11078	-	0	0	0	0	0	0	6	0	0	0	0	0	0	0	0	0	0	0	51	70	0	0	0	5	0	1
fsh-generated/resources/CodeSystem-LKAAT.json	998	1	0	0	0	0	0	0	0	3	0	0	0	0	1	0	0	0	0	0	5	12	0	0	0	1	0	0
fsh-generated/resources/CodeSystem-ch-alis-connect-paramtyp.json	2873	1	0	0	0	0	0	0	1	4	0	0	0	0	0	0	0	0	0	0	13	17	0	0	0	1	0	0
fsh-generated/resources/CodeSystem-ch-alis-connect-persontyp.json	1014	1	0	0	0	0	0	0	0	2	0	0	0	0	1	0	0	0	0	0	9	16	0	0	0	0	0	0
fsh-generated/resources/CodeSystem-swiss-medical-specialties.json	2377	1	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	8	15	0	0	0	1	0	0
fsh-generated/resources/ConceptMap-Alis2FhirDiagnosis.json	5357	1	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	10	9	0	0	0	0	0	0
fsh-generated/resources/ConceptMap-Alis2FhirParameterV40.json	5390	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	9	10	0	0	0	1	0	0
fsh-generated/resources/ConceptMap-Alis2FhirPersonV40.json	3268	2	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	6	9	0	0	0	0	0	0
fsh-generated/resources/ConceptMap-Alis2FhirService.json	17125	2	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	20	13	0	0	0	1	0	0
fsh-generated/resources/ConceptMap-Alis2FhirServiceAssignment.json	4622	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	9	9	0	0	0	1	0	0
fsh-generated/resources/ConceptMap-Alis2FhirSessionSectionB.json	3009	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	8	9	0	0	0	0	0	0
