Source File	Size	loadResources	load	generateSnapshots	load-configure	scan	loadDepInfo	loadInfo	checkR4R4B	generateNarratives	validate	loadLists	checkConformanceResources	checkConformanceResources2	checkConformanceResources3	generateLogicalMaps	validateExpressions	scanForUsageStats	checkURLsUnique	processProvenanceDetails	generate1	generate2	generateLogicals	makeDependencies	generateExampleZip	generateValidationPack	scanProfilesForR5	scanExamplesForR5
/fsh-generated/resources/ImplementationGuide-ch.fhir.ig.ch-allergyintolerance.json	13223	-	0	0	0	0	0	0	3	10	0	0	0	0	0	0	0	1	0	0	51	49	0	0	0	3	0	1
fsh-generated/resources/AllergyIntolerance-AllergyToCatDander.json	1928	4	0	0	1	0	0	0	1	658	0	0	0	0	0	0	0	0	0	0	18	12	0	0	0	0	0	0
fsh-generated/resources/AllergyIntolerance-CH-AllergyIntolerance-IPAG-Recommendation-Table-1.json	3772	4	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	16	11	0	0	0	0	0	0
fsh-generated/resources/AllergyIntolerance-CH-AllergyIntolerance-MultipleManifestationEntries.json	1947	4	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	13	11	0	0	0	0	0	0
fsh-generated/resources/AllergyIntolerance-CH-AllergyIntolerance-MultipleReactionEntries.json	2394	4	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	18	11	0	0	0	0	0	0
fsh-generated/resources/AllergyIntolerance-CH-AllergyIntolerance-Usecase-2.json	1761	4	0	0	0	0	0	0	1	2	0	0	0	0	0	0	0	0	0	0	13	11	0	0	0	0	0	0
fsh-generated/resources/AllergyIntolerance-CH-AllergyIntolerance-Usecase-3.json	2239	4	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	13	10	0	0	0	0	0	0
fsh-generated/resources/AllergyIntolerance-CH-AllergyIntolerance-Usecase-5.json	1941	3	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	13	12	0	0	0	0	0	0
fsh-generated/resources/AllergyIntolerance-CH-AllergyIntolerance-Usecase-6.json	1585	4	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	12	11	0	0	0	0	0	0
fsh-generated/resources/AllergyIntolerance-CH-AllergyIntolerance-Usecase-7.json	2434	4	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	13	11	0	0	0	0	0	0
fsh-generated/resources/AllergyIntolerance-CH-AllergyIntolerance-Usecase-8.json	763	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	11	10	0	0	0	0	0	0
fsh-generated/resources/AllergyIntolerance-ExAllergy.json	892	3	0	0	1	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	13	12	0	0	0	0	0	0
fsh-generated/resources/Bundle-ch-allergyintolerance-document-example.json	9460	5	3	0	0	0	0	0	1	8	0	0	0	0	0	0	0	0	0	0	27	18	0	0	0	0	0	0
