Source File	Size	load-configure	scan	loadDepInfo	loadInfo	load	generateSnapshots	checkR4R4B	generateNarratives	validate	loadLists	checkConformanceResources	checkConformanceResources2	checkConformanceResources3	generateLogicalMaps	validateExpressions	scanForUsageStats	checkURLsUnique	processProvenanceDetails	generate1	generate2	generateLogicals	makeDependencies	generateExampleZip	generateValidationPack	scanProfilesForR5	scanExamplesForR5
/input/ch.fhir.ig.ch-atc.xml	10448	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	72	89	0	0	0	2	0	1
/input/resources/searchparameter/AuditEvent-entity-identifier.xml	1391	0	0	0	0	0	0	0	26	0	0	0	0	0	0	0	0	0	0	9	16	0	0	0	0	0	0
/input/resources/structuredefinition/DocumentAuditEvent.xml	14719	0	0	0	0	0	260	0	0	0	0	2	0	0	0	0	3	0	0	565	4990	0	0	0	11	1	6
/input/resources/structuredefinition/PolicyAuditEvent.xml	12892	0	0	0	0	0	192	0	0	0	0	0	0	0	0	0	1	0	0	411	867	0	0	0	8	0	2
/input/resources/structuredefinition/AccessAuditTrailEvent.xml	7636	0	0	0	0	0	142	0	0	0	0	1	0	0	0	0	1	0	0	268	562	0	0	0	5	0	1
/input/resources/structuredefinition/HpdAuditEvent.xml	10521	0	0	0	0	0	271	0	0	0	0	0	0	0	0	0	2	0	0	451	890	0	0	0	10	0	2
/input/resources/structuredefinition/CH-ATC.ITI-81.Response.xml	5887	0	0	0	0	0	155	0	0	0	0	0	0	0	0	0	1	0	0	404	907	0	0	0	9	0	3
/input/resources/valueset/EprParticipant.xml	1886	0	0	0	0	0	0	0	143	0	0	0	0	0	0	0	0	0	0	10	3593	0	0	0	0	0	0
/input/resources/valueset/DocumentAuditEventType.xml	1628	0	0	0	0	0	0	0	7	0	0	0	0	0	0	0	0	0	0	7	71	0	0	0	0	0	0
/input/resources/valueset/PolicyAuditEventType.xml	1963	1	0	0	0	0	0	0	6	0	0	0	0	0	0	0	0	0	0	13	53	0	0	0	0	0	0
/input/resources/valueset/AccessAuditTrailEventType.xml	1267	0	0	0	0	0	0	0	6	0	0	0	0	0	0	0	0	0	0	5	33	0	0	0	0	0	0
/input/resources/valueset/HpdAuditEventType.xml	1250	0	0	0	0	0	0	0	6	0	0	0	0	0	0	0	0	0	0	6	26	0	0	0	1	0	0
/input/examples/auditevent/atc-doc-create-rep-pat.xml	4715	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	8	9	0	0	0	0	0	0
/input/examples/auditevent/atc-doc-read-ass-hpc.xml	5237	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	11	10	0	0	0	0	0	0
/input/examples/auditevent/atc-pol-create-acc-right.xml	3420	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	12	10	0	0	0	0	0	0
/input/examples/auditevent/atc-pol-create-rep.xml	2677	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	12	6	0	0	0	0	0	0
/input/examples/auditevent/atc-log-read.xml	2152	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	5	0	0	0	0	0	0
/input/examples/auditevent/atc-doc-search.xml	3548	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7	55	0	0	0	0	0	0
/input/examples/auditevent/atc-hpd-group-entry-notify.xml	3233	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7	6	0	0	0	0	0	0
/input/examples/bundle/ch-atc-iti-81-response-sample.xml	12753	0	0	0	0	115	0	0	6	0	0	0	0	0	0	0	0	0	0	18	10	0	0	0	0	0	0
