Source File	Size	load-configure	scan	loadDepInfo	loadInfo	load	generateSnapshots	checkR4R4B	generateNarratives	validate	loadLists	checkConformanceResources	checkConformanceResources2	checkConformanceResources3	generateLogicalMaps	validateExpressions	scanForUsageStats	checkURLsUnique	processProvenanceDetails	generate1	generate2	generateLogicals	makeDependencies	generateExampleZip	generateValidationPack	scanProfilesForR5	scanExamplesForR5
/input/ch.fhir.ig.ch-atc.xml	11254	0	0	0	0	0	0	6	0	0	0	0	0	0	0	0	1	0	0	114	91	0	0	1	5	0	1
/input/resources/searchparameter/AuditEvent-entity-identifier.xml	1391	1	0	0	1	0	0	0	61	0	0	0	0	0	0	0	0	0	0	20	16	0	0	0	0	0	0
/input/resources/structuredefinition/DocumentAuditEvent.xml	13733	0	0	0	0	0	315	0	0	0	0	0	0	0	0	0	6	0	0	1103	4126	0	0	0	37	0	4
/input/resources/structuredefinition/PolicyAuditEvent.xml	12015	1	0	0	0	0	199	0	0	0	0	1	0	0	0	0	3	0	0	854	2076	0	0	0	35	0	2
/input/resources/structuredefinition/AccessAuditTrailEvent.xml	6427	0	0	0	0	0	138	0	0	0	0	0	0	0	0	0	3	0	0	588	823	0	0	0	21	1	1
/input/resources/structuredefinition/HpdAuditEvent.xml	9659	0	0	0	0	0	183	0	0	0	0	1	0	0	0	0	4	0	0	926	987	0	0	0	35	0	2
/input/resources/structuredefinition/CH-ATC.ITI-81.Response.xml	5887	0	0	0	0	0	162	0	0	0	0	0	0	0	0	0	3	0	0	647	1061	0	0	0	22	0	1
/input/resources/valueset/EprParticipant.xml	1886	1	0	0	0	0	0	1	168	0	0	0	0	0	0	0	0	0	0	18	4552	0	0	0	1	0	0
/input/resources/valueset/DocumentAuditEventType.xml	1628	0	0	0	0	0	0	0	33	0	0	0	0	0	0	0	0	0	0	16	98	0	0	0	0	0	0
/input/resources/valueset/PolicyAuditEventType.xml	1963	0	0	0	0	0	0	0	15	0	0	0	0	0	0	0	0	0	0	18	73	0	0	0	1	0	0
/input/resources/valueset/AccessAuditTrailEventType.xml	1267	1	0	0	0	0	0	0	7	0	0	0	0	0	0	0	0	0	0	12	69	0	0	0	0	0	0
/input/resources/valueset/HpdAuditEventType.xml	1250	0	0	0	0	0	0	0	6	0	0	0	0	0	0	0	0	0	0	13	62	0	0	0	0	0	0
/input/examples/auditevent/atc-doc-create-rep-pat.xml	5289	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	16	13	0	0	0	0	0	1
/input/examples/auditevent/atc-doc-read-ass-hpc.xml	5774	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	16	13	0	0	0	0	0	0
/input/examples/auditevent/atc-pol-create-acc-right.xml	3997	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	13	12	0	0	0	0	0	0
/input/examples/auditevent/atc-pol-create-rep.xml	3216	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	12	9	0	0	0	0	0	0
/input/examples/auditevent/atc-log-read.xml	2702	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	12	10	0	0	0	0	0	0
/input/examples/auditevent/atc-doc-search.xml	4141	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	13	9	0	0	0	0	0	0
/input/examples/auditevent/atc-hpd-group-entry-notify.xml	3820	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	14	11	0	0	0	0	0	0
/input/examples/bundle/ch-atc-iti-81-response-sample.xml	12761	1	0	0	0	33	0	1	17	0	0	0	0	0	0	0	0	0	0	29	15	0	0	0	1	0	0
