Source File	Size	loadResources	load	generateSnapshots	load-configure	scan	loadDepInfo	loadInfo	checkR4R4B	generateNarratives	validate	loadLists	checkConformanceResources	checkConformanceResources2	checkConformanceResources3	generateLogicalMaps	validateExpressions	scanForUsageStats	checkURLsUnique	processProvenanceDetails	generate1	generate2	generateLogicals	makeDependencies	generateExampleZip	generateValidationPack	scanProfilesForR5	scanExamplesForR5
/fsh-generated/resources/ImplementationGuide-ch.fhir.ig.ch-core.json	45050	-	0	0	0	0	0	0	20	100	0	0	0	0	0	0	0	1	0	0	141	197	0	0	0	16	0	3
fsh-generated/resources/AllergyIntolerance-AllergyToCatDander.json	2058	9	0	0	1	0	0	0	1	812	0	0	0	0	0	0	0	0	0	0	15	24	0	0	0	0	0	0
fsh-generated/resources/Bundle-1-ZuweisungZurRadiologischenDiagnostik-FHIR.json	13879	10	34	0	0	0	0	0	2	63	0	0	0	0	0	0	0	1	0	0	32	41	0	0	0	0	0	0
fsh-generated/resources/Bundle-2-ResourceCrossReferencesDokument.json	14409	8	11	0	0	0	0	0	2	13	0	0	0	0	0	0	0	0	0	0	33	42	0	0	0	0	0	0
fsh-generated/resources/Claim-ClaimInpatientTreatmentPsychiatry.json	3517	6	0	0	0	0	0	0	1	7	0	0	0	0	0	0	0	0	0	0	17	29	0	0	0	0	0	1
fsh-generated/resources/Composition-ResourceCrossReferencesDokumentComposition.json	1941	4	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	17	16	0	0	0	0	0	0
fsh-generated/resources/Composition-ZuweisungZurRadiologischenDiagnostik.json	2990	5	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	17	15	0	0	0	0	0	0
fsh-generated/resources/Condition-Urticaria.json	1182	5	0	0	0	0	0	0	1	4	0	0	0	0	0	0	0	0	0	0	12	15	0	0	0	0	0	0
fsh-generated/resources/Consent-EncounterExcludedForEpr.json	1370	4	0	0	0	0	0	0	0	112	0	0	0	0	0	0	0	0	0	0	14	20	0	0	0	0	0	0
fsh-generated/resources/Consent-PatientHasEpr.json	1100	3	0	0	1	0	0	0	0	7	0	0	0	0	0	0	0	0	0	0	11	11	0	0	0	0	0	0
fsh-generated/resources/Coverage-ClaimCoverage.json	887	3	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	17	14	0	0	0	0	0	0
fsh-generated/resources/Coverage-CoverageBroennimann.json	793	3	0	0	0	0	0	0	0	7	0	0	0	0	0	0	0	0	0	0	16	11	0	0	0	0	0	0
fsh-generated/resources/DocumentReference-Docu.json	42364	5	0	0	0	0	0	0	1	1236	0	0	0	0	0	0	0	0	0	0	64	27	0	0	0	0	0	0
fsh-generated/resources/Encounter-EncounterAccidentBroennimann.json	3088	3	0	0	0	0	0	0	0	8	0	0	0	0	0	0	0	0	0	0	17	20	0	0	0	0	0	0
fsh-generated/resources/Encounter-EncounterAmbulantBroennimann.json	2558	4	0	0	0	0	0	0	0	6	0	0	0	0	0	0	0	0	0	0	15	14	0	0	0	0	0	0
fsh-generated/resources/Immunization-CHCoreImmunizationExample.json	1923	4	0	0	0	0	0	0	1	2	0	0	0	0	0	0	0	0	0	0	13	13	0	0	0	0	0	0
fsh-generated/resources/Immunization-ImmunizationEntry.json	2374	4	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	17	14	0	0	0	0	0	0
fsh-generated/resources/ImmunizationRecommendation-CHCoreImmunizationRecommendationExample.json	1805	4	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	12	20	0	0	0	0	0	0
fsh-generated/resources/MedicationAdministration-3-2-MedAdminFentanyl.json	3063	4	0	0	0	0	1	0	1	2799	0	0	0	0	0	0	0	0	0	0	17	22	0	0	0	0	0	0
fsh-generated/resources/MedicationDispense-2-4-MedDispBeloczok.json	4143	4	0	0	0	0	0	0	1	484	0	0	0	0	0	0	0	0	0	0	18	30	0	0	0	0	0	1
fsh-generated/resources/MedicationRequest-2-6-MedReqNorvasc.json	3728	4	0	0	1	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	18	26	0	0	0	0	0	0
fsh-generated/resources/MedicationStatement-1-1-MedStatTriatec.json	3298	4	0	0	0	0	0	0	1	4	0	0	0	0	0	0	0	1	0	0	17	29	0	0	0	0	0	0
fsh-generated/resources/Organization-ClaimBiller.json	774	4	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	10	12	0	0	0	0	0	0
fsh-generated/resources/Organization-ClaimProvider.json	654	3	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	15	10	0	0	0	0	0	0
fsh-generated/resources/Organization-GruppenpraxisCH.json	981	3	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	13	16	0	0	0	0	0	0
fsh-generated/resources/Organization-ImmunizationOrganizationExample.json	929	4	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	11	15	0	0	0	0	0	0
fsh-generated/resources/Organization-PhysiotherapieCH.json	558	3	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	10	14	0	0	0	0	0	0
fsh-generated/resources/Organization-Radiologieinstitut.json	795	4	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	10	15	0	0	0	0	0	0
fsh-generated/resources/Organization-SpitalSeeblick.json	791	3	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	11	14	0	0	0	0	0	0
fsh-generated/resources/Patient-ClaimPatient.json	760	3	0	0	1	0	0	0	0	46	0	0	0	0	0	0	0	0	0	0	12	16	0	0	0	0	0	0
fsh-generated/resources/Patient-ElisabethBroennimannByBFH.json	1676	4	0	0	0	0	0	0	1	6	0	0	0	0	0	0	0	0	0	0	14	18	0	0	0	0	0	0
fsh-generated/resources/Patient-FranzMuster.json	1780	3	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	15	17	0	0	0	0	0	0
fsh-generated/resources/Patient-ImmunizationPatientExample.json	908	4	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	11	16	0	0	0	0	0	0
fsh-generated/resources/Patient-ManuelaMuster.json	1629	3	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	12	16	0	0	0	0	0	0
fsh-generated/resources/Patient-MarvinMuster.json	1606	3	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	13	16	0	0	0	0	0	0
fsh-generated/resources/Patient-MaxMuster.json	4421	4	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	14	20	0	0	0	0	0	0
fsh-generated/resources/Patient-PersonEch011.json	6533	5	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	14	20	0	0	0	0	0	0
fsh-generated/resources/Patient-UpiEprTestKrcmarevic.json	3564	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	12	16	0	0	0	0	0	0
fsh-generated/resources/Practitioner-AgparMarc.json	369	6	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	9	13	0	0	0	0	0	0
fsh-generated/resources/Practitioner-AllzeitBereit.json	1097	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	12	15	0	0	0	0	0	0
fsh-generated/resources/Practitioner-HanspeterWengerByBFH.json	912	4	0	0	1	0	0	0	0	9	0	0	0	0	0	0	0	0	0	0	11	14	0	0	0	0	0	0
fsh-generated/resources/Practitioner-ImmunizationAuthorExample.json	1060	3	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	11	14	0	0	0	0	0	0
fsh-generated/resources/Practitioner-SchreibKraft.json	399	3	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	10	13	0	0	0	0	0	0
fsh-generated/resources/PractitionerRole-HPWengerRole.json	736	3	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	11	17	0	0	0	0	0	0
fsh-generated/resources/PractitionerRole-ImmunizationPractitionerRoleExample.json	397	4	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	10	15	0	0	0	0	0	0
fsh-generated/resources/PractitionerRole-SchreibKraftAtGruppenpraxisCH.json	344	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	11	16	0	0	0	0	0	1
fsh-generated/resources/RelatedPerson-BiologicalFather.json	1253	3	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	17	17	0	0	0	0	0	0
fsh-generated/resources/ServiceRequest-LabOrder.json	820	3	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	16	24	0	0	0	0	0	0
fsh-generated/resources/StructureDefinition-ch-core-address-ech-10.json	1743	4	0	116	0	0	0	0	1	43	0	0	0	0	0	0	0	1	0	0	111	1101	0	1	0	9	1	1
fsh-generated/resources/StructureDefinition-ch-core-address-ech-11-placeofbirth.json	2648	4	0	44	0	0	0	0	0	23	0	0	0	0	0	0	0	0	0	0	114	189	0	0	0	5	0	1
fsh-generated/resources/StructureDefinition-ch-core-address-ech-11-placeoforigin.json	2687	3	0	51	1	0	0	0	0	24	0	0	0	0	0	0	0	1	0	0	111	140	0	0	0	5	0	2
fsh-generated/resources/StructureDefinition-ch-core-address.json	11831	4	0	2	0	0	0	0	0	44	0	0	1	0	0	0	0	0	0	0	161	207	0	0	0	10	0	1
fsh-generated/resources/StructureDefinition-ch-core-ahvn13-identifier.json	1984	3	0	36	0	0	0	0	0	15	0	0	0	0	0	0	0	0	0	0	42	102	0	0	0	2	0	1
fsh-generated/resources/StructureDefinition-ch-core-allergyintolerance.json	6293	4	0	145	0	0	0	0	0	29	0	0	0	0	0	0	0	1	0	0	153	253	0	0	0	8	0	1
fsh-generated/resources/StructureDefinition-ch-core-ber-identifier.json	1985	3	0	34	0	0	0	0	0	13	0	0	0	0	0	0	0	0	0	0	43	99	0	0	0	2	0	0
fsh-generated/resources/StructureDefinition-ch-core-claim.json	15171	4	0	193	0	0	0	0	0	68	0	0	0	0	0	0	0	2	0	0	455	884	0	0	0	25	1	5
fsh-generated/resources/StructureDefinition-ch-core-composition-epr.json	8667	5	0	156	0	0	0	0	1	44	0	0	1	0	0	0	0	1	0	0	290	400	0	0	0	13	0	2
fsh-generated/resources/StructureDefinition-ch-core-composition.json	4624	5	0	1	0	0	0	0	0	30	0	0	0	0	0	0	0	1	0	0	200	282	0	0	0	11	0	0
fsh-generated/resources/StructureDefinition-ch-core-condition.json	4097	3	0	55	0	0	0	0	0	21	0	0	0	0	0	0	0	0	0	0	103	3225	0	0	0	7	0	1
fsh-generated/resources/StructureDefinition-ch-core-contactpoint-ech-46-email.json	3285	4	0	43	0	0	0	0	0	16	0	0	0	0	0	0	0	0	0	0	60	104	0	0	0	3	0	0
fsh-generated/resources/StructureDefinition-ch-core-contactpoint-ech-46-internet.json	3327	3	0	43	1	0	0	0	0	15	0	0	0	0	0	0	0	0	0	0	60	101	0	0	0	3	0	0
fsh-generated/resources/StructureDefinition-ch-core-contactpoint-ech-46-phone.json	3288	4	0	62	0	0	0	0	0	15	0	0	0	0	0	0	0	0	0	0	60	100	0	0	0	3	0	0
fsh-generated/resources/StructureDefinition-ch-core-coverage.json	3806	3	0	77	0	0	0	1	0	20	0	0	0	0	0	0	0	1	0	0	111	194	0	0	0	6	1	1
fsh-generated/resources/StructureDefinition-ch-core-document-epr.json	2361	3	0	558	0	0	0	0	0	65	0	0	1	0	0	0	0	3	0	0	581	776	0	0	0	33	0	3
fsh-generated/resources/StructureDefinition-ch-core-document.json	6464	4	0	4	0	0	0	0	1	54	0	0	0	0	0	0	0	2	0	0	583	1324	0	0	0	34	0	2
fsh-generated/resources/StructureDefinition-ch-core-documentreference.json	7049	4	0	168	0	0	0	0	0	20	0	0	0	0	0	0	0	1	0	0	168	387	0	1	0	9	0	1
fsh-generated/resources/StructureDefinition-ch-core-dosage.json	1586	3	0	41	0	0	0	0	0	14	0	0	0	0	0	0	0	0	0	0	67	164	0	0	0	4	1	0
fsh-generated/resources/StructureDefinition-ch-core-encounter.json	9440	4	0	33	0	0	0	0	0	41	0	0	1	0	0	0	0	1	0	0	232	332	0	0	0	13	0	1
fsh-generated/resources/StructureDefinition-ch-core-epr-consent.json	5335	4	0	59	0	0	0	0	0	19	0	0	0	0	0	0	0	1	0	0	179	272	0	0	0	12	0	0
fsh-generated/resources/StructureDefinition-ch-core-epr-spid-identifier.json	1934	4	0	10	0	0	0	0	0	7	0	0	0	0	0	0	0	0	0	0	40	84	0	0	0	5	0	1
fsh-generated/resources/StructureDefinition-ch-core-ext-entry-resource-cross-references.json	7015	3	0	30	1	0	0	0	2	21	0	0	0	0	0	0	0	0	0	0	155	188	0	0	0	7	0	0
fsh-generated/resources/StructureDefinition-ch-core-gln-identifier.json	2194	4	0	10	82	0	0	0	0	8	0	0	0	0	0	0	0	0	0	0	40	88	0	0	0	2	0	0
fsh-generated/resources/StructureDefinition-ch-core-humanname.json	6598	3	0	13	1	0	0	0	0	11	0	0	0	0	0	0	0	0	0	0	75	114	0	0	0	4	0	0
fsh-generated/resources/StructureDefinition-ch-core-immunization-recommendation.json	5130	4	0	40	0	0	0	0	0	12	0	0	0	0	0	0	0	1	0	0	98	155	0	0	0	5	0	1
fsh-generated/resources/StructureDefinition-ch-core-immunization.json	5910	3	0	90	0	0	0	0	0	15	0	0	0	0	0	0	0	0	0	0	140	296	0	0	0	10	0	1
fsh-generated/resources/StructureDefinition-ch-core-location.json	3588	4	0	16	0	0	0	0	0	17	0	0	0	0	0	0	0	1	0	0	165	260	0	0	0	11	1	0
fsh-generated/resources/StructureDefinition-ch-core-medication.json	3626	3	0	99	0	0	0	0	0	117	0	0	0	0	0	0	0	1	0	0	187	172	0	0	0	8	0	1
fsh-generated/resources/StructureDefinition-ch-core-medicationadministration.json	3736	4	0	36	1	0	0	0	0	20	0	0	1	0	0	0	0	0	0	0	118	168	0	0	0	7	0	0
fsh-generated/resources/StructureDefinition-ch-core-medicationdispense.json	4521	4	0	43	0	0	0	0	0	24	0	0	0	0	0	0	0	1	0	0	124	184	0	0	0	7	0	1
fsh-generated/resources/StructureDefinition-ch-core-medicationrequest.json	3422	4	0	50	0	0	0	0	1	14	0	0	0	0	0	0	0	0	0	0	148	232	0	0	0	10	0	0
fsh-generated/resources/StructureDefinition-ch-core-medicationstatement.json	3311	3	0	31	0	0	0	0	0	10	0	0	0	0	0	0	0	0	0	0	88	146	0	0	0	5	0	1
fsh-generated/resources/StructureDefinition-ch-core-organization-epr.json	1137	3	0	52	0	0	0	0	0	17	0	0	0	0	0	0	0	1	0	0	148	280	0	0	0	8	0	0
fsh-generated/resources/StructureDefinition-ch-core-organization.json	6713	4	0	1	1	0	0	0	0	18	0	0	0	0	0	0	0	1	0	0	184	272	0	0	0	11	0	1
fsh-generated/resources/StructureDefinition-ch-core-patient-ech-11-placeofbirth.json	1233	3	0	9	0	0	0	0	0	7	0	0	0	0	0	0	0	0	0	0	26	64	0	0	0	1	1	0
fsh-generated/resources/StructureDefinition-ch-core-patient-ech-11-placeoforigin.json	1931	4	0	8	0	0	0	0	0	7	0	0	0	0	0	0	0	0	0	0	37	66	0	0	0	3	0	0
fsh-generated/resources/StructureDefinition-ch-core-patient-epr.json	1991	3	0	81	0	0	0	0	0	21	0	0	1	0	0	0	0	2	0	0	246	528	0	0	0	14	0	2
fsh-generated/resources/StructureDefinition-ch-core-patient.json	17298	5	0	3	0	0	0	0	0	31	0	0	0	0	0	0	0	1	0	0	361	612	0	0	0	20	0	1
fsh-generated/resources/StructureDefinition-ch-core-practitioner-epr.json	1200	3	0	50	1	0	0	0	0	14	0	0	0	0	0	0	0	1	0	0	146	317	0	0	0	7	0	1
fsh-generated/resources/StructureDefinition-ch-core-practitioner.json	7495	4	0	2	0	0	0	0	0	19	0	0	0	0	0	0	0	1	0	0	181	309	0	0	0	12	0	1
fsh-generated/resources/StructureDefinition-ch-core-practitionerrole-epr.json	1915	3	0	35	0	0	0	0	0	11	0	0	0	0	0	0	0	0	0	0	82	144	0	0	0	4	1	1
fsh-generated/resources/StructureDefinition-ch-core-practitionerrole.json	2296	4	0	1	0	0	0	0	0	10	0	0	0	0	0	0	0	0	0	0	89	142	0	0	0	5	0	0
fsh-generated/resources/StructureDefinition-ch-core-quantity-with-emed-units.json	1122	3	0	12	0	0	0	0	0	7	0	0	0	0	0	0	0	0	0	0	38	88	0	0	0	1	0	0
fsh-generated/resources/StructureDefinition-ch-core-range-with-emed-units.json	1155	3	0	9	1	0	0	0	0	7	0	0	0	0	0	0	0	0	0	0	30	74	0	0	0	2	0	0
fsh-generated/resources/StructureDefinition-ch-core-relatedperson.json	4106	4	0	22	0	0	0	0	0	24	0	0	1	0	0	0	0	1	0	0	159	287	0	1	0	7	0	1
fsh-generated/resources/StructureDefinition-ch-core-servicerequest.json	4790	3	0	39	0	0	0	0	1	14	0	0	0	0	0	0	0	1	0	0	116	211	0	0	0	7	0	0
fsh-generated/resources/StructureDefinition-ch-core-uidb-identifier.json	2056	4	0	9	0	0	0	0	0	7	0	0	0	0	0	0	0	0	0	0	42	86	0	0	0	3	0	0
fsh-generated/resources/StructureDefinition-ch-core-veka-identifier.json	1418	3	0	6	0	0	0	0	0	8	0	0	0	0	0	0	0	0	0	0	47	83	0	0	0	2	0	1
fsh-generated/resources/StructureDefinition-ch-core-zsr-identifier.json	2567	3	0	6	1	0	0	0	0	7	0	0	0	0	0	0	0	0	0	0	40	83	0	0	0	2	0	0
fsh-generated/resources/StructureDefinition-ch-emed-ext-substitution.json	1698	3	0	4	0	0	0	0	0	6	0	0	0	0	0	0	0	0	0	0	31	65	0	0	0	1	0	0
fsh-generated/resources/StructureDefinition-ch-emed-ext-treatmentreason.json	1184	4	0	8	0	0	0	0	0	6	0	0	0	0	0	0	0	0	0	0	30	65	0	0	0	1	0	0
fsh-generated/resources/StructureDefinition-ch-emed-ratio-with-emed-units.json	1208	3	0	6	0	0	0	0	0	6	0	0	0	0	0	0	0	0	0	0	29	67	0	0	0	1	0	0
fsh-generated/resources/StructureDefinition-ch-ext-accident.json	3570	4	0	7	0	0	0	0	0	11	0	0	0	0	0	0	0	0	0	0	69	89	0	0	0	4	0	0
fsh-generated/resources/StructureDefinition-ch-ext-author.json	2795	3	0	8	1	0	0	0	0	8	0	0	0	0	0	0	0	0	0	0	51	86	0	0	0	2	0	0
fsh-generated/resources/StructureDefinition-ch-ext-bfs-ms-admitrole.json	1994	3	0	5	0	0	0	0	0	8	0	0	0	0	0	0	0	0	0	0	35	71	0	0	0	2	1	0
fsh-generated/resources/StructureDefinition-ch-ext-bfs-ms-dischargedecision.json	2050	3	0	7	0	0	0	0	0	7	0	0	0	0	0	0	0	1	0	0	36	73	0	0	0	1	0	0
fsh-generated/resources/StructureDefinition-ch-ext-bfs-ms-dischargedestination.json	2069	4	0	7	0	0	0	0	0	8	0	0	0	0	0	0	0	0	0	0	35	141	0	0	0	2	0	0
fsh-generated/resources/StructureDefinition-ch-ext-biller.json	1416	3	0	4	0	0	0	0	0	6	0	0	0	0	0	0	0	0	0	0	32	62	0	0	0	1	0	1
fsh-generated/resources/StructureDefinition-ch-ext-ech-10-linetype.json	2121	3	0	8	0	0	0	0	0	7	0	0	0	0	0	0	0	0	0	0	36	70	0	0	0	2	0	0
fsh-generated/resources/StructureDefinition-ch-ext-ech-11-firstname.json	2131	4	0	6	0	0	0	0	0	7	0	0	0	0	0	0	0	0	0	0	40	67	0	0	0	1	0	0
fsh-generated/resources/StructureDefinition-ch-ext-ech-11-maritaldata-separation.json	2139	3	0	5	1	0	0	0	0	7	0	0	0	0	0	0	0	0	0	0	41	67	0	0	0	2	0	0
fsh-generated/resources/StructureDefinition-ch-ext-ech-11-name.json	2039	3	0	5	0	0	1	0	0	9	0	0	0	0	0	0	0	0	0	0	49	80	0	0	0	2	0	0
fsh-generated/resources/StructureDefinition-ch-ext-ech-46-emailcategory.json	2122	3	0	6	0	0	0	0	0	8	0	0	0	0	0	0	0	0	0	0	48	74	0	0	0	2	0	0
fsh-generated/resources/StructureDefinition-ch-ext-ech-46-internetcategory.json	2142	4	0	11	0	0	0	0	0	7	0	0	0	0	0	0	0	0	0	0	46	75	0	0	0	2	0	0
fsh-generated/resources/StructureDefinition-ch-ext-ech-46-phonecategory.json	2121	3	0	6	0	0	0	0	0	8	0	0	0	0	0	0	0	0	0	0	47	73	0	0	0	2	0	0
fsh-generated/resources/StructureDefinition-ch-ext-ech-7-municipalityid.json	1779	3	0	4	1	0	0	0	0	6	0	0	0	0	0	0	0	1	0	0	34	65	0	0	0	1	0	0
fsh-generated/resources/StructureDefinition-ch-ext-encounter-susp-readmission.json	1670	4	0	9	0	0	0	0	0	7	0	0	0	0	0	0	0	0	0	0	35	62	0	0	0	2	0	0
