Source File	Size	loadResources	load	generateSnapshots	load-configure	scan	loadDepInfo	loadInfo	checkR4R4B	generateNarratives	validate	loadLists	checkConformanceResources	checkConformanceResources2	checkConformanceResources3	generateLogicalMaps	validateExpressions	scanForUsageStats	checkURLsUnique	processProvenanceDetails	generate1	generate2	generateLogicals	makeDependencies	generateExampleZip	generateValidationPack	scanProfilesForR5	scanExamplesForR5
/fsh-generated/resources/ImplementationGuide-ch.fhir.ig.ch-core.json	51621	-	0	0	0	0	0	0	64	86	0	0	0	0	0	0	0	1	0	0	180	256	0	0	0	11	0	3
fsh-generated/resources/AllergyIntolerance-AllergyToCatDander.json	2058	5	0	0	1	0	0	0	0	673	0	0	0	0	0	0	0	0	0	0	11	14	0	0	0	0	0	0
fsh-generated/resources/Bundle-1-ZuweisungZurRadiologischenDiagnostik-FHIR.json	13879	5	26	0	0	0	0	0	2	70	0	0	0	0	0	0	0	1	0	0	32	49	0	0	0	0	0	0
fsh-generated/resources/Bundle-2-ResourceCrossReferencesDokument.json	14409	3	13	0	0	0	0	0	1	24	0	0	0	0	0	0	0	0	0	0	29	58	0	0	0	0	0	0
fsh-generated/resources/Claim-ClaimInpatientTreatmentPsychiatry.json	3517	3	0	0	0	0	0	0	0	21	0	0	0	0	0	0	0	0	0	0	14	47	0	0	0	0	0	0
fsh-generated/resources/CodeSystem-ConsentProvisionCodesCS.json	1228	1	0	0	0	0	0	0	1	16	0	0	0	0	1	0	0	0	0	0	9	79	0	0	0	1	0	0
fsh-generated/resources/Composition-ResourceCrossReferencesDokumentComposition.json	1941	1	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	8	21	0	0	0	0	0	1
fsh-generated/resources/Composition-ZuweisungZurRadiologischenDiagnostik.json	2990	1	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	10	23	0	0	0	0	0	0
fsh-generated/resources/Condition-Urticaria.json	1182	2	0	0	0	0	0	0	0	7	0	0	0	0	0	0	0	0	0	0	5	12	0	0	1	0	0	0
fsh-generated/resources/Consent-EncounterExcludedForEpr.json	1398	1	0	0	0	0	1	0	1	72	0	0	0	0	0	0	0	0	0	0	12	19	0	0	0	0	0	0
fsh-generated/resources/Consent-GC-accepted.json	2568	1	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	16	14	0	0	0	0	0	0
fsh-generated/resources/Consent-GC-denied.json	2481	1	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	15	16	0	0	0	0	0	0
fsh-generated/resources/Consent-PatPortalParticipation-accepted.json	2872	1	0	0	0	0	0	0	1	3	0	0	0	0	0	0	0	0	0	0	15	14	0	0	0	0	0	0
fsh-generated/resources/Consent-PatientHasEpr.json	1128	1	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	6	7	0	0	0	0	0	0
fsh-generated/resources/Coverage-ClaimCoverage.json	887	1	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	6	12	0	0	0	0	0	0
fsh-generated/resources/Coverage-CoverageBroennimann.json	793	0	0	0	0	0	0	0	0	16	0	0	0	0	0	0	0	0	0	0	6	7	0	0	0	0	0	0
fsh-generated/resources/DocumentReference-Docu.json	42364	2	0	0	0	0	0	0	0	1317	0	0	0	0	0	0	0	0	0	0	54	21	0	0	0	0	0	0
fsh-generated/resources/Encounter-EncounterAccidentBroennimann.json	3088	1	0	0	0	0	0	0	1	10	0	0	0	0	0	0	0	0	0	0	10	16	0	0	0	0	0	0
fsh-generated/resources/Encounter-EncounterAmbulantBroennimann.json	2558	1	0	0	1	0	0	0	0	8	0	0	0	0	0	0	0	0	0	0	10	10	0	0	0	0	0	0
fsh-generated/resources/HealthcareService-healthcareService-DemoCIS.json	280	1	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	5	7	0	0	0	0	0	0
fsh-generated/resources/HealthcareService-healthcareService-DemoPatientPortal.json	297	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	8	0	0	0	0	0	0
fsh-generated/resources/Immunization-CHCoreImmunizationExample.json	1923	1	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	8	17	0	0	0	0	0	0
fsh-generated/resources/Immunization-CHCoreImmunizationExampleNUVA.json	1917	1	0	0	0	0	0	0	1	3	0	0	0	0	0	0	0	0	0	0	8	13	0	0	0	0	0	0
fsh-generated/resources/Immunization-ImmunizationEntry.json	2374	1	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	11	18	0	0	0	0	0	0
fsh-generated/resources/ImmunizationRecommendation-CHCoreImmunizationRecommendationExample.json	1805	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	8	17	0	0	0	0	0	0
fsh-generated/resources/MedicationAdministration-3-2-MedAdminFentanyl.json	3063	3	0	0	0	0	0	0	1	4053	0	0	0	0	0	0	0	0	0	0	11	34	0	0	0	0	0	0
fsh-generated/resources/MedicationDispense-2-4-MedDispBeloczok.json	4143	3	0	0	0	0	0	0	0	685	0	0	0	0	0	0	0	0	0	0	16	32	0	0	0	0	0	0
fsh-generated/resources/MedicationDispense-MedDisAbirateron.json	6614	2	0	0	0	0	0	0	1	262	0	0	0	0	0	0	0	0	0	0	19	22	0	0	0	0	0	0
fsh-generated/resources/MedicationRequest-2-6-MedReqNorvasc.json	3728	2	0	0	0	0	0	0	1	6	0	0	0	0	0	0	0	0	0	0	12	23	0	0	0	0	0	1
fsh-generated/resources/MedicationRequest-MedReqAbirateron.json	6370	1	0	0	0	0	0	0	0	6	0	0	0	0	0	0	0	0	0	0	17	18	0	0	0	0	0	0
fsh-generated/resources/MedicationStatement-1-1-MedStatTriatec.json	3298	2	0	0	0	0	0	0	1	4	0	0	0	0	0	0	0	0	0	0	11	16	0	0	0	0	0	0
