URL,Version,Status,OIDs,Name,Title,Description,Used
http://dicom.nema.org/resources/ontology/DCM,01,active,"1.2.840.10008.2.16.4",DICOM Controlled Terminology Definitions,,"DICOM Code Definitions (Coding Scheme Designator ""DCM"" Coding Scheme Version ""01"")","ValueSet/security-role-type"
http://fhir.ch/ig/ch-core/CodeSystem/bfs-medstats-17-admitsource,3.2.0,active,,BfsMedstats17Admitsource,BFS Medizinische Statistik - 17 1.2.V02 - Aufenthaltsort vor dem Eintritt / Séjour avant l’admission / Luogo di soggiorno prima dell’ammissione,"BFS defines variables for medical statistic (german, french, italian) see [BFS](https://www.bfs.admin.ch/bfs/de/home/statistiken/kataloge-datenbanken/publikationen.assetdetail.7066232.html). Unmittelbarer Aufenthaltsort vor dem Eintritt. Wo befand sich der Patient / die Patientin?","ValueSet/bfs-medstats-17-admitsource"
http://fhir.ch/ig/ch-core/CodeSystem/bfs-medstats-18-admittype,3.2.0,active,,BfsMedstats17Admittype,BFS Medizinische Statistik - 18 1.2.V03 - Eintrittsart / Mode d’admission / Genere di ricovero,"BFS defines variables for medical statistic (german, french, italian) see [BFS](https://www.bfs.admin.ch/bfs/de/home/statistiken/kataloge-datenbanken/publikationen.assetdetail.7066232.html). Beschreibung der Umstände des Eintritts. Wie wurde der Patient / die Patientin aufgenommen?","ValueSet/bfs-medstats-18-admittype"
http://fhir.ch/ig/ch-core/CodeSystem/bfs-medstats-19-admitrole,3.2.0,active,,BfsMedstats19Admitrole,BFS Medizinische Statistik - 19 1.2.V04 - Einweisende Instanz / Décision d’envoi / Istanza ricoverante,"BFS defines variables for medical statistic (german, french, italian) see [BFS](https://www.bfs.admin.ch/bfs/de/home/statistiken/kataloge-datenbanken/publikationen.assetdetail.7066232.html). Wer hat die Initiative für die Klinikeinweisung ergriffen?","ValueSet/bfs-medstats-19-admitrole"
http://fhir.ch/ig/ch-core/CodeSystem/bfs-medstats-20-encounterclass,3.2.0,active,,BfsMedstats20Encounterclass,BFS Medizinische Statistik - 20 1.3.V01 - Behandlungsart / Type de prise en charge / Genere di trattamento,"BFS defines variables for medical statistic (german, french, italian) see [BFS](https://www.bfs.admin.ch/bfs/de/home/statistiken/kataloge-datenbanken/publikationen.assetdetail.7066232.html). Angabe der Behandlungsart","ValueSet/bfs-medstats-20-encounterclass"
http://fhir.ch/ig/ch-core/CodeSystem/bfs-medstats-21-encountertype,3.2.0,active,,BfsMedstats17Admitsource,BFS Medizinische Statistik - 21 1.3.V02 - Klasse / Classe / Classe,"BFS defines variables for medical statistic (german, french, italian) see [BFS](https://www.bfs.admin.ch/bfs/de/home/statistiken/kataloge-datenbanken/publikationen.assetdetail.7066232.html). Im Rahmen des Spitalaufenthaltes belegte Liegeklasse, nicht die Versicherungskategorie. Bei Wechsel der Klasse ist die im Wesentlichen beanspruchte Klasse anzugeben.","ValueSet/bfs-medstats-21-encountertype"
http://fhir.ch/ig/ch-core/CodeSystem/bfs-medstats-25-mainguarantor,3.2.0,active,,BfsMedstats25Mainguarantor,BFS Medizinische Statistik - 25 1.4.V02 - Hauptkostenträger für Grundversicherungsleistungen / Prise en charge des soins de base / Unità d’imputazione principale per le prestazioni dell’assicurazione di base,"BFS defines variables for medical statistic (german, french, italian) see [BFS](https://www.bfs.admin.ch/bfs/de/home/statistiken/kataloge-datenbanken/publikationen.assetdetail.7066232.html). Angabe des Hauptgaranten, der für die Kosten der Grundversicherungsleistungen des Spitalaufenthalts im Wesentlichen aufkommt. Keine Mehrfachnennungen möglich.","ValueSet/mainguarantor"
http://fhir.ch/ig/ch-core/CodeSystem/bfs-medstats-27-dischargedecision,3.2.0,active,,BfsMedstats27Dischargedecision,BFS Medizinische Statistik - 27 1.5.V02 - Entscheid für Austritt / Décision de sortie / Décisione dell’uscita,"BFS defines variables for medical statistic (german, french, italian) see [BFS](https://www.bfs.admin.ch/bfs/de/home/statistiken/kataloge-datenbanken/publikationen.assetdetail.7066232.html). Wer hat den Klinikaustritt veranlasst?","ValueSet/bfs-medstats-27-dischargedecision"
http://fhir.ch/ig/ch-core/CodeSystem/bfs-medstats-28-dischargedestination,3.2.0,active,,BfsMedstats28Dischargedestination,BFS Medizinische Statistik - 28 1.5.V03 - Aufenthalt nach Austritt / Séjour après la sortie / Destinazione dopo l’uscita,"BFS defines variables for medical statistic (german, french, italian) see [BFS](https://www.bfs.admin.ch/bfs/de/home/statistiken/kataloge-datenbanken/publikationen.assetdetail.7066232.html). Wohin wurde der Patient entlassen?","ValueSet/bfs-medstats-28-dischargedestination"
http://fhir.ch/ig/ch-core/CodeSystem/bfs-medstats-29-dischargeencounter,3.2.0,active,,BfsMedstats29Dischargeencounter,BFS Medizinische Statistik - 29 1.5.V04 - Behandlung nach Austritt / Prise en charge après la sortie / Trattamento dopo l’uscita,"BFS defines variables for medical statistic (german, french, italian) see [BFS](https://www.bfs.admin.ch/bfs/de/home/statistiken/kataloge-datenbanken/publikationen.assetdetail.7066232.html). Behandlung, Pflege, Rehabilitation nach dem Spitalaufenthalt. Es geht darum, den Behandlungserfolg resp. den Abhängigkeitsgrad bei Austritt anzugeben. Nur die am besten zutreffende Kategorie auswählen.","ValueSet/bfs-medstats-29-dischargeencounter"
http://fhir.ch/ig/ch-core/CodeSystem/ech-10,3.2.0,active,,ECH11CodeSystem,eCH-010 Types,"eCH-010 defines different Types for a postal address","ValueSet/ech-10-linetype"
http://fhir.ch/ig/ch-core/CodeSystem/ech-11,3.2.0,active,,ECH11CodeSystem,eCH-011 Types,"eCH-011 defines different Types like Names, contactAdress etc. They are further described from the [BFS](https://www.bfs.admin.ch/bfs/de/home/register/personenregister/registerharmonisierung/nomenklaturen.assetdetail.349276.html) in 'Amtlicher Katalog der Merkmale' (Official catalogue of characteristics), Copyright BFS, Neuchâtel 2014, ISBN 978-3-303-00504-0","ValueSet/ech-11-firstnamedatatype,ValueSet/ech-11-namedatatype"
