Source File	Size	loadResources	load	generateSnapshots	load-configure	scan	loadDepInfo	loadInfo	checkR4R4B	generateNarratives	validate	loadLists	checkConformanceResources	checkConformanceResources2	checkConformanceResources3	generateLogicalMaps	validateExpressions	scanForUsageStats	checkURLsUnique	processProvenanceDetails	generate1	generate2	generateLogicals	makeDependencies	generateExampleZip	generateValidationPack	scanProfilesForR5	scanExamplesForR5
/fsh-generated/resources/ImplementationGuide-ch.fhir.ig.ch-core.json	51621	-	0	0	0	0	0	0	10	17	0	0	0	0	1	0	0	1	0	0	151	147	0	0	0	10	0	2
fsh-generated/resources/AllergyIntolerance-AllergyToCatDander.json	2058	3	0	0	1	0	0	0	0	449	0	0	0	0	0	0	0	0	0	0	10	5	0	0	0	0	0	0
fsh-generated/resources/Bundle-1-ZuweisungZurRadiologischenDiagnostik-FHIR.json	13879	4	5	0	0	0	0	0	1	9	0	0	0	0	0	0	0	0	0	0	32	17	0	0	0	0	0	0
fsh-generated/resources/Bundle-2-ResourceCrossReferencesDokument.json	14409	3	5	0	0	0	0	0	2	8	0	0	0	0	0	0	0	0	0	0	34	16	0	0	0	0	0	0
fsh-generated/resources/Claim-ClaimInpatientTreatmentPsychiatry.json	3517	2	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	15	8	0	0	0	0	0	0
fsh-generated/resources/CodeSystem-ConsentProvisionCodesCS.json	1228	2	0	0	0	0	0	0	0	4	0	0	0	0	1	0	0	0	0	0	10	33	0	0	0	1	0	0
fsh-generated/resources/Composition-ResourceCrossReferencesDokumentComposition.json	1941	1	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	9	9	0	0	0	0	0	0
fsh-generated/resources/Composition-ZuweisungZurRadiologischenDiagnostik.json	2990	1	0	0	1	0	0	0	1	2	0	0	0	0	0	0	0	0	0	0	12	11	0	0	0	0	0	0
fsh-generated/resources/Condition-Urticaria.json	1182	1	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	7	5	0	0	0	0	0	0
fsh-generated/resources/Consent-EncounterExcludedForEpr.json	1398	1	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	14	6	0	0	0	0	0	0
