Source File	Size	loadResources	load-configure	scan	loadDepInfo	loadInfo	load	generateSnapshots	checkR4R4B	generateNarratives	validate	loadLists	checkConformanceResources	checkConformanceResources2	checkConformanceResources3	generateLogicalMaps	validateExpressions	scanForUsageStats	checkURLsUnique	processProvenanceDetails	generate1	generate2	generateLogicals	makeDependencies	generateExampleZip	generateValidationPack	scanProfilesForR5	scanExamplesForR5
/fsh-generated/resources/ImplementationGuide-ch.fhir.ig.ch-elm.json	23041	-	0	0	0	0	0	0	3	450	0	0	0	0	0	0	0	1	0	0	130	145	0	0	0	4	0	4
input/resources/CapabilityStatement-IHE.MHD.DocumentRecipient.Simplified.json	994	2	0	0	0	1	0	0	0	3	0	0	0	0	0	0	0	0	0	0	8	24	0	0	0	0	0	0
fsh-generated/resources/Bundle-1Doc-NeisseriaGonorrhoeae.json	11081	25	0	0	0	0	26	0	0	1	0	0	0	0	0	0	0	0	0	0	26	41	0	0	0	0	0	0
fsh-generated/resources/Composition-1Comp-NeisseriaGonorrhoeae.json	1400	2	0	0	0	0	0	0	0	15	0	0	0	0	0	0	0	0	0	0	11	9	0	0	0	0	0	0
fsh-generated/resources/StructureDefinition-ch-elm-patient.json	5267	236	0	0	0	0	0	3046	1	3052	0	0	1	0	0	0	0	2	0	0	503	3110	0	1	0	17	0	5
fsh-generated/resources/Patient-1Pat-DM.json	833	4	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	6	16	0	0	0	0	0	0
fsh-generated/resources/Observation-1Obs-NeisseriaGonorrhoeae.json	1319	2	0	0	0	0	0	0	0	16	0	0	0	0	0	0	0	0	0	0	10	15	0	0	0	0	0	0
fsh-generated/resources/StructureDefinition-ch-elm-organization-lab.json	1682	55	0	0	0	0	0	655	0	639	0	0	0	0	0	0	0	0	0	0	123	550	0	0	0	5	0	1
fsh-generated/resources/StructureDefinition-ch-elm-observation-results-laboratory.json	5581	152	0	0	0	0	0	983	0	917	0	0	0	0	0	0	0	0	0	0	178	722	0	0	0	6	1	0
fsh-generated/resources/Patient-Pat-LillyLiechtenstein.json	817	4	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	5	7	0	0	0	0	0	0
fsh-generated/resources/StructureDefinition-ch-ext-elm-status.json	4188	179	0	0	0	0	0	457	0	466	0	0	0	0	0	0	0	1	0	0	50	201	0	0	0	2	0	1
fsh-generated/resources/StructureDefinition-PublishDocumentReference.json	3302	144	0	0	0	0	0	999	0	992	0	0	0	0	0	0	0	0	0	0	174	737	0	0	0	6	0	0
fsh-generated/resources/Bundle-2Doc-ChlamydiaTrachomatis.json	10466	14	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0	24	23	0	0	0	0	0	0
fsh-generated/resources/DocumentReference-1-DocumentReferenceResponseInProgress.json	726	6	0	0	0	0	0	0	0	6	0	0	0	0	0	0	0	0	0	0	11	11	0	0	0	0	0	0
fsh-generated/resources/Organization-1bOrg-Labor.json	301	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	5	8	0	0	0	0	0	0
fsh-generated/resources/StructureDefinition-ch-elm-organization-author.json	1602	42	0	0	0	0	0	637	0	632	0	0	0	0	0	0	0	0	0	0	124	468	0	0	0	12	0	1
fsh-generated/resources/PractitionerRole-1PR-KsAbc.json	325	1	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	5	8	0	0	1	0	0	0
fsh-generated/resources/StructureDefinition-ch-elm-codeableconcept.json	1323	16	0	0	0	0	0	121	0	105	0	0	0	0	0	0	0	0	0	0	21	101	0	0	0	1	0	0
fsh-generated/resources/StructureDefinition-ch-elm-practitioner-orderer.json	2546	109	0	0	0	0	0	1494	0	1450	0	0	0	0	0	0	0	1	0	0	239	916	0	0	0	7	0	1
fsh-generated/resources/StructureDefinition-ch-elm-composition.json	5133	181	0	0	0	0	0	1685	0	1664	0	0	0	0	0	0	0	0	0	0	303	1034	0	0	0	8	0	2
fsh-generated/resources/Specimen-1bSpec-Specimen.json	370	1	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	6	8	0	0	0	0	0	0
fsh-generated/resources/Observation-1bObs-NeisseriaGonorrhoeae.json	1322	3	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	10	8	0	0	0	0	0	0
fsh-generated/resources/ValueSet-ch-elm-status.json	730	1	0	0	0	0	0	0	0	86	0	0	0	0	0	0	0	0	0	0	5	8325	0	0	0	0	0	0
