Source File	Size	loadResources	load	generateSnapshots	load-configure	scan	loadDepInfo	loadInfo	checkR4R4B	generateNarratives	validate	loadLists	checkConformanceResources	checkConformanceResources2	checkConformanceResources3	generateLogicalMaps	validateExpressions	scanForUsageStats	checkURLsUnique	processProvenanceDetails	generate1	generate2	generateLogicals	makeDependencies	generateExampleZip	generateValidationPack	scanProfilesForR5	scanExamplesForR5
/fsh-generated/resources/ImplementationGuide-ch.fhir.ig.ch-elm.json	107458	-	0	0	0	0	0	0	12	28	0	0	0	0	0	0	0	2	0	0	289	501	0	0	0	18	0	3
fsh-generated/resources/Bundle-1Doc-NeisseriaGonorrhoeae.json	10089	13	10	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	41	87	0	0	0	0	0	0
fsh-generated/resources/Bundle-1bDoc-NeisseriaGonorrhoeae.json	10416	14	16	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	43	71	0	0	0	0	0	0
fsh-generated/resources/Bundle-1cDoc-NeisseriaGonorrhoeae.json	8498	13	15	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	40	67	0	0	0	0	0	1
fsh-generated/resources/Bundle-2Doc-ChlamydiaTrachomatis-Vct.json	11539	14	16	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	40	69	0	0	0	0	0	0
fsh-generated/resources/Bundle-2Doc-ChlamydiaTrachomatis.json	11014	13	15	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	40	71	0	0	0	0	0	0
fsh-generated/resources/Bundle-4Doc-Campylobacter.json	10044	13	18	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	39	73	0	0	0	0	0	0
fsh-generated/resources/Bundle-5Doc-TreponemaPallidum.json	9991	13	8	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	39	72	0	0	0	0	0	0
fsh-generated/resources/Bundle-61Doc-Tb-Susceptibility.json	11496	13	8	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	39	70	0	0	0	0	0	0
fsh-generated/resources/Bundle-63Doc-Tb-Genotyping.json	10776	13	11	0	0	0	0	0	1	1	0	0	0	0	0	0	0	1	0	0	39	80	0	0	0	0	0	0
fsh-generated/resources/Bundle-66Doc-HivRecency.json	13499	14	8	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	42	75	0	0	0	0	0	0
fsh-generated/resources/Bundle-6Doc-Influenza.json	9560	14	7	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	38	42	0	0	0	0	0	1
fsh-generated/resources/Bundle-7Doc-SARSCoV2.json	10430	13	7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	38	40	0	0	0	0	0	0
