Source File	Size	loadResources	load	generateSnapshots	load-configure	scan	loadDepInfo	loadInfo	checkR4R4B	generateNarratives	validate	loadLists	checkConformanceResources	checkConformanceResources2	checkConformanceResources3	generateLogicalMaps	validateExpressions	scanForUsageStats	checkURLsUnique	processProvenanceDetails	generate1	generate2	generateLogicals	makeDependencies	generateExampleZip	generateValidationPack	scanProfilesForR5	scanExamplesForR5
/fsh-generated/resources/ImplementationGuide-ch.fhir.ig.ch-emed-epr.json	57078	-	0	0	0	0	0	0	18	75	0	0	0	0	0	0	0	1	0	0	245	310	0	0	0	10	0	2
fsh-generated/resources/Bundle-BundlePml1.json	12405	11	30	0	1	0	0	0	1	724	0	0	0	0	0	0	0	1	0	0	53	92	0	0	0	0	0	0
fsh-generated/resources/Bundle-BundlePmlc1.json	84649	16	38	0	0	0	0	0	2	16	0	0	0	0	0	0	0	0	0	0	148	78	0	0	0	0	0	0
fsh-generated/resources/Bundle-BundleUtc1Pml.json	6844	11	6	0	0	0	0	0	1	9	0	0	0	0	0	0	0	0	0	0	44	44	0	0	0	0	0	0
fsh-generated/resources/Bundle-BundleUtc6bPml.json	30511	10	21	0	0	0	0	0	3	2936	0	0	0	0	0	0	0	0	0	0	102	94	0	0	0	0	0	0
fsh-generated/resources/Bundle-DocumentDis1.json	12069	7	10	0	0	0	0	0	2	470	0	0	0	0	0	0	0	0	0	0	43	800	0	0	0	0	0	1
fsh-generated/resources/Bundle-DocumentMtp1.json	10294	7	5	0	0	0	0	0	1	6	0	0	0	0	0	0	0	0	0	0	37	50	0	0	0	0	0	0
fsh-generated/resources/Bundle-DocumentMtpCARAPMP004MarcoumarFreeTextDosage.json	11994	8	4	0	0	0	0	0	1	7	0	0	0	0	0	0	0	0	0	0	48	39	0	0	0	0	0	0
fsh-generated/resources/Bundle-DocumentMtpParacetamolCARAPMP004.json	12085	7	5	0	0	0	0	0	2	6	0	0	0	0	0	0	0	0	0	0	40	46	0	0	0	0	0	0
fsh-generated/resources/Bundle-DocumentMtpParacetamolDafalganCARAPMP004.json	11748	7	8	0	1	0	0	0	1	6	0	0	0	0	0	0	0	1	0	0	42	47	0	0	0	0	0	0
