Source File	Size	loadResources	load	generateSnapshots	load-configure	scan	loadDepInfo	loadInfo	checkR4R4B	generateNarratives	validate	loadLists	checkConformanceResources	checkConformanceResources2	checkConformanceResources3	generateLogicalMaps	validateExpressions	scanForUsageStats	checkURLsUnique	processProvenanceDetails	generate1	generate2	generateLogicals	makeDependencies	generateExampleZip	generateValidationPack	scanProfilesForR5	scanExamplesForR5
/fsh-generated/resources/ImplementationGuide-ch.fhir.ig.ch-emed.json	43877	-	0	0	0	0	0	0	7	466	0	0	0	0	0	0	0	1	0	0	151	217	0	0	0	7	0	2
fsh-generated/resources/Binary-2-6-pdf.json	177063	8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	212	69	0	0	0	0	0	0
fsh-generated/resources/Binary-2-7-pdf.json	185643	12	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	217	71	0	0	0	0	0	0
fsh-generated/resources/Bundle-1-1-MedicationTreatmentPlan.json	11225	8	32	0	0	0	0	0	1	4808	0	0	0	0	0	0	0	1	0	0	35	64	0	0	0	0	0	0
fsh-generated/resources/Bundle-1-2-MedicationDispense.json	12390	9	12	0	0	0	0	0	1	10	0	0	0	0	0	0	0	0	0	0	36	360	0	0	0	0	0	0
fsh-generated/resources/Bundle-2-1-MedicationList.json	18044	8	15	0	0	0	0	0	1	18	0	0	0	0	0	0	0	0	0	0	59	45	0	0	0	0	0	1
fsh-generated/resources/Bundle-2-2-PharmaceuticalAdvice.json	8577	6	10	0	0	0	0	0	0	8	0	0	0	0	0	0	0	0	0	0	40	30	0	0	0	0	0	0
fsh-generated/resources/Bundle-2-3-MedicationTreatmentPlan.json	11496	6	5	0	0	0	0	0	1	9	0	0	0	0	0	0	0	0	0	0	39	32	0	0	0	0	1	0
fsh-generated/resources/Bundle-2-4-MedicationDispense.json	12920	7	6	0	0	0	0	0	0	9	0	0	0	0	0	0	0	0	0	0	43	27	0	0	0	0	0	0
fsh-generated/resources/Bundle-2-5-MedicationTreatmentPlan.json	11326	6	7	0	0	0	0	0	1	8	0	0	0	0	0	0	0	0	0	0	40	34	0	0	0	0	0	0
fsh-generated/resources/Bundle-2-6-MedicationPrescription.json	189536	7	56	0	0	0	0	0	1	8	0	0	0	0	0	0	0	0	0	0	236	38	0	0	0	0	0	0
fsh-generated/resources/Bundle-2-7-MedicationCard-UUIDfullUrl.json	203559	11	17	0	0	0	0	0	1	10	0	0	0	0	0	0	0	0	0	0	259	45	0	0	0	0	0	1
fsh-generated/resources/Bundle-2-7-MedicationCard.json	203232	15	14	0	0	0	0	0	1	13	0	0	0	0	0	0	0	1	0	0	252	43	0	0	0	0	0	0
fsh-generated/resources/Bundle-3-1-MedicationDispense.json	9714	11	7	0	0	0	0	0	0	439	0	0	0	0	0	0	0	0	0	0	37	274	0	0	0	0	0	0
fsh-generated/resources/Bundle-3-2-MedicationDispense.json	10079	13	4	0	0	0	0	0	1	560	0	0	0	0	0	0	0	0	0	0	33	25	0	0	0	0	0	0
fsh-generated/resources/Bundle-PharmaceuticalAdvice-ChangeDosage.json	13202	13	3	0	1	0	0	0	0	8	0	0	0	0	0	0	0	0	0	0	47	29	0	0	0	0	0	0
fsh-generated/resources/Composition-1-1-Composition.json	2698	11	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	18	17	0	0	0	0	0	0
fsh-generated/resources/Composition-1-2-Composition.json	2947	9	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	18	15	0	0	0	0	0	0
fsh-generated/resources/Composition-2-1-Composition.json	2698	8	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	18	17	0	0	0	0	0	1
fsh-generated/resources/Composition-2-2-Composition.json	2737	10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	18	17	0	0	1	0	0	0
