URL,Version,Status,OIDs,Name,Title,Description,Uses,Used,Sources
http://fhir.ch/ig/ch-term/ValueSet/ActSubstanceAdminSubstitutionCode,3.3.0,active,,ActSubstanceAdminSubstitutionCode,ActSubstanceAdminSubstitutionCode,"ActSubstanceAdminSubstitutionCode","StructureDefinition/ch-emed-medicationdispense,StructureDefinition/ch-emed-medicationdispense-list","THO (V3)"
http://fhir.ch/ig/ch-term/ValueSet/ActivePharmaceuticalIngredient,3.3.0,active,"2.16.756.5.30.1.1.11.82",ActivePharmaceuticalIngredient,ActivePharmaceuticalIngredient,"ActivePharmaceuticalIngredient","StructureDefinition/ch-emed-medication,StructureDefinition/ch-emed-medication-medicationdispense","SCT"
http://fhir.ch/ig/ch-term/ValueSet/DocumentEntry.healthcareFacilityTypeCode,3.3.0,active,"2.16.756.5.30.1.127.3.10.1.11",DocumentEntryHealthcareFacilityTypeCode,DocumentEntry.healthcareFacilityTypeCode,"Type of healthcare facility as per Annex 3; EPRO-FDHA.       This code describes the type of healthcare facility in which the document was compiled during the treatment process. In conjunction with the authorisation control, the patient can use this information to assign all documents from a specific type of healthcare facility to a specific confidentiality level in their rights and attributes, for example.","StructureDefinition/ch-emed-organization","SCT"
http://fhir.ch/ig/ch-term/ValueSet/DocumentEntry.typeCode,3.3.0,active,"2.16.756.5.30.1.127.3.10.1.27",DocumentEntryTypeCode,DocumentEntry.typeCode,"Type of document as per Annex 3 EPRO-FDHA.     The code defines a document’s type (e.g. discharge report, laboratory report). Each document type should be assigned to precisely one document class.","StructureDefinition/ch-emed-composition-medicationlist,StructureDefinition/ch-emed-composition-medicationprescription,StructureDefinition/ch-emed-composition-pharmaceuticaladvice,StructureDefinition/ch-emed-composition-medicationtreatmentplan,StructureDefinition/ch-emed-composition-medicationcard,StructureDefinition/ch-emed-composition-medicationdispense","SCT"
http://fhir.ch/ig/ch-term/ValueSet/HCProfessional.hcProfession,3.3.0,active,"2.16.756.5.30.1.127.3.10.8.1",HCProfessionalHcProfession,HCProfessional.hcProfession,"HCProfessional.hcProfession","StructureDefinition/ch-emed-practitionerrole","SCT,ch.fhir.ig.ch-term"
http://fhir.ch/ig/ch-term/ValueSet/HCProfessional.hcSpecialisation,3.3.0,active,"2.16.756.5.30.1.127.3.10.8.2",HCProfessionalHcSpecialisation,HCProfessional.hcSpecialisation,"HCProfessional.hcSpecialisation","StructureDefinition/ch-emed-practitionerrole","ch.fhir.ig.ch-term"
http://fhir.ch/ig/ch-term/ValueSet/edqm-administrationmethod,3.3.0,active,,AdministrationMethodEDQM,EDQM - Administration Method,"ValueSet Administration method from EDQM, AME, see https://standardterms.edqm.eu/#","StructureDefinition/ch-emed-dosage-medicationrequest,StructureDefinition/ch-emed-dosage,StructureDefinition/ch-emed-medicationadministration-list,StructureDefinition/ch-emed-dosage-split,StructureDefinition/ch-emed-medicationadministration","ch.fhir.ig.ch-term"
http://fhir.ch/ig/ch-term/ValueSet/edqm-pharmaceuticaldoseform,3.3.0,active,"2.16.756.5.30.1.1.11.3",PharmaceuticalDoseFormEDQM,EDQM - Pharmaceutical Dose Form,"Valueset Pharmaceutical Dose Form from EDQM, PDF, export20.5.2021, see https://standardterms.edqm.eu/#","StructureDefinition/ch-emed-medication,StructureDefinition/ch-emed-medication-medicationdispense","ch.fhir.ig.ch-term"
http://fhir.ch/ig/ch-term/ValueSet/edqm-routeofadministration,3.3.0,active,"2.16.756.5.30.1.1.11.2",RouteOfAdministrationEDQM,EDQM - RouteOfAdministration,"Valueset RouteOfAdministration from EDQM, ROA, export 1.6.2021, see https://standardterms.edqm.eu/#","StructureDefinition/ch-emed-dosage-medicationrequest,StructureDefinition/ch-emed-dosage,StructureDefinition/ch-emed-medicationadministration-list,StructureDefinition/ch-emed-dosage-split,StructureDefinition/ch-emed-medicationadministration","ch.fhir.ig.ch-term"
http://fhir.ch/ig/ch-term/ValueSet/ihe-pharmaceuticaladvicestatuslist,3.3.0,active,"2.16.756.5.30.1.1.11.4",IHEPharmaceuticalAdviceStatusList,IHE Pharmaceutical Advice Status List,"IHE Pharmaceutical Advice Status List","StructureDefinition/ch-emed-observation-list,StructureDefinition/ch-emed-observation","ch.fhir.ig.ch-term"
