Source File	Size	loadResources	load	generateSnapshots	load-configure	scan	loadDepInfo	loadInfo	checkR4R4B	generateNarratives	validate	loadLists	checkConformanceResources	checkConformanceResources2	checkConformanceResources3	generateLogicalMaps	validateExpressions	scanForUsageStats	checkURLsUnique	processProvenanceDetails	generate1	generate2	generateLogicals	makeDependencies	generateExampleZip	generateValidationPack	scanProfilesForR5	scanExamplesForR5
/fsh-generated/resources/ImplementationGuide-ch.fhir.ig.ch-emed.json	43877	-	0	0	0	0	0	0	4	368	0	0	0	0	0	0	0	1	0	0	130	174	0	0	0	6	0	3
fsh-generated/resources/Binary-2-6-pdf.json	177063	7	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	209	58	0	0	0	0	0	0
fsh-generated/resources/Binary-2-7-pdf.json	185643	5	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	219	57	0	0	0	0	0	0
fsh-generated/resources/Bundle-1-1-MedicationTreatmentPlan.json	11225	6	7	0	0	0	0	0	0	508	0	0	0	0	0	0	0	0	0	0	39	41	0	0	0	0	0	1
fsh-generated/resources/Bundle-1-2-MedicationDispense.json	12390	8	7	0	0	0	0	0	1	9	0	0	0	0	0	0	0	0	0	0	42	500	0	0	0	0	0	0
fsh-generated/resources/Bundle-2-1-MedicationList.json	18044	6	7	0	0	0	0	0	1	12	0	0	0	0	0	0	0	0	0	0	49	32	0	0	0	0	0	0
fsh-generated/resources/Bundle-2-2-PharmaceuticalAdvice.json	8577	5	3	0	0	0	0	0	0	7	0	0	0	0	0	0	0	0	0	0	34	23	0	0	0	0	0	0
fsh-generated/resources/Bundle-2-3-MedicationTreatmentPlan.json	11496	6	4	0	0	0	0	0	1	9	0	0	0	0	0	0	0	0	0	0	31	23	0	0	0	0	0	0
fsh-generated/resources/Bundle-2-4-MedicationDispense.json	12920	6	7	0	0	0	0	0	1	6	0	0	0	0	0	0	0	0	0	0	36	26	0	0	0	0	0	1
fsh-generated/resources/Bundle-2-5-MedicationTreatmentPlan.json	11326	6	7	0	0	0	0	0	0	6	0	0	0	0	0	0	0	1	0	0	33	25	0	0	0	0	0	0
fsh-generated/resources/Bundle-2-6-MedicationPrescription.json	189536	7	59	0	0	0	0	0	1	9	0	0	0	0	0	0	0	0	0	0	227	39	0	0	0	0	0	0
fsh-generated/resources/Bundle-2-7-MedicationCard-UUIDfullUrl.json	203559	7	13	0	1	0	0	0	1	11	0	0	0	0	0	0	0	0	0	0	329	45	0	0	0	0	0	0
fsh-generated/resources/Bundle-2-7-MedicationCard.json	203232	7	13	0	0	0	0	0	1	15	0	0	0	0	0	0	0	0	0	0	246	42	0	0	0	0	0	1
fsh-generated/resources/Bundle-3-1-MedicationDispense.json	9714	6	4	0	0	1	0	0	1	6	0	0	0	0	0	0	0	0	0	0	30	236	0	0	1	0	0	0
fsh-generated/resources/Bundle-3-2-MedicationDispense.json	10079	6	4	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	31	23	0	0	0	0	0	0
fsh-generated/resources/Bundle-PharmaceuticalAdvice-ChangeDosage.json	13202	5	4	0	0	0	0	0	0	13	0	0	0	0	0	0	0	0	0	0	39	29	0	0	0	0	0	0
fsh-generated/resources/Composition-1-1-Composition.json	2698	7	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	17	15	0	0	0	0	0	0
fsh-generated/resources/Composition-1-2-Composition.json	2947	5	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	19	17	0	0	0	0	0	0
fsh-generated/resources/Composition-2-1-Composition.json	2698	5	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	18	16	0	0	0	0	0	0
fsh-generated/resources/Composition-2-2-Composition.json	2737	5	0	0	1	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	17	16	0	0	0	0	0	0
fsh-generated/resources/Composition-2-3-Composition.json	2706	5	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	16	15	0	0	0	0	0	0
fsh-generated/resources/Composition-2-4-Composition.json	2924	5	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	17	15	0	0	0	0	0	0
fsh-generated/resources/Composition-2-5-Composition.json	2751	6	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	17	16	0	0	0	0	0	0
fsh-generated/resources/Composition-2-6-Composition.json	2705	6	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	17	16	0	0	0	0	0	0
fsh-generated/resources/Composition-2-7-Composition.json	2802	5	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	16	16	0	0	0	0	0	1
fsh-generated/resources/Composition-3-1-Composition.json	1995	5	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	16	15	0	0	0	0	0	0
fsh-generated/resources/Composition-3-2-Composition.json	2005	5	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	16	15	0	0	0	0	0	0
fsh-generated/resources/Composition-Comp-ChangeDosage.json	2747	5	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	18	15	0	0	0	0	0	0
fsh-generated/resources/Device-ExampleDevice.json	154	5	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	12	12	0	0	0	0	0	0
fsh-generated/resources/Medication-MedicationWithATC.json	1597	5	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	15	13	0	0	0	0	0	0
fsh-generated/resources/Medication-MedicationWithTwoIngredients.json	2322	5	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	17	14	0	0	0	0	0	0
fsh-generated/resources/Medication-TriatecWithCodeNotFromVS.json	1607	5	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	15	12	0	0	0	0	0	0
fsh-generated/resources/Medication-TriatecWithLocalCodes.json	1816	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	15	13	0	0	0	0	0	0
fsh-generated/resources/MedicationAdministration-3-1-MedAdminNacl.json	2975	5	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	20	16	0	0	0	0	0	0
fsh-generated/resources/MedicationAdministration-3-2-MedAdminFentanyl.json	3242	5	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	20	15	0	0	0	0	0	0
