URL,Version,Status,OIDs,Name,Title,Description,Uses,Used,Sources
http://fhir.ch/ig/ch-emr/ValueSet/ch-emr-advance-directive-type-vs,1.0.0-ballot,active,,ChEmrAdvanceDirectiveTypeVS,Advance Directive Type,"Types of advance directives and emergency medical orders.","StructureDefinition/ch-emr-documentreference-advance-directive","LOINC"
http://fhir.ch/ig/ch-emr/ValueSet/ch-emr-clinical-document-types-vs,1.0.0-ballot,active,,ChEmrClinicalDocumentTypesVS,Clinical Document Types,"Value Set for clinical document types","StructureDefinition/ch-emr-documentreference","SCT"
http://fhir.ch/ig/ch-emr/ValueSet/ch-emr-cognitive-disability-types-vs,1.0.0-ballot,active,,ChEmrCognitiveDisabilityTypesVS,Cognitive disability types,"Value set for the types of cognitive disabilities based on SNOMED CT.","StructureDefinition/ch-emr-observation-cognitive-disability","SCT"
http://fhir.ch/ig/ch-emr/ValueSet/ch-emr-implant-type-vs,1.0.0-ballot,active,,ChEmrImplantTypeVS,Implant Type,"Codes for implant types","StructureDefinition/ch-emr-device","SCT"
http://fhir.ch/ig/ch-emr/ValueSet/ch-emr-mri-safety-status-vs,1.0.0-ballot,active,,ChEmrMriSafetyStatusVS,CH EMR MRI Safety Status,"Permitted values for the MRI safety status property of a device, per ASTM F2503: MR Safe, MR Conditional, MR Unsafe.","StructureDefinition/ch-emr-device","Internal"
http://fhir.ch/ig/ch-emr/ValueSet/ch-emr-physical-disability-types-vs,1.0.0-ballot,active,,ChEmrPhysicalDisabilityTypesVS,Physical disability types,"Value sets for the types of disabilities","StructureDefinition/ch-emr-observation-physical-disability","SCT"
http://fhir.ch/ig/ch-emr/ValueSet/ch-emr-resuscitation-status-vs,1.0.0-ballot,active,,ChEmrResuscitationStatusVS,Resuscitation status,"Coded resuscitation status values based on SNOMED CT, including all descendants of 304251008 (Resuscitation status).","StructureDefinition/ch-emr-observation-resuscitation-status","SCT"
http://fhir.ch/ig/ch-emr/ValueSet/ch-emr-risk-to-healthcare-personnel-vs,1.0.0-ballot,active,,ChEmrRiskToHealthcarePersonnelVS,Risk to Healthcare Personnel,"SNOMED CT concepts that may indicate a risk to healthcare personnel emanating from the patient. Includes selected children of the Infectious disease hierarchy whose descendants are person-to-person transmissible — viral, bacterial, sexually transmitted, respiratory, healthcare-associated and parasitic disease — plus an aggressive behavior finding. Branches that do not pose a meaningful staff-transmission risk (anatomical-location infections, post-procedural / device-associated infections, sepsis variants, congenital and perinatal infections, plant / Microspora / Oomycota / fish infections, and the like) are excluded.","StructureDefinition/ch-emr-flag-risk-to-healthcare-personnel","SCT"
http://hl7.org/fhir/ValueSet/body-site,4.0.1,draft,"2.16.840.1.113883.4.642.3.141",SNOMEDCTBodyStructures,SNOMED CT Body Structures,"This value set includes all codes from [SNOMED CT](http://snomed.info/sct) where concept is-a 442083009 (Anatomical or acquired body site (body structure)).","StructureDefinition/ch-emr-bodystructure,StructureDefinition/ch-emr-deviceusestatement","SCT"
http://hl7.org/fhir/ValueSet/bodystructure-relative-location,4.0.1,draft,"2.16.840.1.113883.4.642.3.140",BodystructureLocationQualifier,Bodystructure Location Qualifier,"SNOMED-CT concepts modifying the anatomic location","StructureDefinition/ch-emr-bodystructure","SCT"
http://hl7.org/fhir/ValueSet/languages,4.0.1,draft,"2.16.840.1.113883.4.642.3.20",CommonLanguages,Common Languages,"This value set includes common codes from BCP-47 (http://tools.ietf.org/html/bcp47)","StructureDefinition/ch-emr-relatedperson","hl7.fhir.uv.xver-r5.r4"
http://terminology.hl7.org/ValueSet/v3-PersonalRelationshipRoleType,2014-03-26,active,"2.16.840.1.113883.1.11.19563",v3.PersonalRelationshipRoleType,V3 Value SetPersonalRelationshipRoleType," Types of personal relationships between two living subjects.  Example:  Parent, sibling, unrelated friend, neighbor","StructureDefinition/ch-emr-relatedperson","THO (V3)"
