Source File	Size	loadResources	load	generateSnapshots	load-configure	scan	loadDepInfo	loadInfo	checkR4R4B	generateNarratives	validate	loadLists	checkConformanceResources	checkConformanceResources2	checkConformanceResources3	generateLogicalMaps	validateExpressions	scanForUsageStats	checkURLsUnique	processProvenanceDetails	generate1	generate2	generateLogicals	makeDependencies	generateExampleZip	generateValidationPack	scanProfilesForR5	scanExamplesForR5
/fsh-generated/resources/ImplementationGuide-ch.fhir.ig.ch-emr.json	44087	-	0	0	0	0	0	0	7	15	0	0	0	0	1	0	0	1	0	0	144	153	0	0	0	7	0	1
fsh-generated/resources/AllergyIntolerance-EX-AllergyIntolerance.json	2276	1	0	0	2	0	1	0	0	3127	0	0	0	0	0	0	0	0	0	0	11	10	0	0	0	0	0	0
fsh-generated/resources/AllergyIntolerance-UC2-AllergyIntolerance-Penicillin.json	1268	1	0	0	0	0	0	0	0	431	0	0	0	0	0	0	0	0	0	0	8	4	0	0	0	0	0	0
fsh-generated/resources/Bundle-EX-Bundle.json	37268	9	11	0	0	0	0	0	3	7181	0	0	0	0	0	0	0	0	0	0	98	71	0	0	0	0	0	1
fsh-generated/resources/Bundle-UC1-Bundle-emr-MusterMax.json	34158	7	7	0	0	0	0	0	2	2106	0	0	0	0	0	0	0	1	0	0	84	58	0	0	0	0	0	0
fsh-generated/resources/Bundle-UC2-Bundle-emr-WalterSchmid.json	37673	9	136	0	0	0	0	0	3	615	0	0	0	0	0	0	0	0	0	0	90	527	0	0	0	0	0	0
fsh-generated/resources/Bundle-UC3-Bundle-emr-LaraKeller.json	26583	6	4	0	0	0	0	0	1	1733	0	0	0	0	0	0	0	0	0	0	60	27	0	0	0	0	0	1
fsh-generated/resources/Bundle-UC4-Bundle-emr-BeatFrei.json	22643	5	3	0	0	0	0	0	2	501	0	0	0	0	0	0	0	1	0	0	47	27	0	0	0	0	0	0
fsh-generated/resources/Bundle-UC5-Bundle-emr-AnnaMeier.json	32476	7	4	0	0	0	0	0	2	434	0	0	0	0	0	0	0	0	0	0	76	52	0	0	0	0	0	0
fsh-generated/resources/CodeSystem-ch-emr-mri-safety-status-cs.json	1442	2	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	9	34	0	0	0	1	0	0
fsh-generated/resources/Composition-EX-Composition.json	7908	3	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	17	18	0	0	0	0	0	0
fsh-generated/resources/Composition-UC1-Composition-emr-MusterMax.json	9534	3	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	12	12	0	0	0	0	0	0
fsh-generated/resources/Composition-UC2-Composition-emr-WalterSchmid.json	9785	3	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	13	11	0	0	0	0	0	0
fsh-generated/resources/Composition-UC3-Composition-emr-LaraKeller.json	9491	2	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	13	9	0	0	0	0	0	0
fsh-generated/resources/Composition-UC4-Composition-emr-BeatFrei.json	9398	3	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	12	8	0	0	0	0	0	1
fsh-generated/resources/Composition-UC5-Composition-emr-AnnaMeier.json	9902	3	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	15	10	0	0	0	0	0	0
fsh-generated/resources/Condition-EX-Condition.json	1387	2	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	7	3	0	0	0	0	0	0
fsh-generated/resources/Condition-UC1-Condition-Hypertonie.json	1114	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	6	4	0	0	0	0	0	0
fsh-generated/resources/Condition-UC1-Condition-KoronareHerzkrankheit.json	1125	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	5	3	0	0	0	0	0	0
fsh-generated/resources/Condition-UC2-Condition-Schlaganfall.json	1120	2	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	4	3	0	0	0	0	0	0
