URL,Version,Status,OIDs,Name,Title,Description,Uses,Used,Sources
http://fhir.ch/ig/ch-core/ValueSet/ch-core-maritalstatus,3.4.0,active,,ChCoreMaritalStatus,ChCoreMaritalStatus,"MaritalStatus combined by fhir and eCH-11. See [maritalData - Zivilstandsangaben eCH-11](https://www.bfs.admin.ch/bfs/de/home/statistiken/kataloge-datenbanken/publikationen.assetdetail.349276.html) and/or [BFS Amtlicher Katalog der Merkmale](https://www.bfs.admin.ch/bfs/de/home/statistiken/kataloge-datenbanken/publikationen.assetdetail.349276.html).","StructureDefinition/ch-emr-bundle","ch.fhir.ig.ch-term"
http://fhir.ch/ig/ch-emr/ValueSet/ch-emr-advance-directive-type-vs,1.0.0-ballot,active,,ChEmrAdvanceDirectiveTypeVS,Advance Directive Type,"Types of advance directives and emergency medical orders.","StructureDefinition/ch-emr-documentreference-advance-directive","LOINC"
http://fhir.ch/ig/ch-emr/ValueSet/ch-emr-clinical-document-types-vs,1.0.0-ballot,active,,ChEmrClinicalDocumentTypesVS,Clinical Document Types,"Value Set for clinical document types","StructureDefinition/ch-emr-documentreference","SCT"
http://fhir.ch/ig/ch-emr/ValueSet/ch-emr-cognitive-disability-types-vs,1.0.0-ballot,active,,ChEmrCognitiveDisabilityTypesVS,Cognitive disability types,"Value set for the types of cognitive disabilities based on SNOMED CT.","StructureDefinition/ch-emr-observation-cognitive-disability","SCT"
http://fhir.ch/ig/ch-emr/ValueSet/ch-emr-implant-type-vs,1.0.0-ballot,active,,ChEmrImplantTypeVS,Implant Type,"Codes for implant types","StructureDefinition/ch-emr-device","SCT"
http://fhir.ch/ig/ch-emr/ValueSet/ch-emr-mri-safety-status-vs,1.0.0-ballot,active,,ChEmrMriSafetyStatusVS,CH EMR MRI Safety Status,"Permitted values for the MRI safety status property of a device, per ASTM F2503: MR Safe, MR Conditional, MR Unsafe.","StructureDefinition/ch-emr-device","Internal"
http://fhir.ch/ig/ch-emr/ValueSet/ch-emr-physical-disability-types-vs,1.0.0-ballot,active,,ChEmrPhysicalDisabilityTypesVS,Physical disability types,"Value sets for the types of disabilities","StructureDefinition/ch-emr-observation-physical-disability","SCT"
http://fhir.ch/ig/ch-emr/ValueSet/ch-emr-resuscitation-status-vs,1.0.0-ballot,active,,ChEmrResuscitationStatusVS,Resuscitation status,"Coded resuscitation status values based on SNOMED CT, including all descendants of 304251008 (Resuscitation status).","StructureDefinition/ch-emr-observation-resuscitation-status","SCT"
http://fhir.ch/ig/ch-emr/ValueSet/ch-emr-risk-to-healthcare-personnel-vs,1.0.0-ballot,active,,ChEmrRiskToHealthcarePersonnelVS,Risk to Healthcare Personnel,"SNOMED CT concepts that may indicate a risk to healthcare personnel emanating from the patient. Includes selected children of the Infectious disease hierarchy whose descendants are person-to-person transmissible — viral, bacterial, sexually transmitted, respiratory, healthcare-associated and parasitic disease — plus an aggressive behavior finding. Branches that do not pose a meaningful staff-transmission risk (anatomical-location infections, post-procedural / device-associated infections, sepsis variants, congenital and perinatal infections, plant / Microspora / Oomycota / fish infections, and the like) are excluded.","StructureDefinition/ch-emr-flag-risk-to-healthcare-personnel","SCT"
http://fhir.ch/ig/ch-term/ValueSet/DocumentEntry.classCode,3.4.0,active,"2.16.756.5.30.1.127.3.10.1.3",DocumentEntryClassCode,DocumentEntry.classCode,"Document class as per EPRO-FDHA Annex 3","StructureDefinition/ch-emr-documentreference,StructureDefinition/ch-emr-documentreference-advance-directive","SCT"
http://fhir.ch/ig/ch-term/ValueSet/DocumentEntry.confidentialityCode,3.4.0,active,"2.16.756.5.30.1.127.3.10.1.5",DocumentEntryConfidentialityCode,DocumentEntry.confidentialityCode,"Document confidentiality as per Annex; EPRO-FDHA.","StructureDefinition/ch-emr-documentreference,StructureDefinition/ch-emr-documentreference-advance-directive","SCT"
