URL,Version,Status,OIDs,Name,Title,Description,Used
http://fhir.ch/ig/ch-core/CodeSystem/bfs-medstats-17-admitsource,3.4.0,active,,BfsMedstats17Admitsource,BFS Medizinische Statistik - 17 1.2.V02 - Aufenthaltsort vor dem Eintritt / Séjour avant l’admission / Luogo di soggiorno prima dell’ammissione,"BFS defines variables for medical statistic (german, french, italian) see [BFS](https://www.bfs.admin.ch/bfs/de/home/statistiken/kataloge-datenbanken/publikationen.assetdetail.7066232.html). Unmittelbarer Aufenthaltsort vor dem Eintritt. Wo befand sich der Patient / die Patientin?","ValueSet/bfs-medstats-17-admitsource"
http://fhir.ch/ig/ch-core/CodeSystem/bfs-medstats-25-mainguarantor,3.4.0,active,,BfsMedstats25Mainguarantor,BFS Medizinische Statistik - 25 1.4.V02 - Hauptkostenträger für Grundversicherungsleistungen / Prise en charge des soins de base / Unità d’imputazione principale per le prestazioni dell’assicurazione di base,"BFS defines variables for medical statistic (german, french, italian) see [BFS](https://www.bfs.admin.ch/bfs/de/home/statistiken/kataloge-datenbanken/publikationen.assetdetail.7066232.html). Angabe des Hauptgaranten, der für die Kosten der Grundversicherungsleistungen des Spitalaufenthalts im Wesentlichen aufkommt. Keine Mehrfachnennungen möglich.","ValueSet/mainguarantor"
http://fhir.ch/ig/ch-core/CodeSystem/bfs-medstats-29-dischargeencounter,3.4.0,active,,BfsMedstats29Dischargeencounter,BFS Medizinische Statistik - 29 1.5.V04 - Behandlung nach Austritt / Prise en charge après la sortie / Trattamento dopo l’uscita,"BFS defines variables for medical statistic (german, french, italian) see [BFS](https://www.bfs.admin.ch/bfs/de/home/statistiken/kataloge-datenbanken/publikationen.assetdetail.7066232.html). Behandlung, Pflege, Rehabilitation nach dem Spitalaufenthalt. Es geht darum, den Behandlungserfolg resp. den Abhängigkeitsgrad bei Austritt anzugeben. Nur die am besten zutreffende Kategorie auswählen.","ValueSet/bfs-medstats-29-dischargeencounter"
http://fhir.ch/ig/ch-core/CodeSystem/ech-10,3.4.0,active,,ECH11CodeSystem,eCH-010 Types,"eCH-010 defines different Types for a postal address","ValueSet/ech-10-linetype"
http://fhir.ch/ig/ch-core/CodeSystem/ech-11-maritalstatus,3.4.0,active,,ECH11maritalstatus,eCH-011 MaritalStatus,"eCH-011 defines different maritalStatus Types. See [maritalData - Zivilstandsangaben eCH-11](https://www.bfs.admin.ch/bfs/de/home/statistiken/kataloge-datenbanken/publikationen.assetdetail.349276.html) and/or [BFS Amtlicher Katalog der Merkmale](https://www.bfs.admin.ch/bfs/de/home/statistiken/kataloge-datenbanken/publikationen.assetdetail.349276.html).","ValueSet/ch-core-maritalstatus"
http://fhir.ch/ig/ch-core/CodeSystem/ech-7-cantonflabbreviation,3.4.0,active,,CSECH007CantonFLAbbreviation,eCH-0007 Canton Abbreviation incl. FL (Fürstentum Liechtenstein),"eCH-0007 defines cantonAbbreviation/cantonFLAbbreviation (Kantonskürzel inkl. Fürstentum Liechtenstein), see [here](https://www.ech.ch/de/ech/ech-0007/6.0).","ValueSet/ech-7-cantonabbreviation"
http://fhir.ch/ig/ch-core/CodeSystem/mainguarantor,3.4.0,active,,Mainguarantor,Main guarantor,"BFS defines variables for the main guarantor, see [CodeSystem BfsMedstats25Mainguarantor](CodeSystem-bfs-medstats-25-mainguarantor.html). In the Swiss healthcare system, an additional value is used that is not covered by the BFS variables, so the code for supplementary insurance is defined here.","ValueSet/mainguarantor"
http://fhir.ch/ig/ch-ems/CodeSystem/IVR,2.0.0-ballot,draft,,IVRCodeSystem,IVR Codes,"Code system containing concepts defined by IVR.","ValueSet/IVR-VS-gcs-augenoeffnung,ValueSet/IVR-VS-gcsMotoric,ValueSet/IVR-VS-event,ValueSet/IVR-VS-violenceResult,ValueSet/IVR-VS-violenceForm,ValueSet/IVR-VS-bedding,ValueSet/IVR-VS-coldExposure,ValueSet/IVR-VS-pulseMethod,ValueSet/IVR-VS-emergDoctSystem,ValueSet/IVR-VS-idMedium,ValueSet/IVR-VS-missionTimeRole,ValueSet/IVR-VS-actRespiOwner,ValueSet/IVR-VS-urgency,ValueSet/IVR-VS-transReason,ValueSet/IVR-VS-NACA,ValueSet/IVR-VS-idSource,ValueSet/IVR-VS-transDisinfection,ValueSet/IVR-VS-InfectPersPrecaution,ValueSet/IVR-VS-heatExposure,ValueSet/IVR-VS-formation,ValueSet/IVR-VS-locationType,ValueSet/IVR-VS-urgency-adequate,ValueSet/IVR-VS-offender,ValueSet/IVR-VS-gcsVerbal,ValueSet/IVR-VS-actRecovAid,ValueSet/IVR-VS-missionType,ValueSet/IVR-VS-preTreatment,ValueSet/IVR-VS-vigilanzAvpu,ValueSet/IVR-VS-symptom,ValueSet/IVR-VS-teamRole,ValueSet/IVR-VS-intensity,ValueSet/IVR-VS-valType,ValueSet/IVR-VS-respirationObservation,ValueSet/IVR-VS-personRole"
http://fhir.ch/ig/ch-term/CodeSystem/servicerequest-category,3.4.0,active,,CSServiceRequestCategory,ServiceRequest Category,"Codes for the category of service request used to define the requested service.","ValueSet/servicerequest-category"
http://hl7.org/fhir/CodeSystem/medication-statement-status,4.0.1,draft,"2.16.840.1.113883.4.642.4.1379",Medication Status Codes,Medication  status  codes,"Medication Status Codes","ValueSet/medication-statement-status"
