Source File	Size	loadResources	load	generateSnapshots	load-configure	scan	loadDepInfo	loadInfo	checkR4R4B	generateNarratives	validate	loadLists	checkConformanceResources	checkConformanceResources2	checkConformanceResources3	generateLogicalMaps	validateExpressions	scanForUsageStats	checkURLsUnique	processProvenanceDetails	generate1	generate2	generateLogicals	makeDependencies	generateExampleZip	generateValidationPack	scanProfilesForR5	scanExamplesForR5
/fsh-generated/resources/ImplementationGuide-ch.fhir.ig.ch-ems.json	72734	-	0	0	0	0	0	0	15	61	0	0	0	0	1	0	0	1	0	0	208	285	0	0	0	9	0	2
fsh-generated/resources/AllergyIntolerance-1-Baumpollen.json	641	2	0	0	1	0	0	0	0	367	0	0	0	0	0	0	0	1	0	0	6	5	0	0	0	0	0	0
fsh-generated/resources/AllergyIntolerance-1-Medikamente.json	647	1	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	5	3	0	0	0	0	0	0
fsh-generated/resources/AllergyIntolerance-AllergyIntoleranceGrassPollen.json	667	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	5	3	0	0	0	0	0	0
fsh-generated/resources/Bundle-1-Einsatzprotokoll.json	64924	14	53	0	0	0	0	0	4	1	0	0	0	0	0	0	0	0	0	0	48	267	0	0	0	0	0	0
fsh-generated/resources/Bundle-1b-Einsatzprotokoll.json	66668	7	9	0	0	0	0	0	3	0	0	0	0	0	0	0	0	1	0	0	49	71	0	0	0	0	0	0
fsh-generated/resources/Bundle-2-Einsatzprotokoll.json	40131	6	5	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	32	41	0	0	0	0	0	1
fsh-generated/resources/Bundle-2b-Einsatzprotokoll.json	41800	6	5	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	31	43	0	0	0	0	0	0
fsh-generated/resources/CodeSystem-IVR.json	62831	6	0	0	0	0	1	0	5	29	0	0	1	0	0	0	0	1	0	0	107	91	0	0	0	7	0	0
fsh-generated/resources/Composition-1-Einsatzprotokoll-Composition.json	11521	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	13	18	0	0	0	0	0	1
fsh-generated/resources/Composition-1b-Einsatzprotokoll-Composition.json	11775	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	12	17	0	0	0	0	0	0
fsh-generated/resources/Composition-2-Einsatzprotokoll-Composition.json	10260	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	11	13	0	0	0	0	0	0
fsh-generated/resources/Composition-2b-Einsatzprotokoll-Composition.json	10433	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	10	14	0	0	0	0	0	0
fsh-generated/resources/ConceptMap-EmsAdministrative2Fhir.json	4986	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8	16	0	0	0	0	0	0
fsh-generated/resources/ConceptMap-EmsAnamnesis2Fhir.json	19012	2	0	0	1	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	48	21	0	0	0	1	0	0
fsh-generated/resources/ConceptMap-EmsAnnotation2Fhir.json	1933	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7	11	0	0	0	0	0	0
fsh-generated/resources/ConceptMap-EmsDiagnosis2Fhir.json	8832	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	14	14	0	0	0	0	0	0
fsh-generated/resources/ConceptMap-EmsEventOfDeath2Fhir.json	3315	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	8	12	0	0	0	0	0	0
fsh-generated/resources/ConceptMap-EmsFindings2Fhir.json	43821	3	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	46	29	0	0	0	2	0	0
fsh-generated/resources/ConceptMap-EmsHandover2Fhir.json	14879	2	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	25	17	0	0	0	0	0	0
fsh-generated/resources/ConceptMap-EmsMission2Fhir.json	52916	4	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	53	33	0	0	0	2	0	0
fsh-generated/resources/ConceptMap-EmsPatient2Fhir.json	17673	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	25	17	0	0	0	1	0	0
fsh-generated/resources/ConceptMap-EmsPretreatment2Fhir.json	3997	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	20	11	0	0	0	0	0	0
fsh-generated/resources/ConceptMap-EmsProcedures2Fhir.json	21919	2	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	22	19	0	0	0	1	0	0
fsh-generated/resources/ConceptMap-EmsTransport2Fhir.json	1923	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	6	10	0	0	0	0	0	0
fsh-generated/resources/Coverage-1-CoverageThomasMueller.json	454	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	3	0	0	0	0	0	0
fsh-generated/resources/Device-Device.json	508	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	3	6	0	0	0	0	0	0
fsh-generated/resources/Encounter-1-Einsatz.json	4258	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6	7	0	0	0	0	0	0
fsh-generated/resources/Encounter-2-Einsatz.json	2044	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	5	0	0	0	0	0	0
fsh-generated/resources/Encounter-EncounterExample.json	5997	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	10	7	0	0	0	0	0	0
fsh-generated/resources/Location-1-Einsatzort.json	464	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	2	0	0	0	0	0	0
