URL,Version,Status,OIDs,Name,Title,Description,Uses,Used,Sources
http://fhir.ch/ig/ch-ems/ValueSet/IVR-VS-InfectPersPrecaution,2.0.0-ballot,draft,,Ech0207InfectPersPrecaution,IVR Infection Transport Precaution Personnel,"List of precautions to be taken by staff when transporting infected persons.",,"SCT,Internal"
http://fhir.ch/ig/ch-ems/ValueSet/IVR-VS-NACA,2.0.0-ballot,draft,,NACA,IVR NACA,"List of NACA score states.",,"Internal"
http://fhir.ch/ig/ch-ems/ValueSet/IVR-VS-actRecovAid,2.0.0-ballot,draft,,ActRecovAid,IVR Recovery Aid,"List of tools used during the rescue and transportation of the patient.",,"SCT,Internal"
http://fhir.ch/ig/ch-ems/ValueSet/IVR-VS-actRespiOwner,2.0.0-ballot,draft,,ActRespiOwner,IVR Owner,"List of owners of tools.",,"SCT,Internal"
http://fhir.ch/ig/ch-ems/ValueSet/IVR-VS-ambulanceType,2.0.0-ballot,draft,,IVRVSambulanceType,IVR Ambulance Type,"List of possible rescue devices.",,"SCT"
http://fhir.ch/ig/ch-ems/ValueSet/IVR-VS-bedding,2.0.0-ballot,draft,,ECH0207bedding,IVR Transport Bedding,"List of possible positions of the patient during the mission.",,"SCT,Internal"
http://fhir.ch/ig/ch-ems/ValueSet/IVR-VS-coldExposure,2.0.0-ballot,draft,,IVRVScoldExposure,IVR Cold Exposure,"List of possible degrees of frostbite.",,"Internal"
http://fhir.ch/ig/ch-ems/ValueSet/IVR-VS-deathManner,2.0.0-ballot,draft,,IVRVSdeathManner,IVR Death Manner,"List of possible causes of death.",,"SCT"
http://fhir.ch/ig/ch-ems/ValueSet/IVR-VS-diagType,2.0.0-ballot,draft,,IVRVSdiagType,IVR Diagnosis Type,"List of types of diagnosis.",,"SCT"
http://fhir.ch/ig/ch-ems/ValueSet/IVR-VS-emergDoctSystem,2.0.0-ballot,draft,,EmergDoctSystem,IVR Emergency Doctor System,"List of types of emergency doctor systems.",,"Internal"
http://fhir.ch/ig/ch-ems/ValueSet/IVR-VS-event,2.0.0-ballot,draft,,IVRVSevent,IVR Event,"List of types of emergency events.",,"SCT,Internal"
http://fhir.ch/ig/ch-ems/ValueSet/IVR-VS-eyeForm,2.0.0-ballot,draft,,IVRVSeyeForm,IVR Eye Form,"List of shapes of the pupils.",,"SCT"
http://fhir.ch/ig/ch-ems/ValueSet/IVR-VS-findingsAirway,2.0.0-ballot,draft,,IVRVSfindingsAirway,IVR Findings Airway,"List of findings on the condition of the airways.",,"SCT"
http://fhir.ch/ig/ch-ems/ValueSet/IVR-VS-formation,2.0.0-ballot,draft,,IVRVSformation,IVR Formation,"List of the formation of rescue personnel.",,"SCT,Internal"
http://fhir.ch/ig/ch-ems/ValueSet/IVR-VS-gcs-augenoeffnung,2.0.0-ballot,draft,,GcsAugenoeffnung,IVR GCS Eye Opening,"List of GCS observations of the eye opening.",,"SCT,Internal"
http://fhir.ch/ig/ch-ems/ValueSet/IVR-VS-gcsMotoric,2.0.0-ballot,draft,,GcsMotoric,IVR GCS Motoric Response,"List of GCS observations of the motoric response.",,"SCT,Internal"
http://fhir.ch/ig/ch-ems/ValueSet/IVR-VS-gcsVerbal,2.0.0-ballot,draft,,GcsVerbal,IVR GCS Verbal Response,"List of GCS observations of the verbal response.",,"SCT,Internal"
http://fhir.ch/ig/ch-ems/ValueSet/IVR-VS-heatExposure,2.0.0-ballot,draft,,IVRVSheatExposure,IVR Heat Exposure,"List of degrees of burning.",,"Internal"
http://fhir.ch/ig/ch-ems/ValueSet/IVR-VS-hospitalPriority,2.0.0-ballot,draft,,IVRVShospitalPriority,IVR Hospital Priority,"List of priorities for hospital admission.",,"SCT"
http://fhir.ch/ig/ch-ems/ValueSet/IVR-VS-idMedium,2.0.0-ballot,draft,,IVRVSidMedium,IVR Identification Medium,"List of identification medium.",,"Internal"
http://fhir.ch/ig/ch-ems/ValueSet/IVR-VS-idSource,2.0.0-ballot,draft,,IVRVSidSource,IVR Identification Source,"List of persons who identified the patient.",,"SCT,Internal"
http://fhir.ch/ig/ch-ems/ValueSet/IVR-VS-intensity,2.0.0-ballot,draft,,IVRVSintensity,IVR Intensity,"List of pulse strengths.",,"SCT,Internal"
http://fhir.ch/ig/ch-ems/ValueSet/IVR-VS-laterality,2.0.0-ballot,draft,,IVRVSlaterality,IVR Laterality,"List of laterality codes",,"SCT"
http://fhir.ch/ig/ch-ems/ValueSet/IVR-VS-locationType,2.0.0-ballot,draft,,IVRVSlocationType,IVR Location Type,"List of types of event locations.",,"SCT,Internal"
http://fhir.ch/ig/ch-ems/ValueSet/IVR-VS-missionTimeRole,2.0.0-ballot,draft,,IVRVSmissionTimeRole,IVR Mission Time Role,"List of defined status times.",,"Internal"
http://fhir.ch/ig/ch-ems/ValueSet/IVR-VS-missionType,2.0.0-ballot,draft,,MissionType,IVR Mission Type,"List of types of the missions.",,"Internal"
http://fhir.ch/ig/ch-ems/ValueSet/IVR-VS-offender,2.0.0-ballot,draft,,IVRVSoffender,IVR Offender,"List of types of attackers on the rescue staff.",,"SCT,Internal"
http://fhir.ch/ig/ch-ems/ValueSet/IVR-VS-personRole,2.0.0-ballot,draft,,Ech0207personRole,IVR Person Role,"List of roles of other persons involved in the event or in connection with the patient.",,"SCT,Internal"
http://fhir.ch/ig/ch-ems/ValueSet/IVR-VS-preTreatType,2.0.0-ballot,draft,,PreTreatType,IVR Pretreatment Type,"List of types of pretreatment.",,"SCT"
http://fhir.ch/ig/ch-ems/ValueSet/IVR-VS-preTreatment,2.0.0-ballot,draft,,PreTreatmen,IVR Pretreatment,"List of types of persons who performed pretreatment.",,"SCT,Internal"
http://fhir.ch/ig/ch-ems/ValueSet/IVR-VS-pressureMethod,2.0.0-ballot,draft,,IVRVSpressureMethod,IVR Blood Pressure Method,"List of methods for measuring the blood pressure.",,"SCT"
http://fhir.ch/ig/ch-ems/ValueSet/IVR-VS-procAirType,2.0.0-ballot,draft,,IVRVSprocAirType,IVR Procedure Airway Type,"List of procedures for securing the airway.",,"SCT"
http://fhir.ch/ig/ch-ems/ValueSet/IVR-VS-pulesResult,2.0.0-ballot,draft,,IVRVSpulesResult,IVR Pulse Result,"List of pulse findings.",,"SCT"
http://fhir.ch/ig/ch-ems/ValueSet/IVR-VS-pulseMethod,2.0.0-ballot,draft,,IVRVSPulseMethod,IVR Pulse Method,"List of methods for assessing heart function.",,"SCT,Internal"
http://fhir.ch/ig/ch-ems/ValueSet/IVR-VS-respirationObservation,2.0.0-ballot,draft,,IVRVSrespirationObservation,IVR Respiration Observation,"List of findings in the assessment of breathing.",,"SCT,Internal"
