URL,Version,Status,OIDs,Name,Title,Description,Uses,Used,Sources
http://fhir.ch/ig/ch-allergyintolerance/ValueSet/CHAllergyIntoleranceValueSet,3.4.0,active,,CHAllergyIntoleranceValueSet,CH AllergyIntolerance,"CH AllergyIntolerance coding value set. This value set includes codes values  from SNOMED Clinical Terms® for no known [xy] allergies AND findings AND substances for the documentation of allergy or intolerance","StructureDefinition/ch-ems-allergyintolerance,StructureDefinition/logicalmodel-ems-protocol","SCT"
http://fhir.ch/ig/ch-ems/ValueSet/IVR-VS-InfectPersPrecaution,2.0.0-ballot,draft,,Ech0207InfectPersPrecaution,IVR Infection Transport Precaution Personnel,"List of precautions to be taken by staff when transporting infected persons.","StructureDefinition/ch-ems-procedure-precautionsinfection,StructureDefinition/logicalmodel-ems-protocol","SCT,Internal"
http://fhir.ch/ig/ch-ems/ValueSet/IVR-VS-NACA,2.0.0-ballot,draft,,NACA,IVR NACA,"List of NACA score states.","StructureDefinition/ch-ems-observation-naca,StructureDefinition/logicalmodel-ems-protocol","Internal"
http://fhir.ch/ig/ch-ems/ValueSet/IVR-VS-actRecovAid,2.0.0-ballot,draft,,ActRecovAid,IVR Recovery Aid,"List of tools used during the rescue and transportation of the patient.","StructureDefinition/ch-ems-procedure-transportation,StructureDefinition/logicalmodel-ems-protocol","SCT,Internal"
http://fhir.ch/ig/ch-ems/ValueSet/IVR-VS-actRespiOwner,2.0.0-ballot,draft,,ActRespiOwner,IVR Owner,"List of owners of tools.","StructureDefinition/ch-ems-ext-owner,StructureDefinition/logicalmodel-ems-protocol","SCT,Internal"
http://fhir.ch/ig/ch-ems/ValueSet/IVR-VS-ambulanceType,2.0.0-ballot,draft,,IVRVSambulanceType,IVR Ambulance Type,"List of possible rescue devices.","StructureDefinition/logicalmodel-ems-protocol,StructureDefinition/ch-ems-location-ambulance","SCT"
http://fhir.ch/ig/ch-ems/ValueSet/IVR-VS-bedding,2.0.0-ballot,draft,,ECH0207bedding,IVR Transport Bedding,"List of possible positions of the patient during the mission.","StructureDefinition/ch-ems-procedure-transportation,StructureDefinition/logicalmodel-ems-protocol","SCT,Internal"
http://fhir.ch/ig/ch-ems/ValueSet/IVR-VS-coldExposure,2.0.0-ballot,draft,,IVRVScoldExposure,IVR Cold Exposure,"List of possible degrees of frostbite.","StructureDefinition/ch-ems-observation-coldexposure,StructureDefinition/logicalmodel-ems-protocol","Internal"
http://fhir.ch/ig/ch-ems/ValueSet/IVR-VS-deathManner,2.0.0-ballot,draft,,IVRVSdeathManner,IVR Death Manner,"List of possible causes of death.","StructureDefinition/logicalmodel-ems-protocol,StructureDefinition/ch-ems-observation-deathmanner","SCT"
http://fhir.ch/ig/ch-ems/ValueSet/IVR-VS-diagType,2.0.0-ballot,draft,,IVRVSdiagType,IVR Diagnosis Type,"List of types of diagnosis.","StructureDefinition/ch-ems-observation-diagnosis,StructureDefinition/logicalmodel-ems-protocol","SCT"
http://fhir.ch/ig/ch-ems/ValueSet/IVR-VS-emergDoctSystem,2.0.0-ballot,draft,,EmergDoctSystem,IVR Emergency Doctor System,"List of types of emergency doctor systems.","StructureDefinition/logicalmodel-ems-protocol,StructureDefinition/ch-ems-ext-emergencydoctorsystem","Internal"
http://fhir.ch/ig/ch-ems/ValueSet/IVR-VS-event,2.0.0-ballot,draft,,IVRVSevent,IVR Event,"List of types of emergency events.","StructureDefinition/logicalmodel-ems-protocol,StructureDefinition/ch-ems-observation-anamnesisevent","SCT,Internal"
http://fhir.ch/ig/ch-ems/ValueSet/IVR-VS-eyeForm,2.0.0-ballot,draft,,IVRVSeyeForm,IVR Eye Form,"List of shapes of the pupils.","StructureDefinition/ch-ems-observation-pupilshape,StructureDefinition/logicalmodel-ems-protocol","SCT"
http://fhir.ch/ig/ch-ems/ValueSet/IVR-VS-findingsAirway,2.0.0-ballot,draft,,IVRVSfindingsAirway,IVR Findings Airway,"List of findings on the condition of the airways.","StructureDefinition/ch-ems-observation-airways,StructureDefinition/logicalmodel-ems-protocol","SCT"
http://fhir.ch/ig/ch-ems/ValueSet/IVR-VS-formation,2.0.0-ballot,draft,,IVRVSformation,IVR Formation,"List of the formation of rescue personnel.","StructureDefinition/ch-ems-practitioner,StructureDefinition/logicalmodel-ems-protocol","SCT,Internal"
http://fhir.ch/ig/ch-ems/ValueSet/IVR-VS-gcs-augenoeffnung,2.0.0-ballot,draft,,GcsAugenoeffnung,IVR GCS Eye Opening,"List of GCS observations of the eye opening.","StructureDefinition/ch-ems-observation-gcs,StructureDefinition/logicalmodel-ems-protocol","SCT,Internal"
http://fhir.ch/ig/ch-ems/ValueSet/IVR-VS-gcsMotoric,2.0.0-ballot,draft,,GcsMotoric,IVR GCS Motoric Response,"List of GCS observations of the motoric response.","StructureDefinition/ch-ems-observation-gcs,StructureDefinition/logicalmodel-ems-protocol","SCT,Internal"
http://fhir.ch/ig/ch-ems/ValueSet/IVR-VS-gcsVerbal,2.0.0-ballot,draft,,GcsVerbal,IVR GCS Verbal Response,"List of GCS observations of the verbal response.","StructureDefinition/ch-ems-observation-gcs,StructureDefinition/logicalmodel-ems-protocol","SCT,Internal"
http://fhir.ch/ig/ch-ems/ValueSet/IVR-VS-heatExposure,2.0.0-ballot,draft,,IVRVSheatExposure,IVR Heat Exposure,"List of degrees of burning.","StructureDefinition/ch-ems-observation-heatexposure,StructureDefinition/logicalmodel-ems-protocol","Internal"
http://fhir.ch/ig/ch-ems/ValueSet/IVR-VS-hospitalPriority,2.0.0-ballot,draft,,IVRVShospitalPriority,IVR Hospital Priority,"List of priorities for hospital admission.","StructureDefinition/ch-ems-observation-statuspriority,StructureDefinition/logicalmodel-ems-protocol","SCT"
http://fhir.ch/ig/ch-ems/ValueSet/IVR-VS-idMedium,2.0.0-ballot,draft,,IVRVSidMedium,IVR Identification Medium,"List of identification medium.","StructureDefinition/logicalmodel-ems-protocol,StructureDefinition/ch-ems-ext-identification","Internal"
http://fhir.ch/ig/ch-ems/ValueSet/IVR-VS-idSource,2.0.0-ballot,draft,,IVRVSidSource,IVR Identification Source,"List of persons who identified the patient.","StructureDefinition/logicalmodel-ems-protocol,StructureDefinition/ch-ems-ext-identification","SCT,Internal"
http://fhir.ch/ig/ch-ems/ValueSet/IVR-VS-intensity,2.0.0-ballot,draft,,IVRVSintensity,IVR Intensity,"List of pulse strengths.","StructureDefinition/logicalmodel-ems-protocol,StructureDefinition/ch-ems-observation-heartrate","SCT,Internal"
http://fhir.ch/ig/ch-ems/ValueSet/IVR-VS-laterality,2.0.0-ballot,draft,,IVRVSlaterality,IVR Laterality,"List of laterality codes","StructureDefinition/ch-ems-ext-laterality,StructureDefinition/logicalmodel-ems-protocol","SCT"
http://fhir.ch/ig/ch-ems/ValueSet/IVR-VS-locationType,2.0.0-ballot,draft,,IVRVSlocationType,IVR Location Type,"List of types of event locations.","StructureDefinition/ch-ems-location-locationdestination,StructureDefinition/logicalmodel-ems-protocol","SCT,Internal"
http://fhir.ch/ig/ch-ems/ValueSet/IVR-VS-missionTimeRole,2.0.0-ballot,draft,,IVRVSmissionTimeRole,IVR Mission Time Role,"List of defined status times.","StructureDefinition/logicalmodel-ems-protocol,StructureDefinition/ch-ems-observation-missiontimestatus","Internal"
http://fhir.ch/ig/ch-ems/ValueSet/IVR-VS-missionType,2.0.0-ballot,draft,,MissionType,IVR Mission Type,"List of types of the missions.","StructureDefinition/ch-ems-encounter,StructureDefinition/logicalmodel-ems-protocol","Internal"
http://fhir.ch/ig/ch-ems/ValueSet/IVR-VS-offender,2.0.0-ballot,draft,,IVRVSoffender,IVR Offender,"List of types of attackers on the rescue staff.","StructureDefinition/ch-ems-ext-violence,StructureDefinition/logicalmodel-ems-protocol","SCT,Internal"
http://fhir.ch/ig/ch-ems/ValueSet/IVR-VS-personRole,2.0.0-ballot,draft,,Ech0207personRole,IVR Person Role,"List of roles of other persons involved in the event or in connection with the patient.","StructureDefinition/ch-ems-ext-personrole,StructureDefinition/logicalmodel-ems-protocol","SCT,Internal"
http://fhir.ch/ig/ch-ems/ValueSet/IVR-VS-preTreatType,2.0.0-ballot,draft,,PreTreatType,IVR Pretreatment Type,"List of types of pretreatment.","StructureDefinition/ch-ems-procedure-pretreatment,StructureDefinition/logicalmodel-ems-protocol","SCT"
