Source File	Size	loadResources	load	generateSnapshots	load-configure	scan	loadDepInfo	loadInfo	checkR4R4B	generateNarratives	validate	loadLists	checkConformanceResources	checkConformanceResources2	checkConformanceResources3	generateLogicalMaps	validateExpressions	scanForUsageStats	checkURLsUnique	processProvenanceDetails	generate1	generate2	generateLogicals	makeDependencies	generateExampleZip	generateValidationPack	scanProfilesForR5	scanExamplesForR5
/fsh-generated/resources/ImplementationGuide-ch.fhir.ig.ch-epl.json	61428	-	0	0	0	0	0	0	7	78	0	0	1	0	0	0	0	1	0	0	153	224	0	0	0	7	0	1
fsh-generated/resources/AdministrableProductDefinition-PhP-Budesonidum-Suspension.json	964	7	0	0	0	0	0	0	1	931	0	0	0	0	0	0	0	0	0	0	15	13	0	0	0	0	0	0
fsh-generated/resources/AdministrableProductDefinition-PhP-Estradiolum-Norethisteroni-Transdermalpatch.json	986	3	0	0	0	0	0	0	0	427	0	0	0	0	0	0	0	0	0	0	11	13	0	0	0	0	0	0
fsh-generated/resources/AdministrableProductDefinition-PhP-Nirmatrelvir-150mg-Filmcoatedtablet.json	974	4	0	0	0	0	0	0	0	427	0	0	0	0	0	0	0	0	0	0	12	16	0	0	0	0	0	0
fsh-generated/resources/AdministrableProductDefinition-PhP-Pembrolizumab-100mg-Vial.json	965	6	0	0	1	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	15	19	0	0	0	0	0	0
fsh-generated/resources/AdministrableProductDefinition-PhP-Ritonavirum-100mg-Filmcoatedtablet.json	973	3	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	9	17	0	0	0	0	0	0
fsh-generated/resources/AdministrableProductDefinition-PhP-Trientinum-150mg-Filmcoatedtablet.json	977	4	0	0	0	0	0	0	0	422	0	0	0	0	0	0	0	0	0	0	8	13	0	0	0	0	0	0
fsh-generated/resources/AdministrableProductDefinition-PhP-Trientinum-250mg-Capsule.json	955	4	0	0	0	0	0	0	0	419	0	0	0	0	0	0	0	0	0	0	10	11	0	0	0	0	0	0
fsh-generated/resources/Bundle-08f553cb-1404-4972-bf14-2023a5f59955.json	33995	30	0	0	0	0	0	0	1	478	0	0	0	0	0	0	0	0	0	0	72	87	0	0	0	0	0	1
fsh-generated/resources/Bundle-5bb930aa-f30d-4f10-aeef-e85f6b5f8d59.json	35398	13	0	0	0	0	0	0	2	38	0	0	0	0	0	0	0	0	0	0	77	78	0	0	0	0	0	0
fsh-generated/resources/Bundle-6722a9ee-ae3b-4c20-bcf0-9b7cb6f062db.json	34522	14	0	0	0	0	0	0	1	461	0	0	0	0	0	0	0	0	0	0	67	69	0	0	0	0	0	0
fsh-generated/resources/Bundle-a69ea53d-79d4-46f4-bd2e-7a71439f148f.json	38327	11	0	0	0	0	0	0	1	25	0	0	0	0	0	0	0	1	0	0	85	145	0	0	0	0	0	0
fsh-generated/resources/Bundle-b2eb19be-cca4-4fd8-a2a3-84d05631e6c0.json	44391	10	0	0	0	0	0	0	1	27	0	0	0	0	0	0	0	0	0	0	139	180	0	0	0	0	0	0
fsh-generated/resources/Bundle-c97d5d89-4467-4c1e-9954-9d1e1d1d46e2.json	32681	9	0	0	0	0	0	0	1	21	0	0	0	0	0	0	0	0	0	0	61	61	0	0	0	0	0	1
fsh-generated/resources/ClinicalUseDefinition-IND-10009900.json	861	5	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	9	12	0	0	0	0	0	0
fsh-generated/resources/ClinicalUseDefinition-IND-10019927.json	862	3	0	0	1	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	13	17	0	0	0	0	0	0
fsh-generated/resources/ClinicalUseDefinition-IND-10021782.json	857	3	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	13	17	0	0	0	0	0	0
fsh-generated/resources/ClinicalUseDefinition-IND-10027400.json	842	2	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	14	13	0	0	0	0	0	0
fsh-generated/resources/ClinicalUseDefinition-IND-10028881.json	869	3	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	13	7	0	0	0	0	0	0
fsh-generated/resources/ClinicalUseDefinition-IND-10030247.json	1112	2	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	9	7	0	0	0	0	0	0
fsh-generated/resources/ClinicalUseDefinition-IND-10031285.json	865	4	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	9	10	0	0	0	0	0	0
fsh-generated/resources/ClinicalUseDefinition-IND-10043971.json	887	3	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	16	11	0	0	0	0	0	0
fsh-generated/resources/ClinicalUseDefinition-IND-10061091.json	862	3	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	8	10	0	0	0	0	0	0
fsh-generated/resources/ClinicalUseDefinition-IND-10075566.json	864	2	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	14	11	0	0	0	0	0	0
fsh-generated/resources/ClinicalUseDefinition-IND-10084529.json	878	3	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	10	10	0	0	0	0	0	0
fsh-generated/resources/ClinicalUseDefinition-LIM-254837009.json	628	3	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	6	6	0	0	0	0	0	0
fsh-generated/resources/ClinicalUseDefinition-LIM-79886009.json	630	3	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	6	5	0	0	0	0	0	0
fsh-generated/resources/ClinicalUseDefinition-LIM-840539006.json	679	2	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	8	7	0	0	0	0	0	0
fsh-generated/resources/CodeSystem-ch-SMC-additional-monitoring-indicator.json	2338	4	0	0	0	0	0	0	0	9	0	0	0	0	0	0	0	0	0	0	11	1238	0	0	0	0	0	0
fsh-generated/resources/CodeSystem-ch-SMC-attached-document-type.json	2906	3	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	16	54	0	0	0	0	0	0
fsh-generated/resources/CodeSystem-ch-SMC-authorisation-category.json	15652	4	0	0	0	0	0	0	1	6	0	0	0	0	0	0	0	0	0	0	33	77	0	0	0	1	0	0
fsh-generated/resources/CodeSystem-ch-SMC-authorisation-status.json	4601	3	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	18	56	0	0	0	1	0	1
fsh-generated/resources/CodeSystem-ch-SMC-ingredient-role.json	2262	3	0	0	1	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	14	48	0	0	0	0	0	0
fsh-generated/resources/CodeSystem-ch-SMC-legal-status-of-supply.json	7501	4	0	0	0	0	0	0	1	3	0	0	0	0	0	0	0	0	0	0	18	131	0	0	0	1	0	0
fsh-generated/resources/CodeSystem-ch-SMC-marketing-status.json	526	3	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	10	61	0	0	0	0	0	0
fsh-generated/resources/CodeSystem-ch-SMC-pediatric-use-indicator.json	1795	2	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	9	44	0	0	0	0	0	0
fsh-generated/resources/CodeSystem-ch-SMC-special-precautions-for-storage.json	7858	4	0	0	0	0	0	0	0	6	0	0	0	0	0	0	0	1	0	0	17	48	0	0	0	0	0	0
fsh-generated/resources/CodeSystem-ch-SMC-substance.json	1900767	301	0	0	11	0	0	0	84	3761	0	0	10	0	0	0	0	15	0	0	5093	6510	0	0	0	524	0	8
