Source File	Size	loadResources	load	generateSnapshots	load-configure	scan	loadDepInfo	loadInfo	checkR4R4B	generateNarratives	validate	loadLists	checkConformanceResources	checkConformanceResources2	checkConformanceResources3	generateLogicalMaps	validateExpressions	scanForUsageStats	checkURLsUnique	processProvenanceDetails	generate1	generate2	generateLogicals	makeDependencies	generateExampleZip	generateValidationPack	scanProfilesForR5	scanExamplesForR5
/fsh-generated/resources/ImplementationGuide-ch.fhir.ig.ch-epl.json	74084	-	0	0	0	0	0	0	22	74	0	0	0	0	0	0	0	1	1	0	190	220	0	0	0	7	0	15
fsh-generated/resources/AdministrableProductDefinition-PhP-Abrilada-40mg-Pre-Filled-Pen.json	979	6	0	0	1	0	0	0	0	2097	0	0	0	0	0	0	0	0	0	0	23	21	0	0	0	0	0	0
fsh-generated/resources/AdministrableProductDefinition-PhP-Budesonidum-Suspension.json	964	3	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	12	10	0	0	0	0	0	0
fsh-generated/resources/AdministrableProductDefinition-PhP-Estradiolum-Norethisteroni-Transdermalpatch.json	986	3	0	0	0	0	0	0	0	8	0	0	0	0	0	0	0	0	0	0	9	10	0	0	0	0	0	0
fsh-generated/resources/AdministrableProductDefinition-PhP-Nirmatrelvir-150mg-Filmcoatedtablet.json	974	2	0	0	0	0	0	0	0	10	0	0	0	0	0	0	0	0	0	0	10	10	0	0	0	0	0	0
fsh-generated/resources/AdministrableProductDefinition-PhP-Pembrolizumab-100mg-Vial.json	965	3	0	0	0	0	0	0	1	4	0	0	0	0	0	0	0	0	0	0	20	12	0	0	0	0	0	0
fsh-generated/resources/AdministrableProductDefinition-PhP-Ritonavirum-100mg-Filmcoatedtablet.json	973	2	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	14	11	0	0	0	0	0	0
fsh-generated/resources/AdministrableProductDefinition-PhP-Trientinum-150mg-Filmcoatedtablet.json	977	2	0	0	0	0	0	0	0	11	0	0	0	0	0	0	0	0	0	0	13	9	0	0	0	0	0	0
fsh-generated/resources/AdministrableProductDefinition-PhP-Trientinum-250mg-Capsule.json	955	3	0	0	1	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	10	9	0	0	0	0	0	0
fsh-generated/resources/Bundle-08f553cb-1404-4972-bf14-2023a5f59955.json	34405	30	0	0	0	0	0	0	2	657	0	0	0	0	0	0	0	0	0	0	74	79	0	0	0	0	0	4
fsh-generated/resources/Bundle-3e18bbe5-4cc2-4eaa-8d27-815c0e885025.json	86452	31	0	0	0	0	0	0	6	81	0	0	0	0	0	0	0	1	0	0	270	162	0	0	0	0	0	2
fsh-generated/resources/Bundle-5bb930aa-f30d-4f10-aeef-e85f6b5f8d59.json	35193	14	0	0	0	0	0	0	2	35	0	0	0	0	0	0	0	0	0	0	74	71	0	0	0	0	0	2
fsh-generated/resources/Bundle-6722a9ee-ae3b-4c20-bcf0-9b7cb6f062db.json	34800	14	0	0	0	0	0	0	2	271	0	0	0	0	0	0	0	0	0	0	68	60	0	0	0	0	0	1
fsh-generated/resources/Bundle-a69ea53d-79d4-46f4-bd2e-7a71439f148f.json	38654	13	0	0	0	0	0	0	3	32	0	0	0	0	0	0	0	0	0	0	95	71	0	0	0	0	0	0
fsh-generated/resources/Bundle-b2eb19be-cca4-4fd8-a2a3-84d05631e6c0.json	45650	13	0	0	1	0	0	0	3	39	0	0	0	0	0	0	0	1	0	0	158	90	0	0	0	0	0	1
fsh-generated/resources/Bundle-c97d5d89-4467-4c1e-9954-9d1e1d1d46e2.json	32937	11	0	0	0	0	0	0	2	28	0	0	0	0	0	0	0	0	0	0	66	58	0	0	0	0	0	0
fsh-generated/resources/ClinicalUseDefinition-IND-10002556.json	866	4	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	17	12	0	0	0	0	0	0
fsh-generated/resources/ClinicalUseDefinition-IND-10003268.json	864	4	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	17	12	0	0	0	0	0	0
fsh-generated/resources/ClinicalUseDefinition-IND-10009900.json	861	4	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	8	8	0	0	0	0	0	0
fsh-generated/resources/ClinicalUseDefinition-IND-10019927.json	862	4	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	15	11	0	0	0	0	0	0
fsh-generated/resources/ClinicalUseDefinition-IND-10020041.json	868	2	0	0	1	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	17	10	0	0	0	0	0	0
fsh-generated/resources/ClinicalUseDefinition-IND-10021782.json	857	2	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	24	11	0	0	0	0	0	0
fsh-generated/resources/ClinicalUseDefinition-IND-10027400.json	842	2	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	20	11	0	0	0	0	0	0
fsh-generated/resources/ClinicalUseDefinition-IND-10028881.json	869	2	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	15	10	0	0	0	0	0	0
fsh-generated/resources/ClinicalUseDefinition-IND-10030247.json	1112	2	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	9	8	0	0	0	0	0	0
fsh-generated/resources/ClinicalUseDefinition-IND-10031285.json	865	3	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	9	9	0	0	0	0	0	0
fsh-generated/resources/ClinicalUseDefinition-IND-10037153.json	853	4	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	17	12	0	0	0	0	0	0
fsh-generated/resources/ClinicalUseDefinition-IND-10037160.json	863	5	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	17	11	0	0	0	0	0	0
fsh-generated/resources/ClinicalUseDefinition-IND-10043971.json	887	4	0	0	1	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	15	10	0	0	0	0	0	0
fsh-generated/resources/ClinicalUseDefinition-IND-10045365.json	862	4	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	18	11	0	0	0	0	0	0
fsh-generated/resources/ClinicalUseDefinition-IND-10046851.json	851	4	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	18	11	0	0	0	0	0	0
fsh-generated/resources/ClinicalUseDefinition-IND-10061091.json	862	5	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	8	9	0	0	0	0	0	0
fsh-generated/resources/ClinicalUseDefinition-IND-10075566.json	864	4	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	15	11	0	0	0	0	0	0
fsh-generated/resources/ClinicalUseDefinition-IND-10084529.json	878	4	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	9	10	0	0	0	0	0	0
fsh-generated/resources/ClinicalUseDefinition-IND-10089182.json	887	4	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	16	10	0	0	0	0	0	1
fsh-generated/resources/ClinicalUseDefinition-LIM-156370009.json	622	4	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	7	7	0	0	0	0	0	0
fsh-generated/resources/ClinicalUseDefinition-LIM-254837009.json	628	4	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	6	7	0	0	0	0	0	0
fsh-generated/resources/ClinicalUseDefinition-LIM-34000006.json	616	4	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	6	7	0	0	0	0	0	0
fsh-generated/resources/ClinicalUseDefinition-LIM-59393003.json	625	4	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	6	4	0	0	0	0	0	0
fsh-generated/resources/ClinicalUseDefinition-LIM-64766004.json	619	4	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	7	7	0	0	0	0	0	0
fsh-generated/resources/ClinicalUseDefinition-LIM-69896004.json	621	4	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	7	8	0	0	0	0	0	0
fsh-generated/resources/ClinicalUseDefinition-LIM-79886009.json	630	4	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	9	6	0	0	0	0	0	0
fsh-generated/resources/ClinicalUseDefinition-LIM-840539006.json	679	4	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	6	6	0	0	0	0	0	0
fsh-generated/resources/ClinicalUseDefinition-LIM-9014002.json	619	4	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	6	6	0	0	0	0	0	0
fsh-generated/resources/ClinicalUseDefinition-LIM-9631008.json	621	4	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	7	4	0	0	0	0	0	0
fsh-generated/resources/CodeSystem-ch-SMC-additional-monitoring-indicator.json	2338	5	0	0	0	0	0	0	1	15	0	0	0	0	0	0	0	0	0	0	11	467	0	0	0	1	0	0
fsh-generated/resources/CodeSystem-ch-SMC-attached-document-type.json	2906	2	0	0	0	0	0	0	0	12	0	0	0	0	0	0	0	0	0	0	10	51	0	0	0	0	0	0
fsh-generated/resources/CodeSystem-ch-SMC-authorisation-category.json	15652	5	0	0	0	0	0	0	1	15	0	0	0	0	0	0	0	0	0	0	26	66	0	0	0	1	0	1
fsh-generated/resources/CodeSystem-ch-SMC-authorisation-status.json	4601	5	0	0	0	0	0	0	0	12	0	0	0	0	0	0	0	0	0	0	17	40	0	0	0	0	0	0
fsh-generated/resources/CodeSystem-ch-SMC-ingredient-role.json	2262	5	0	0	0	0	0	0	1	10	0	0	0	0	0	0	0	0	0	0	15	34	0	0	0	0	0	0
fsh-generated/resources/CodeSystem-ch-SMC-legal-status-of-supply.json	7501	5	0	0	1	0	0	0	0	5	0	0	0	0	0	0	0	1	0	0	17	39	0	0	0	0	0	0
fsh-generated/resources/CodeSystem-ch-SMC-marketing-status.json	526	4	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	8	30	0	0	0	1	0	0
fsh-generated/resources/CodeSystem-ch-SMC-pediatric-use-indicator.json	1795	4	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	9	30	0	0	0	0	0	0
fsh-generated/resources/CodeSystem-ch-SMC-special-precautions-for-storage.json	7856	5	0	0	0	0	0	0	1	5	0	0	0	0	0	0	0	0	0	0	17	37	0	0	0	0	0	0
fsh-generated/resources/CodeSystem-ch-SMC-substance.json	1900767	388	0	0	17	0	0	0	137	3836	0	0	10	0	0	0	0	33	0	0	5318	8806	0	0	0	530	0	42
fsh-generated/resources/CodeSystem-ch-SMC-therapeuticproductcode.json	14118	7	0	0	0	0	0	0	0	6	0	0	0	0	0	0	0	0	0	0	28	24	0	0	0	1	0	0
