URL,Version,Status,OIDs,Name,Title,Description,Used
http://fhir.ch/ig/ch-epl/CodeSystem/ch-SMC-additional-monitoring-indicator,1.0.0-ballot,active,,ChSMCAdditionalMonitoringIndicatorCS,CH SMC - Additional Monitoring Indicator,"CH - Standard Terms used in Switzerland (aggregations of codes of ValueSets Additional Monitoring Indicator","ValueSet/ch-SMC-additional-monitoring-indicator"
http://fhir.ch/ig/ch-epl/CodeSystem/ch-SMC-attached-document-type,1.0.0-ballot,active,,ChSMCAttachedDocumentTypeCS,CH SMC - Attached Document Type,"CH - Standard Terms used in Switzerland (aggregations of codes of ValueSets Typ des Anhangs)","ValueSet/ch-SMC-attached-document-type"
http://fhir.ch/ig/ch-epl/CodeSystem/ch-SMC-authorisation-category,1.0.0-ballot,active,,ChSMCAuthorisationCategoryCS,CH SMC - Authorisation Category,"CH - Standard Terms used in Switzerland (aggregations of codes of ValueSets Authorisation Category)","ValueSet/ch-SMC-authorisation-category"
http://fhir.ch/ig/ch-epl/CodeSystem/ch-SMC-authorisation-status,1.0.0-ballot,active,,ChSMCAuthorisationStatusCS,CH SMC - Authorisation Status,"CH - Standard Terms used in Switzerland (aggregations of codes of ValueSets Zulassungsstatus)","ValueSet/ch-SMC-authorisation-status"
http://fhir.ch/ig/ch-epl/CodeSystem/ch-SMC-ingredient-role,1.0.0-ballot,active,,ChSMCIngredientRoleCS,CH SMC - Ingredient Role,"CH - Standard Terms used in Switzerland (aggregations of codes of ValueSets Funktion des Inhaltsstoffes)","ValueSet/ch-SMC-ingredient-role"
http://fhir.ch/ig/ch-epl/CodeSystem/ch-SMC-legal-status-of-supply,1.0.0-ballot,active,,ChSMCLegalStatusOfSupplyCS,CH SMC - Legal Status of Supply,"CH - Standard Terms used in Switzerland (aggregations of codes of ValueSets Abgabekategorie)","ValueSet/ch-SMC-legal-status-of-supply"
http://fhir.ch/ig/ch-epl/CodeSystem/ch-SMC-marketing-status,1.0.0-ballot,active,,ChSMCMarketingStatusCS,CH SMC - Marketing Status,"CH - Standard Terms used in Switzerland (aggregations of codes of ValueSets Vermarktungsstatus)","ValueSet/ch-SMC-marketing-status"
http://fhir.ch/ig/ch-epl/CodeSystem/ch-SMC-pediatric-use-indicator,1.0.0-ballot,active,,ChSMCPediatricUseIndicatorCS,CH SMC - Pediatric Use Indicator,"CH - Standard Terms used in Switzerland (aggregations of codes of ValueSets Pediatric Use Indicator)","ValueSet/ch-SMC-pediatric-use-indicator"
http://fhir.ch/ig/ch-epl/CodeSystem/ch-SMC-special-precautions-for-storage,1.0.0-ballot,active,,ChSMCSpecialPrecautionsForStorageCS,CH SMC - Special Precautions for Storage,"CH - Standard Terms used in Switzerland (aggregations of codes of ValueSets Besondere Vorsichtsmassnahmen für die Aufbewahrung)","ValueSet/ch-SMC-special-precautions-for-storage"
http://fhir.ch/ig/ch-epl/CodeSystem/ch-SMC-substance,1.0.0-ballot,active,,ChSMCSubstanceCS,CH SMC - Substance,"CH - Standard Terms used in Switzerland (aggregations of codes of ValueSets Substanzen)","ValueSet/ch-SMC-substance"
