Source File	Size	loadResources	load-configure	scan	loadDepInfo	loadInfo	load	generateSnapshots	checkR4R4B	generateNarratives	validate	loadLists	checkConformanceResources	checkConformanceResources2	checkConformanceResources3	generateLogicalMaps	validateExpressions	scanForUsageStats	checkURLsUnique	processProvenanceDetails	generate1	generate2	generateLogicals	makeDependencies	generateExampleZip	generateValidationPack	scanProfilesForR5	scanExamplesForR5
/input/ch.fhir.ig.ch-epr-fhir.xml	35676	-	0	0	0	0	0	0	9	1	0	0	0	0	0	0	0	4	0	0	215	143	0	0	0	9	0	3
fsh-generated/resources/Bundle-6de90529-3baa-4157-9bef-e945363b2c39.json	722	5	1	0	0	0	13	0	0	0	0	0	0	0	0	0	0	0	0	0	12	10	0	0	0	0	0	0
fsh-generated/resources/Bundle-FindMatchingCareServicesResponse.json	10773	6	0	0	0	0	17	0	1	1441	0	0	0	0	0	0	0	0	0	0	57	36	0	0	0	0	0	0
fsh-generated/resources/Bundle-PDQm-QueryResponse.json	1578	6	0	0	0	0	7	0	0	25	0	0	0	0	0	0	0	0	0	0	13	11	0	0	0	0	0	0
fsh-generated/resources/Bundle-PDQm-QueryResponseTooManyResults.json	2035	4	0	0	0	0	8	0	0	26	0	0	0	0	0	0	0	0	0	0	17	10	0	0	0	0	0	0
fsh-generated/resources/Bundle-PpqmFeedRequestBundleAdd.json	8635	5	0	0	0	0	12	0	1	0	0	0	0	0	0	0	0	0	0	0	34	13	0	0	0	0	0	0
fsh-generated/resources/Bundle-PpqmFeedRequestBundleDelete.json	682	4	1	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	18	8	0	0	0	0	0	0
fsh-generated/resources/Bundle-PpqmFeedRequestBundleUpdate.json	12631	6	0	0	0	0	6	0	0	0	0	0	0	0	0	0	0	0	0	0	42	11	0	0	0	0	0	0
fsh-generated/resources/Bundle-PpqmRetrieveResponseBundle.json	9039	5	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0	33	11	0	0	0	0	0	0
fsh-generated/resources/CapabilityStatement-CH.ATNA.AuditCreator.json	2722	4	0	0	0	0	0	0	1	31	0	0	0	0	0	0	0	0	0	0	62	29	0	1	0	1	0	1
fsh-generated/resources/CapabilityStatement-CH.ATNA.AuditRecordRepository.json	2760	4	0	0	0	0	0	0	0	10	0	0	0	0	0	0	0	0	0	0	56	18	0	0	0	1	0	0
fsh-generated/resources/CapabilityStatement-CH.MHD.DocumentConsumer.json	10654	4	1	0	0	0	0	0	0	43	0	0	0	0	0	0	0	0	0	0	68	12	0	0	0	2	0	0
fsh-generated/resources/CapabilityStatement-CH.MHD.DocumentRecipient.json	1568	4	0	0	0	0	0	0	0	10	0	0	0	0	0	0	0	0	0	0	24	10	0	0	0	1	0	0
fsh-generated/resources/CapabilityStatement-CH.MHD.DocumentResponder.json	10628	4	0	0	0	0	0	0	0	22	0	0	0	0	0	0	0	1	0	0	67	13	0	0	0	1	0	0
fsh-generated/resources/CapabilityStatement-CH.MHD.DocumentSource.json	1544	4	0	0	0	0	0	0	1	10	0	0	0	0	0	0	0	0	0	0	36	9	0	0	0	1	0	0
