URL,Version,Status,OIDs,Name,Title,Descriptino,Uses,Used,Sources
http://fhir.ch/ig/ch-core/ValueSet/ch-core-maritalstatus,3.0.0,active,,ChCoreMaritalStatus,ChCoreMaritalStatus,"MaritalStatus combined by fhir and eCH-11. See [maritalData - Zivilstandsangaben eCH-11](https://www.bfs.admin.ch/bfs/de/home/statistiken/kataloge-datenbanken/publikationen.assetdetail.349276.html) and/or [BFS Amtlicher Katalog der Merkmale](https://www.bfs.admin.ch/bfs/de/home/statistiken/kataloge-datenbanken/publikationen.assetdetail.349276.html).","StructureDefinition/ch-pdqm-patient,StructureDefinition/ch-pixm-patient-feed","ch.fhir.ig.ch-term"
http://fhir.ch/ig/ch-epr-fhir/ValueSet/ChPdqmMoreAttriburesRequested,4.0.1-ballot,active,,ChPdqmMoreAttriburesRequested,CH PDQm ValueSet More Attributes Requested,"Coded Values for indicating which additional attributes are requested to lower the results number.","StructureDefinition/ch-pdqm-moreattributesrequested","Internal"
http://fhir.ch/ig/ch-epr-fhir/ValueSet/PpqmActorIdentifierType,4.0.1-ballot,active,,PpqmActorIdentifierType,CH PPQm Actor Identifier Type,"Actor Identifier Types for CH:PPQm","StructureDefinition/PpqmConsentTemplate304,StructureDefinition/PpqmConsentTemplate303,StructureDefinition/PpqmConsentTemplate302,StructureDefinition/PpqmConsentTemplate203,StructureDefinition/PpqmConsent,StructureDefinition/PpqmConsentTemplate301,StructureDefinition/PpqmConsentTemplate202,StructureDefinition/PpqmConsentTemplate201","Other"
http://fhir.ch/ig/ch-epr-fhir/ValueSet/PpqmConsentIdentifierType,4.0.1-ballot,active,,PpqmConsentIdentifierType,CH PPQm Consent Identifier Type,"Value Set for CH:PPQm Consent Identifier Types",,"Internal"
http://fhir.ch/ig/ch-epr-fhir/ValueSet/PpqmFeedRequestHttpMethod,4.0.1-ballot,active,,PpqmFeedRequestHttpMethod,CH PPQm Feed Request HTTP Method,"HTTP methods allowed in CH:PPQm Feed requests","StructureDefinition/PpqmFeedRequestBundle","hl7.fhir.r4.core"
http://fhir.ch/ig/ch-epr-fhir/ValueSet/PpqmPolicySetTemplateId,4.0.1-ballot,active,,PpqmPolicySetTemplateId,CH PPQm Policy Set Template ID,"IDs of policy set templates","StructureDefinition/PpqmConsentTemplate304,StructureDefinition/PpqmConsentTemplate303,StructureDefinition/PpqmConsentTemplate302,StructureDefinition/PpqmConsentTemplate203,StructureDefinition/PpqmConsent,StructureDefinition/PpqmConsentTemplate301,StructureDefinition/PpqmConsentTemplate202,StructureDefinition/PpqmConsentTemplate201","Internal"
http://fhir.ch/ig/ch-epr-fhir/ValueSet/PpqmReferencedPolicySetDefaultProvide,4.0.1-ballot,active,,PpqmReferencedPolicySetDefaultProvide,CH PPQm Referenced Policy Set for Default Provide (203) template,"IDs of basis policy sets that may be referenced from template 203","StructureDefinition/PpqmConsentTemplate203","Other"
http://fhir.ch/ig/ch-epr-fhir/ValueSet/PpqmReferencedPolicySetFullAccess,4.0.1-ballot,active,,PpqmReferencedPolicySetFullAccess,CH PPQm Referenced Policy Set for Patients (201) and Representative (303) templates,"IDs of basis policy sets that may be referenced from templates 201 and 303","StructureDefinition/PpqmConsentTemplate304,StructureDefinition/PpqmConsentTemplate303,StructureDefinition/PpqmConsentTemplate201","Other"
http://fhir.ch/ig/ch-epr-fhir/ValueSet/PpqmReferencedPolicySetGroupEmergency,4.0.1-ballot,active,,PpqmReferencedPolicySetGroupEmergency,CH PPQm Referenced Policy Set for Emergency Access (202) and HCP Group (302) templates,"IDs of basis policy sets that may be referenced from templates 202 and 302","StructureDefinition/PpqmConsentTemplate302,StructureDefinition/PpqmConsentTemplate202","Other"
http://fhir.ch/ig/ch-epr-fhir/ValueSet/PpqmReferencedPolicySetHcpWithDelegation,4.0.1-ballot,active,,PpqmReferencedPolicySetHcpWithDelegation,CH PPQm Referenced Policy Set for Healthcare Professionals with Delegation (304) template,"IDs of basis policy sets that may be referenced from template 304",,"Other"
http://fhir.ch/ig/ch-epr-fhir/ValueSet/PpqmReferencedPolicySetHcpWithoutDelegation,4.0.1-ballot,active,,PpqmReferencedPolicySetHcpWithoutDelegation,CH PPQm Referenced Policy Set for Healthcare Professionals without Delegation (301) template,"IDs of basis policy sets that may be referenced from template 301","StructureDefinition/PpqmConsentTemplate301","Other"
http://fhir.ch/ig/ch-term/ValueSet/DocumentEntry.Ext.EprDeletionStatus,3.0.0,active,"2.16.756.5.30.1.127.3.10.15.3",DocumentEntryExtEprDeletionStauts,DocumentEntry.Ext.EprDeletionStatus,"Deletion codes as per supplement 1 to Annex 5 EPRO-FDHA.","StructureDefinition/ch-ext-deletionstatus","ch.fhir.ig.ch-term"
http://fhir.ch/ig/ch-term/ValueSet/DocumentEntry.classCode,3.0.0,active,"2.16.756.5.30.1.127.3.10.1.3",DocumentEntryClassCode,DocumentEntry.classCode,"Document class as per EPRO-FDHA Annex 3","StructureDefinition/ch-mhd-documentreference-comprehensive","SCT"
http://fhir.ch/ig/ch-term/ValueSet/DocumentEntry.confidentialityCode,3.0.0,active,"2.16.756.5.30.1.127.3.10.1.5",DocumentEntryConfidentialityCode,DocumentEntry.confidentialityCode,"Document confidentiality as per Annex; EPRO-FDHA.","StructureDefinition/ch-mhd-documentreference-comprehensive","SCT"
http://fhir.ch/ig/ch-term/ValueSet/DocumentEntry.formatCode,3.0.0,active,"2.16.756.5.30.1.127.3.10.1.9",DocumentEntryFormatCode,DocumentEntry.formatCode,"Document format as per Annex; EPRO-FDHA.         This unambiguous code defines the format of the XDS document. Together with the mimetype, this should provide the potential consumer with sufficient information as to whether they are in a position to process the document.      ","StructureDefinition/ch-mhd-documentreference-comprehensive","ihe.formatcode.fhir,ch.fhir.ig.ch-term,Other"
http://fhir.ch/ig/ch-term/ValueSet/DocumentEntry.healthcareFacilityTypeCode,3.0.0,active,"2.16.756.5.30.1.127.3.10.1.11",DocumentEntryHealthcareFacilityTypeCode,DocumentEntry.healthcareFacilityTypeCode,"Type of healthcare facility as per Annex 3; EPRO-FDHA.       This code describes the type of healthcare facility in which the document was compiled during the treatment process. In conjunction with the authorisation control, the patient can use this information to assign all documents from a specific type of healthcare facility to a specific confidentiality level in their rights and attributes, for example.","StructureDefinition/CH.mCSD.Organization,StructureDefinition/ch-mhd-documentreference-comprehensive","SCT"
http://fhir.ch/ig/ch-term/ValueSet/DocumentEntry.languageCode,3.0.0,active,"2.16.756.5.30.1.127.3.10.1.13",DocumentEntryLanguageCode,DocumentEntry.languageCode,"Document language as per Annex 3 EPRO-FDHA. Defines the language in which the document was written.","StructureDefinition/ch-mhd-documentreference-comprehensive","ch.fhir.ig.ch-term,hl7.terminology.r4"
http://fhir.ch/ig/ch-term/ValueSet/DocumentEntry.mimeType,3.0.0,active,"2.16.756.5.30.1.127.3.10.1.16",DocumentEntryMimeType,DocumentEntry.mimeType,"MIME type of the document as per Annex; EPRO-FDHA.","StructureDefinition/ch-mhd-documentreference-comprehensive","Other"
http://fhir.ch/ig/ch-term/ValueSet/DocumentEntry.originalProviderRole,3.0.0,active,"2.16.756.5.30.1.127.3.10.1.42",DocumentEntryOriginalProviderRole,DocumentEntry.originalProviderRole,"DocumentEntry.originalProviderRole","StructureDefinition/ch-ext-author-authorrole","ch.fhir.ig.ch-term"
http://fhir.ch/ig/ch-term/ValueSet/DocumentEntry.practiceSettingCode,3.0.0,active,"2.16.756.5.30.1.127.3.10.1.18",DocumentEntryPracticeSettingCode,DocumentEntry.practiceSettingCode,"Medical specialisation of the data captured in the document as per Annex 3; EPRO-FDHA.       This attribute assigns the contents of a document to a medical specialisation. It is conceivable that this information will assist the patient with setting or changing the confidentiality level of documents, which is relevant for controlling access.","StructureDefinition/ch-mhd-documentreference-comprehensive","SCT"
http://fhir.ch/ig/ch-term/ValueSet/DocumentEntry.typeCode,3.0.0,active,"2.16.756.5.30.1.127.3.10.1.27",DocumentEntryTypeCode,DocumentEntry.typeCode,"Type of document as per Annex 3 EPRO-FDHA.     The code defines a document’s type (e.g. discharge report, laboratory report). Each document type should be assigned to precisely one document class.","StructureDefinition/ch-mhd-documentreference-comprehensive","SCT"
http://fhir.ch/ig/ch-term/ValueSet/EprPurposeOfUse,3.0.0,active,"2.16.756.5.30.1.127.3.10.15.2",EprPurposeOfUse,EprPurposeOfUse,"Purpose Of Use as per Annex 5 EPRO-FDHA, Extension 1.","StructureDefinition/PpqmConsentTemplate304,StructureDefinition/PpqmConsentTemplate303,StructureDefinition/PpqmConsentTemplate302,StructureDefinition/PpqmConsentTemplate203,StructureDefinition/PpqmConsent,StructureDefinition/PpqmConsentTemplate301,StructureDefinition/PpqmConsentTemplate202,StructureDefinition/PpqmConsentTemplate201","ch.fhir.ig.ch-term"
http://fhir.ch/ig/ch-term/ValueSet/EprRole,3.0.0,active,"2.16.756.5.30.1.127.3.10.15.1",EprRole,EprRole,"Role codes as per Annex 5 EPRO-FDHA, version July 2019","StructureDefinition/PpqmConsentTemplate304,StructureDefinition/PpqmConsentTemplate303,StructureDefinition/PpqmConsentTemplate302,StructureDefinition/PpqmConsentTemplate203,StructureDefinition/PpqmConsent,StructureDefinition/PpqmConsentTemplate301,StructureDefinition/PpqmConsentTemplate202,StructureDefinition/PpqmConsentTemplate201","ch.fhir.ig.ch-term"
http://fhir.ch/ig/ch-term/ValueSet/HCProfessional.hcProfession,3.0.0,active,"2.16.756.5.30.1.127.3.10.8.1",HCProfessionalHcProfession,HCProfessional.hcProfession,"HCProfessional.hcProfession","StructureDefinition/CH.mCSD.PractitionerRole","SCT,ch.fhir.ig.ch-term"
http://fhir.ch/ig/ch-term/ValueSet/HCProfessional.hcSpecialisation,3.0.0,active,"2.16.756.5.30.1.127.3.10.8.2",HCProfessionalHcSpecialisation,HCProfessional.hcSpecialisation,"HCProfessional.hcSpecialisation","StructureDefinition/CH.mCSD.PractitionerRole","ch.fhir.ig.ch-term"
http://hl7.org/fhir/ValueSet/administrative-gender,4.0.1,active,"2.16.840.1.113883.4.642.3.1",AdministrativeGender,AdministrativeGender,"The gender of a person used for administrative purposes.","StructureDefinition/ch-pdqm-patient,StructureDefinition/ch-pixm-patient-feed,StructureDefinition/CH.mCSD.Practitioner","hl7.fhir.r4.core"
http://hl7.org/fhir/ValueSet/audit-entity-type,4.0.1,draft,"2.16.840.1.113883.4.642.3.458",AuditEventEntityType,Audit event entity type,"Code for the entity type involved in the audit event.","StructureDefinition/ch-epr-fhir-auditevent,StructureDefinition/ch-mhd-updatedocumentmetadata-audit-recipient,StructureDefinition/ch-mhd-updatedocumentmetadata-audit-source","THO,hl7.fhir.r4.core"
http://hl7.org/fhir/ValueSet/audit-event-action,4.0.1,draft,"2.16.840.1.113883.4.642.3.452",AuditEventAction,AuditEventAction,"Indicator for type of action performed during the event that generated the event.","StructureDefinition/ch-epr-fhir-auditevent,StructureDefinition/ch-mhd-updatedocumentmetadata-audit-recipient,StructureDefinition/ch-mhd-updatedocumentmetadata-audit-source","hl7.fhir.r4.core"
http://hl7.org/fhir/ValueSet/audit-event-outcome,4.0.1,draft,"2.16.840.1.113883.4.642.3.454",AuditEventOutcome,AuditEventOutcome,"Indicates whether the event succeeded or failed.","StructureDefinition/ch-epr-fhir-auditevent,StructureDefinition/ch-mhd-updatedocumentmetadata-audit-recipient,StructureDefinition/ch-mhd-updatedocumentmetadata-audit-source","hl7.fhir.r4.core"
