Source File	Size	loadResources	load-configure	scan	loadDepInfo	loadInfo	load	generateSnapshots	checkR4R4B	generateNarratives	validate	loadLists	checkConformanceResources	checkConformanceResources2	checkConformanceResources3	generateLogicalMaps	validateExpressions	scanForUsageStats	checkURLsUnique	processProvenanceDetails	generate1	generate2	generateLogicals	makeDependencies	generateExampleZip	generateValidationPack	scanProfilesForR5	scanExamplesForR5
/input/ch.fhir.ig.ch-epr-mhealth.xml	25472	-	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	1	0	0	128	78	0	0	0	3	0	0
fsh-generated/resources/Organization-SpitalXDept3.json	1287	10	0	0	0	0	0	0	0	21	0	0	0	0	0	0	0	0	0	0	8	16	0	1	0	0	0	1
fsh-generated/resources/Organization-PraxisP.json	1184	8	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	7	10	0	0	0	0	0	0
fsh-generated/resources/StructureDefinition-CH.mCSD.Practitioner.json	7009	21	0	0	0	0	0	188	0	103	0	0	0	0	0	0	0	1	0	0	244	1850	0	0	0	4	1	0
fsh-generated/resources/CapabilityStatement-CH.PDQm.Supplier.json	3381	10	0	0	0	0	0	0	0	18	0	0	0	0	0	0	0	0	0	0	11	27	0	0	0	1	0	0
fsh-generated/resources/AuditEvent-ex-auditProvideBundle-source.json	3705	13	0	0	0	0	0	0	0	419	0	0	0	0	0	0	0	0	0	0	17	14	0	0	0	0	0	0
fsh-generated/resources/Bundle-FindMatchingCareServicesResponse.json	10138	117	0	0	0	0	67	0	1	24	0	0	0	0	0	0	0	0	0	0	30	26	0	0	0	0	0	0
fsh-generated/resources/CapabilityStatement-CH.mCSD.CareServicesSelectiveSupplier.json	4870	16	0	0	0	0	0	0	0	8	0	0	0	0	0	0	0	0	0	0	14	10	0	0	0	0	0	0
fsh-generated/resources/CapabilityStatement-CH.PDQm.Consumer.json	3337	13	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	10	8	0	0	0	0	0	0
fsh-generated/resources/StructureDefinition-OidIdentifier.json	1429	10	1	0	0	0	0	22	0	14	0	0	0	0	0	0	0	1	0	0	38	227	0	0	0	1	0	0
fsh-generated/resources/StructureDefinition-CH.mCSD.Organization.json	6080	20	0	0	0	0	0	66	0	55	0	0	0	0	0	0	0	0	0	0	147	593	0	0	0	3	0	1
fsh-generated/resources/CapabilityStatement-CH.mCSD.CareServicesSelectiveConsumer.json	4870	15	0	0	0	0	0	0	0	6	0	0	0	0	0	0	0	0	0	0	13	8	0	0	0	0	0	0
fsh-generated/resources/PractitionerRole-PeterPanSpitalXDept3.json	853	8	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	5	5	0	0	0	0	0	0
fsh-generated/resources/PractitionerRole-PeterPanPraxisP.json	843	8	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	6	6	0	0	0	0	0	0
fsh-generated/resources/Practitioner-DrPeterPan.json	1781	10	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	9	6	0	0	0	0	0	0
fsh-generated/resources/StructureDefinition-CH.mCSD.PractitionerRole.json	4026	13	0	0	0	0	0	48	0	37	0	0	0	0	0	0	0	1	0	0	105	326	0	0	0	2	0	1
fsh-generated/resources/Organization-SpitalX.json	1182	28	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	7	6	0	0	0	0	0	0
/input/examples/parameters/ParametersPIXmInput.json	526	-	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	6	0	0	0	0	0	0
/input/examples/parameters/ParametersPIXmOutput.json	840	-	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	6	0	0	1	0	0	0
/input/examples/patient/PatientPIXmFeed.xml	1121	-	0	0	0	0	0	0	0	8	0	0	0	0	0	0	0	0	0	0	5	5	0	0	0	0	0	0
/input/examples/patient/FranzMusterNeedsAbsoluteUrl.xml	1248	-	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	5	6	0	0	0	0	0	0
/input/examples/organization/GruppenpraxisCH.xml	1441	-	0	0	0	0	0	0	0	9	0	0	0	0	0	0	0	0	0	0	6	5	0	0	0	0	0	0
/input/examples/bundle/2-7-BundleProvideDocument.json	9138	-	0	0	0	0	14	0	1	16	0	0	0	0	0	0	0	0	0	0	16	9	0	0	0	0	0	0
/input/examples/bundle/PDQm-Response.json	1430	-	0	0	0	0	4	0	0	1	0	0	0	0	0	0	0	0	0	0	4	5	0	0	0	0	0	0
/input/examples/list/2-7-DocSubMedicationCard.json	2036	-	0	0	0	0	0	0	0	2	0	1	0	0	0	0	0	0	0	0	6	8	0	0	0	0	0	0
/input/examples/documentreference/2-7-DocRefMedicationCard.json	4077	-	0	0	0	0	0	0	0	6	0	0	0	0	0	0	0	0	0	0	13	7	0	0	0	0	0	0
/input/examples/bundle/2-7-BundleProvideDocument-Response.json	1038	-	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	4	5	0	0	0	0	0	0
/input/examples/bundle/Bundle-FindSubmissionSets.json	2594	-	1	0	0	0	2	0	0	4	0	0	0	0	0	0	0	0	0	0	9	8	0	0	0	0	0	0
/input/examples/bundle/Bundle-FindDocumentReferences.json	4495	-	0	0	0	0	2	0	0	4	0	0	0	0	0	0	0	0	0	0	13	8	0	0	0	0	0	0
/input/resources/structuredefinition/ch-pixm-in-parameters.xml	3467	-	0	0	0	0	0	51	0	40	0	0	0	0	0	0	0	1	0	0	115	357	0	0	0	2	0	0
/input/resources/structuredefinition/ch-pixm-out-parameters.xml	3496	-	0	0	0	0	0	155	0	48	0	0	1	0	0	0	0	0	0	0	150	507	0	0	0	3	0	0
/input/resources/structuredefinition/ch-pixm-patient.xml	5246	-	0	0	0	0	0	137	0	226	0	0	0	0	0	0	0	2	0	0	304	1098	0	0	0	6	0	1
/input/resources/structuredefinition/ch-pixm-provider-organization.xml	2064	-	0	0	0	0	0	40	0	34	0	0	0	0	0	0	0	0	0	0	78	236	0	0	0	1	0	0
/input/resources/structuredefinition/ch-mhd-providedocumentbundle-comprehensive.xml	6024	-	0	0	0	0	0	300	0	231	0	0	0	0	0	0	0	3	0	0	657	1793	0	0	0	13	1	1
/input/resources/structuredefinition/ch-mhd-submissionset-comprehensive.xml	4671	-	0	0	0	0	0	69	0	80	0	0	0	0	0	0	0	1	0	0	171	498	0	0	0	4	0	0
/input/resources/structuredefinition/ch-mhd-documentreference-comprehensive.xml	14301	-	0	0	0	0	0	96	0	92	0	0	0	0	0	0	0	0	0	0	277	830	0	0	0	6	0	0
/input/resources/structuredefinition/ch-mhd-providedocumentbundle-comprehensive-response.xml	3421	-	0	0	0	0	0	73	0	64	0	0	0	0	0	0	0	1	0	0	136	395	0	0	0	2	0	0
/input/resources/structuredefinition/ch-mhd-submissionset-comprehensive-bundle.xml	3144	-	0	0	0	0	0	135	0	73	0	0	0	0	0	0	0	0	0	0	203	605	0	0	0	4	0	1
/input/resources/structuredefinition/ch-mhd-documentreference-comprehensive-bundle.xml	2595	-	0	0	0	0	0	83	0	72	0	0	0	0	0	0	0	0	0	0	195	569	0	0	0	4	0	0
/input/resources/structuredefinition/ch-epr-mhealth-humanname.xml	1766	-	0	0	0	0	0	48	0	24	0	0	0	0	0	0	0	0	0	0	52	156	0	0	0	1	0	0
/input/resources/structuredefinition/ch-epr-mhealth-birthname.xml	2793	-	0	0	0	0	0	33	0	35	0	0	0	0	0	0	0	1	0	0	73	216	0	0	0	3	0	0
/input/resources/structuredefinition/ch-ext-author-authorrole.xml	2523	-	1	0	0	0	0	9	0	9	0	0	0	0	0	0	0	0	0	0	31	115	0	0	0	1	0	0
/input/resources/structuredefinition/ch-ext-deletionstatus.xml	2291	-	0	0	0	0	0	11	0	9	0	0	0	0	0	0	0	0	0	0	31	80	0	0	0	1	0	0
/input/resources/operationdefinition/CH.PIXm.xml	2809	-	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	9	8	0	0	0	0	0	0
/input/resources/capabilitystatement/CH.mHealth.App.xml	1334	-	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	6	5	0	0	0	0	0	0
/input/resources/capabilitystatement/CH.PIXm.Consumer.xml	1660	-	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	7	9	0	0	0	0	0	0
/input/resources/capabilitystatement/CH.PIXm.Source.xml	1818	-	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	8	4	0	0	0	1	0	0
/input/resources/capabilitystatement/CH.MHD.DocumentSource.xml	1397	-	0	0	0	0	0	0	1	3	0	0	0	0	0	0	0	0	0	0	5	5	0	0	0	0	0	0
/input/resources/capabilitystatement/CH.MHD.DocumentConsumer.xml	12378	-	0	0	0	0	0	0	0	8	0	0	0	0	0	0	0	0	0	0	20	7	0	0	0	0	0	0
/input/resources/capabilitystatement/CH.mHealth.API.xml	1246	-	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	6	5	0	0	0	0	0	0
/input/resources/capabilitystatement/CH.PIXm.Manager.xml	2203	-	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	8	5	0	0	0	0	0	0
/input/resources/capabilitystatement/CH.MHD.DocumentRecipient.xml	1421	-	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	6	5	0	0	0	1	0	0
/input/resources/capabilitystatement/CH.MHD.DocumentResponder.xml	12423	-	0	0	0	0	0	0	0	7	0	0	0	0	0	0	0	0	0	0	19	7	0	0	0	0	0	0
