Source File	Size	loadResources	load-configure	scan	loadDepInfo	loadInfo	load	generateSnapshots	checkR4R4B	generateNarratives	validate	loadLists	checkConformanceResources	checkConformanceResources2	checkConformanceResources3	generateLogicalMaps	validateExpressions	scanForUsageStats	checkURLsUnique	processProvenanceDetails	generate1	generate2	generateLogicals	makeDependencies	generateExampleZip	generateValidationPack	scanProfilesForR5	scanExamplesForR5
/input/ch.fhir.ig.ch-epr-mhealth.xml	27454	-	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	105	211	0	0	0	4	0	12
fsh-generated/resources/Bundle-FindMatchingCareServicesResponse.json	10791	13	0	0	0	0	12	0	0	1317	0	0	0	0	0	0	0	1	0	0	33	369	0	0	0	0	0	1
fsh-generated/resources/Bundle-PDQm-QueryResponse.json	1581	2	0	0	0	0	3	0	1	14	0	0	0	0	0	0	0	0	0	0	6	44	0	0	0	0	0	0
fsh-generated/resources/Bundle-PDQm-QueryResponseTooManyResults.json	2041	2	0	0	0	0	2	0	0	2	0	0	0	0	0	0	0	0	0	0	10	42	0	0	0	0	0	0
fsh-generated/resources/CapabilityStatement-CH.ATNA.AuditCreator.json	2725	2	0	0	0	0	0	0	0	19	0	0	0	0	0	0	0	0	0	0	26	69	0	0	0	0	0	0
fsh-generated/resources/CapabilityStatement-CH.ATNA.AuditRecordRepository.json	2763	2	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	24	56	0	0	0	1	0	0
fsh-generated/resources/CapabilityStatement-CH.PDQm.Consumer.json	3465	3	0	0	0	0	0	0	0	41	0	0	0	0	0	0	0	0	0	0	22	59	0	0	0	1	0	0
fsh-generated/resources/CapabilityStatement-CH.PDQm.Supplier.json	3509	3	0	0	0	0	0	0	1	8	0	0	0	0	0	0	0	0	0	0	20	56	0	0	0	0	0	0
fsh-generated/resources/CapabilityStatement-CH.mCSD.CareServicesSelectiveConsumer.json	4870	5	0	0	0	0	0	0	0	10	0	0	0	0	0	0	0	0	0	0	25	63	0	0	0	1	0	0
fsh-generated/resources/CapabilityStatement-CH.mCSD.CareServicesSelectiveSupplier.json	4870	4	0	0	0	0	0	0	0	11	0	0	0	0	0	0	0	0	0	0	26	41	0	0	0	0	0	1
fsh-generated/resources/CodeSystem-1.3.6.1.4.1.19376.1.2.27.1.json	1260	2	1	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	7	4384	0	0	0	0	0	0
fsh-generated/resources/CodeSystem-2.16.756.5.30.1.127.3.10.17.json	968	1	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	5	45	0	0	0	0	0	0
fsh-generated/resources/OperationOutcome-PDQmResponseMoreAttributesRequested.json	1214	2	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	8	8	0	0	0	0	0	0
fsh-generated/resources/Organization-PraxisP.json	1184	2	0	0	0	0	0	0	1	3	0	0	0	0	0	0	0	0	0	0	7	7	0	0	0	0	0	0
fsh-generated/resources/Organization-SpitalX.json	1182	2	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	7	5	0	0	0	0	0	0
fsh-generated/resources/Organization-SpitalXDept3.json	1300	2	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	8	7	0	0	0	0	0	0
fsh-generated/resources/Practitioner-DrPeterPan.json	1946	3	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	10	6	0	0	0	0	0	0
fsh-generated/resources/PractitionerRole-PeterPanPraxisP.json	852	2	0	0	0	0	0	0	0	12	0	0	0	0	0	0	0	0	0	0	6	6	0	0	0	0	0	0
fsh-generated/resources/PractitionerRole-PeterPanSpitalXDept3.json	862	1	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	8	6	0	0	0	0	0	0
fsh-generated/resources/StructureDefinition-CH.mCSD.Organization.json	6080	5	0	0	0	0	0	53	0	61	0	0	1	0	0	0	0	1	0	0	158	1132	0	0	0	4	0	2
fsh-generated/resources/StructureDefinition-CH.mCSD.Practitioner.json	7009	6	0	0	0	0	0	225	0	69	0	0	0	0	0	0	0	1	0	0	218	508	0	0	0	5	0	3
fsh-generated/resources/StructureDefinition-CH.mCSD.PractitionerRole.json	4026	4	0	0	0	0	0	293	0	32	0	0	0	0	0	0	0	0	0	0	158	238	0	0	0	2	0	1
fsh-generated/resources/StructureDefinition-OidIdentifier.json	1429	2	0	0	0	0	0	62	0	12	0	0	0	0	0	0	0	0	0	0	43	112	0	0	0	2	0	1
fsh-generated/resources/StructureDefinition-ch-pdqm-moreattributesrequested.json	1510	2	0	0	0	0	0	278	0	19	0	0	0	0	0	0	0	0	0	0	77	154	0	0	0	2	0	0
fsh-generated/resources/StructureDefinition-ch-pdqm-querypatientresourceresponsemessage.json	2791	104	0	0	0	0	0	1322	0	164	0	0	0	0	0	0	0	1	0	0	3442	569	0	0	0	6	0	3
fsh-generated/resources/ValueSet-ChPdqmMoreAttriburesRequested.json	984	2	0	0	0	0	0	0	0	74	0	0	0	0	0	0	0	0	0	0	9	4364	0	0	0	1	0	0
/input/examples/parameters/ParametersPIXmInput.json	645	-	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	8	0	0	0	0	0	0
/input/examples/parameters/ParametersPIXmOutput.json	840	-	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	5	0	0	0	0	0	0
/input/examples/patient/PatientPIXmFeed.xml	1255	-	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	6	6	0	0	0	0	0	0
/input/examples/patient/FranzMusterNeedsAbsoluteUrl.xml	1376	-	1	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	6	5	0	0	0	0	0	0
/input/examples/organization/GruppenpraxisCH.xml	1465	-	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	8	5	0	0	0	0	0	0
/input/examples/bundle/2-7-BundleProvideDocument.json	9138	-	0	0	0	0	13	0	0	21	0	0	0	0	0	0	0	0	0	0	18	19	0	0	0	0	0	0
/input/examples/list/2-7-DocSubMedicationCard.json	2036	-	0	0	0	0	0	0	0	3	0	1	0	0	0	0	0	0	0	0	8	23	0	0	0	0	0	0
/input/examples/documentreference/2-7-DocRefMedicationCard.json	4077	-	0	0	0	0	0	0	0	9	0	0	0	0	0	0	0	0	0	0	16	9	0	0	0	0	0	0
/input/examples/bundle/2-7-BundleProvideDocument-Response.json	1038	-	0	0	0	0	2	0	1	0	0	0	0	0	0	0	0	0	0	0	3	5	0	0	0	0	0	0
/input/examples/bundle/Bundle-FindSubmissionSets.json	2594	-	0	0	0	0	1	0	0	4	0	0	0	0	0	0	0	0	0	0	11	8	0	0	0	0	0	0
/input/examples/bundle/Bundle-FindDocumentReferences.json	4495	-	0	0	0	0	2	0	0	21	0	0	0	0	0	0	0	0	0	0	16	9	0	0	1	0	0	0
/input/examples/auditevent/ex-auditProvideBundle-source.json	4074	-	0	0	0	0	0	0	0	303	0	0	0	0	0	0	0	0	0	0	18	27	0	0	0	0	0	0
/input/resources/structuredefinition/ch-pixm-in-parameters.xml	3467	-	0	0	0	0	0	442	0	43	0	0	0	0	0	0	0	1	0	0	130	246	0	0	0	2	0	0
/input/resources/structuredefinition/ch-pixm-out-parameters.xml	3496	-	0	0	0	0	0	494	0	43	0	0	0	0	0	0	0	0	0	0	158	272	0	0	0	4	1	1
/input/resources/structuredefinition/ch-pdqm-patient.xml	5194	-	0	0	0	0	0	289	0	209	0	0	0	0	0	0	0	1	0	0	287	653	0	0	0	5	0	1
/input/resources/structuredefinition/ch-pixm-patient-feed.xml	1830	-	0	0	0	0	0	125	0	89	0	0	0	0	0	0	0	1	0	0	247	480	0	0	0	4	0	1
/input/resources/structuredefinition/ch-pdqm-provider-organization.xml	2039	-	0	0	0	0	0	34	0	26	0	0	0	0	0	0	0	0	0	0	79	171	0	0	0	3	0	1
