URL,Version,Status,OIDs,Name,Title,Descriptino,Uses,Used,Sources
http://fhir.ch/ig/ch-core/ValueSet/ch-core-maritalstatus,4.0.0,active,,ChCoreMaritalStatus,ChCoreMaritalStatus,"MaritalStatus combined by fhir and eCH-11. See [maritalData - Zivilstandsangaben eCH-11](https://www.bfs.admin.ch/bfs/de/home/statistiken/kataloge-datenbanken/publikationen.assetdetail.349276.html) and/or [BFS Amtlicher Katalog der Merkmale](https://www.bfs.admin.ch/bfs/de/home/statistiken/kataloge-datenbanken/publikationen.assetdetail.349276.html).","StructureDefinition/ch-pdqm-patient,StructureDefinition/ch-pixm-patient-feed","ch.fhir.ig.ch-core"
http://fhir.ch/ig/ch-epr-mhealth/ValueSet/ChPdqmMoreAttriburesRequested,3.0.0,active,,ChPdqmMoreAttriburesRequested,CH PDQm ValueSet More Attributes Requested,"Coded Values for indicating which additional attributes are requested to lower the results number.","StructureDefinition/ch-pdqm-moreattributesrequested","Internal"
http://fhir.ch/ig/ch-epr-term/ValueSet/DocumentEntry.Ext.EprDeletionStatus,2.0.10,active,"2.16.756.5.30.1.127.3.10.15.3",DocumentEntryExtEprDeletionStauts,DocumentEntry.Ext.EprDeletionStatus,"Deletion codes as per supplement 1 to Annex 5 EPRO-FDHA.","StructureDefinition/ch-ext-deletionstatus","ch.fhir.ig.ch-epr-term"
http://fhir.ch/ig/ch-epr-term/ValueSet/DocumentEntry.classCode,2.0.10,active,"2.16.756.5.30.1.127.3.10.1.3",DocumentEntryClassCode,DocumentEntry.classCode,"Document class as per EPRO-FDHA Annex 3","StructureDefinition/ch-mhd-documentreference-comprehensive","SCT"
http://fhir.ch/ig/ch-epr-term/ValueSet/DocumentEntry.confidentialityCode,2.0.10,active,"2.16.756.5.30.1.127.3.10.1.5",DocumentEntryConfidentialityCode,DocumentEntry.confidentialityCode,"Document confidentiality as per Annex; EPRO-FDHA.","StructureDefinition/ch-mhd-documentreference-comprehensive","SCT"
http://fhir.ch/ig/ch-epr-term/ValueSet/DocumentEntry.formatCode,2.0.10,active,"2.16.756.5.30.1.127.3.10.1.9",DocumentEntryFormatCode,DocumentEntry.formatCode,"Document format as per Annex; EPRO-FDHA.         This unambiguous code defines the format of the XDS document. Together with the mimetype, this should provide the potential consumer with sufficient information as to whether they are in a position to process the document.      ","StructureDefinition/ch-mhd-documentreference-comprehensive","ihe.formatcode.fhir,ch.fhir.ig.ch-epr-term,Other"
http://fhir.ch/ig/ch-epr-term/ValueSet/DocumentEntry.healthcareFacilityTypeCode,2.0.10,active,"2.16.756.5.30.1.127.3.10.1.11",DocumentEntryHealthcareFacilityTypeCode,DocumentEntry.healthcareFacilityTypeCode,"Type of healthcare facility as per Annex 3; EPRO-FDHA.       This code describes the type of healthcare facility in which the document was compiled during the treatment process. In conjunction with the authorisation control, the patient can use this information to assign all documents from a specific type of healthcare facility to a specific confidentiality level in their rights and attributes, for example.","StructureDefinition/CH.mCSD.Organization,StructureDefinition/ch-mhd-documentreference-comprehensive","SCT"
http://fhir.ch/ig/ch-epr-term/ValueSet/DocumentEntry.languageCode,2.0.10,active,"2.16.756.5.30.1.127.3.10.1.13",DocumentEntryLanguageCode,DocumentEntry.languageCode,"Document language as per Annex 3 EPRO-FDHA. Defines the language in which the document was written.","StructureDefinition/ch-mhd-documentreference-comprehensive","ch.fhir.ig.ch-epr-term,hl7.terminology.r4"
http://fhir.ch/ig/ch-epr-term/ValueSet/DocumentEntry.mimeType,2.0.10,active,"2.16.756.5.30.1.127.3.10.1.16",DocumentEntryMimeType,DocumentEntry.mimeType,"MIME type of the document as per Annex; EPRO-FDHA.","StructureDefinition/ch-mhd-documentreference-comprehensive","Other"
http://fhir.ch/ig/ch-epr-term/ValueSet/DocumentEntry.originalProviderRole,2.0.10,active,"2.16.756.5.30.1.127.3.10.1.42",DocumentEntryOriginalProviderRole,DocumentEntry.originalProviderRole,"DocumentEntry.originalProviderRole","StructureDefinition/ch-ext-author-authorrole","ch.fhir.ig.ch-epr-term"
http://fhir.ch/ig/ch-epr-term/ValueSet/DocumentEntry.practiceSettingCode,2.0.10,active,"2.16.756.5.30.1.127.3.10.1.18",DocumentEntryPracticeSettingCode,DocumentEntry.practiceSettingCode,"Medical specialisation of the data captured in the document as per Annex 3; EPRO-FDHA.       This attribute assigns the contents of a document to a medical specialisation. It is conceivable that this information will assist the patient with setting or changing the confidentiality level of documents, which is relevant for controlling access.","StructureDefinition/ch-mhd-documentreference-comprehensive","SCT"
http://fhir.ch/ig/ch-epr-term/ValueSet/DocumentEntry.typeCode,2.0.10,active,"2.16.756.5.30.1.127.3.10.1.27",DocumentEntryTypeCode,DocumentEntry.typeCode,"Type of document as per Annex 3 EPRO-FDHA.     The code defines a document’s type (e.g. discharge report, laboratory report). Each document type should be assigned to precisely one document class.","StructureDefinition/ch-mhd-documentreference-comprehensive","SCT"
http://fhir.ch/ig/ch-epr-term/ValueSet/HCProfessional.hcProfession,2.0.10,active,"2.16.756.5.30.1.127.3.10.8.1",HCProfessionalHcProfession,HCProfessional.hcProfession,"HCProfessional.hcProfession","StructureDefinition/CH.mCSD.PractitionerRole","ch.fhir.ig.ch-epr-term,SCT"
http://fhir.ch/ig/ch-epr-term/ValueSet/HCProfessional.hcSpecialisation,2.0.10,active,"2.16.756.5.30.1.127.3.10.8.2",HCProfessionalHcSpecialisation,HCProfessional.hcSpecialisation,"HCProfessional.hcSpecialisation","StructureDefinition/CH.mCSD.PractitionerRole","ch.fhir.ig.ch-epr-term"
http://hl7.org/fhir/ValueSet/administrative-gender,4.0.1,active,"2.16.840.1.113883.4.642.3.1",AdministrativeGender,AdministrativeGender,"The gender of a person used for administrative purposes.","StructureDefinition/ch-pdqm-patient,StructureDefinition/ch-pixm-patient-feed,StructureDefinition/CH.mCSD.Practitioner","hl7.fhir.r4.core"
http://hl7.org/fhir/ValueSet/bundle-type,4.0.1,active,"2.16.840.1.113883.4.642.3.620",BundleType,BundleType,"Indicates the purpose of a bundle - how it is intended to be used.","StructureDefinition/ch-mhd-providedocumentbundle-comprehensive,StructureDefinition/ch-mhd-submissionset-comprehensive-bundle,StructureDefinition/ch-mhd-documentreference-comprehensive-bundle,StructureDefinition/ch-mhd-providedocumentbundle-comprehensive-response,StructureDefinition/ch-pdqm-querypatientresourceresponsemessage","hl7.fhir.r4.core"
http://hl7.org/fhir/ValueSet/common-tags,4.0.1,draft,"2.16.840.1.113883.4.642.3.79",CommonTags,Common Tags,"Common Tag Codes defined by FHIR project","StructureDefinition/ch-mhd-providedocumentbundle-comprehensive,StructureDefinition/CH.mCSD.Organization,StructureDefinition/CH.mCSD.Practitioner,StructureDefinition/ch-mhd-submissionset-comprehensive","THO"
http://hl7.org/fhir/ValueSet/composition-status,4.0.1,draft,"2.16.840.1.113883.4.642.3.241",CompositionStatus,CompositionStatus,"The workflow/clinical status of the composition.","StructureDefinition/ch-mhd-documentreference-comprehensive","hl7.fhir.r4.core"
http://hl7.org/fhir/ValueSet/contact-point-system,4.0.1,active,"2.16.840.1.113883.4.642.3.71",ContactPointSystem,ContactPointSystem,"Telecommunications form for contact point.","StructureDefinition/ch-pdqm-patient,StructureDefinition/ch-pixm-patient-feed","hl7.fhir.r4.core"
http://hl7.org/fhir/ValueSet/contact-point-use,4.0.1,active,"2.16.840.1.113883.4.642.3.73",ContactPointUse,ContactPointUse,"Use of contact point.","StructureDefinition/ch-pdqm-patient,StructureDefinition/ch-pixm-patient-feed","hl7.fhir.r4.core"
http://hl7.org/fhir/ValueSet/contactentity-type,4.0.1,draft,"2.16.840.1.113883.4.642.3.416",ContactEntityType,Contact entity type,"This example value set defines a set of codes that can be used to indicate the purpose for which you would contact a contact party.","StructureDefinition/CH.mCSD.Organization,StructureDefinition/ch-pdqm-provider-organization","THO"
http://hl7.org/fhir/ValueSet/days-of-week,4.0.1,active,"2.16.840.1.113883.4.642.3.512",DaysOfWeek,DaysOfWeek,"The days of the week.","StructureDefinition/CH.mCSD.PractitionerRole","hl7.fhir.r4.core"
http://hl7.org/fhir/ValueSet/document-reference-status,4.0.1,draft,"2.16.840.1.113883.4.642.3.7",DocumentReferenceStatus,DocumentReferenceStatus,"The status of the document reference.","StructureDefinition/ch-mhd-documentreference-comprehensive","hl7.fhir.r4.core"
http://hl7.org/fhir/ValueSet/document-relationship-type,4.0.1,draft,"2.16.840.1.113883.4.642.3.244",DocumentRelationshipType,DocumentRelationshipType,"The type of relationship between documents.","StructureDefinition/ch-mhd-documentreference-comprehensive","hl7.fhir.r4.core"
http://hl7.org/fhir/ValueSet/http-verb,4.0.1,active,"2.16.840.1.113883.4.642.3.624",HTTPVerb,HTTPVerb,"HTTP verbs (in the HTTP command line). See [HTTP rfc](https://tools.ietf.org/html/rfc7231) for details.","StructureDefinition/ch-mhd-providedocumentbundle-comprehensive,StructureDefinition/ch-mhd-submissionset-comprehensive-bundle,StructureDefinition/ch-mhd-documentreference-comprehensive-bundle,StructureDefinition/ch-mhd-providedocumentbundle-comprehensive-response,StructureDefinition/ch-pdqm-querypatientresourceresponsemessage","hl7.fhir.r4.core"
http://hl7.org/fhir/ValueSet/identifier-type,4.0.1,active,"2.16.840.1.113883.4.642.3.45",Identifier Type Codes,IdentifierType,"A coded type for an identifier that can be used to determine which identifier to use for a specific purpose.","StructureDefinition/OidIdentifier,StructureDefinition/ch-pixm-out-parameters,StructureDefinition/ch-pixm-in-parameters","THO (V2)"
http://hl7.org/fhir/ValueSet/identifier-use,4.0.1,active,"2.16.840.1.113883.4.642.3.57",IdentifierUse,IdentifierUse,"Identifies the purpose for this identifier, if known .","StructureDefinition/OidIdentifier,StructureDefinition/ch-pixm-out-parameters,StructureDefinition/ch-pixm-in-parameters","hl7.fhir.r4.core"
http://hl7.org/fhir/ValueSet/issue-severity,4.0.1,active,"2.16.840.1.113883.4.642.3.408",IssueSeverity,IssueSeverity,"How the issue affects the success of the action.","StructureDefinition/ch-pdqm-moreattributesrequested","hl7.fhir.r4.core"
http://hl7.org/fhir/ValueSet/issue-type,4.0.1,active,"2.16.840.1.113883.4.642.3.410",IssueType,IssueType,"A code that describes the type of issue.","StructureDefinition/ch-pdqm-moreattributesrequested","hl7.fhir.r4.core"
http://hl7.org/fhir/ValueSet/languages,4.0.1,draft,"2.16.840.1.113883.4.642.3.20",CommonLanguages,Common Languages,"This value set includes common codes from BCP-47 (http://tools.ietf.org/html/bcp47)","StructureDefinition/ch-mhd-providedocumentbundle-comprehensive,StructureDefinition/ch-mhd-documentreference-comprehensive,StructureDefinition/ch-pdqm-moreattributesrequested,StructureDefinition/ch-mhd-providedocumentbundle-comprehensive-response,StructureDefinition/ch-pixm-out-parameters,StructureDefinition/ch-pdqm-patient,StructureDefinition/ch-mhd-submissionset-comprehensive-bundle,StructureDefinition/ch-pixm-patient-feed,StructureDefinition/CH.mCSD.Organization,StructureDefinition/ch-mhd-documentreference-comprehensive-bundle,StructureDefinition/ch-pixm-in-parameters,StructureDefinition/CH.mCSD.Practitioner,StructureDefinition/CH.mCSD.PractitionerRole,StructureDefinition/ch-pdqm-provider-organization,StructureDefinition/ch-mhd-submissionset-comprehensive,StructureDefinition/ch-pdqm-querypatientresourceresponsemessage","hl7.terminology.r4"
http://hl7.org/fhir/ValueSet/link-type,4.0.1,active,"2.16.840.1.113883.4.642.3.423",LinkType,LinkType,"The type of link between this patient resource and another patient resource.","StructureDefinition/ch-pdqm-patient,StructureDefinition/ch-pixm-patient-feed","hl7.fhir.r4.core"
http://hl7.org/fhir/ValueSet/list-empty-reason,4.0.1,draft,"2.16.840.1.113883.4.642.3.322",ListEmptyReasons,List Empty Reasons,"General reasons for a list to be empty. Reasons are either related to a summary list (i.e. problem or medication list) or to a workflow related list (i.e. consultation list).","StructureDefinition/ch-mhd-submissionset-comprehensive","THO"
http://hl7.org/fhir/ValueSet/list-item-flag,4.0.1,draft,"2.16.840.1.113883.4.642.3.320",PatientMedicineChangeTypes,Patient Medicine Change Types,"Example Item Flags for the List Resource. In this case, these are the kind of flags that would be used on a medication list at the end of a consultation.","StructureDefinition/ch-mhd-submissionset-comprehensive","hl7.fhir.r4.core"
http://hl7.org/fhir/ValueSet/list-mode,4.0.1,draft,"2.16.840.1.113883.4.642.3.318",ListMode,ListMode,"The processing mode that applies to this list.","StructureDefinition/ch-mhd-submissionset-comprehensive","hl7.fhir.r4.core"
http://hl7.org/fhir/ValueSet/list-order,4.0.1,draft,"2.16.840.1.113883.4.642.3.324",ListOrderCodes,List Order Codes,"Base values for the order of the items in a list resource.","StructureDefinition/ch-mhd-submissionset-comprehensive","THO"
http://hl7.org/fhir/ValueSet/list-status,4.0.1,draft,"2.16.840.1.113883.4.642.3.326",ListStatus,ListStatus,"The current state of the list.","StructureDefinition/ch-mhd-submissionset-comprehensive","hl7.fhir.r4.core"
http://hl7.org/fhir/ValueSet/name-part-qualifier,4.0.1,draft,"2.16.840.1.113883.4.642.3.906",EntityNamePartQualifier,EntityNamePartQualifier,"A set of codes each of which specifies a certain subcategory of the name part in addition to the main name part type.","StructureDefinition/ch-epr-mhealth-birthname","THO (V3)"
http://hl7.org/fhir/ValueSet/name-use,4.0.1,active,"2.16.840.1.113883.4.642.3.65",NameUse,NameUse,"The use of a human name.","StructureDefinition/ch-epr-mhealth-birthname,StructureDefinition/ch-epr-mhealth-humanname,StructureDefinition/CH.mCSD.Practitioner","hl7.fhir.r4.core"
http://hl7.org/fhir/ValueSet/organization-type,4.0.1,draft,"2.16.840.1.113883.4.642.3.414",OrganizationType,Organization type,"This example value set defines a set of codes that can be used to indicate a type of organization.","StructureDefinition/ch-pdqm-provider-organization","THO"
http://hl7.org/fhir/ValueSet/patient-contactrelationship,4.0.1,active,"2.16.840.1.113883.4.642.3.1130",PatientContactRelationship,Patient Contact Relationship ,"The nature of the relationship between the patient and the contact person.","StructureDefinition/ch-pdqm-patient,StructureDefinition/ch-pixm-patient-feed","THO (V2)"
