Source File	Size	loadResources	load-configure	scan	loadDepInfo	loadInfo	load	generateSnapshots	checkR4R4B	generateNarratives	validate	loadLists	checkConformanceResources	checkConformanceResources2	checkConformanceResources3	generateLogicalMaps	validateExpressions	scanForUsageStats	checkURLsUnique	processProvenanceDetails	generate1	generate2	generateLogicals	makeDependencies	generateExampleZip	generateValidationPack	scanProfilesForR5	scanExamplesForR5
/fsh-generated/resources/ImplementationGuide-ch.fhir.ig.ch-epr-ppqm.json	8423	-	0	0	0	0	0	0	1	18	0	0	0	0	0	0	0	1	0	0	47	20	0	0	0	1	0	0
fsh-generated/resources/ValueSet-PpqmActorIdentifierType.json	923	2	0	0	0	0	0	0	0	282	0	0	0	0	0	0	0	0	0	0	5	3414	0	0	0	1	0	0
fsh-generated/resources/ValueSet-PpqmFeedRequestHttpMethod.json	731	1	0	0	0	0	0	0	0	144	0	0	0	0	0	0	0	0	0	0	5	29	0	0	0	0	0	0
fsh-generated/resources/Bundle-PpqmRequestBundleDelete.json	674	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	3	5	0	0	0	0	0	0
fsh-generated/resources/StructureDefinition-PpqmResponseBundle.json	1397	3	0	0	0	0	0	71	0	47	0	0	0	0	0	0	0	0	0	0	135	462	0	0	0	2	0	0
fsh-generated/resources/Consent-Template202Consent.json	1950	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	6	0	0	0	0	0	0
fsh-generated/resources/Consent-Template201Consent.json	2111	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	5	0	0	0	0	0	0
fsh-generated/resources/ValueSet-PpqmReferencedPolicySet.json	1819	2	0	0	0	0	0	0	0	128	0	0	0	0	0	0	0	0	0	0	9	151	0	0	0	1	0	0
fsh-generated/resources/Consent-Template303Consent.json	2121	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	5	0	0	0	0	0	0
fsh-generated/resources/CodeSystem-PpqmConsentIdentifierType.json	674	1	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	5	19	0	0	0	0	0	0
fsh-generated/resources/Bundle-PpqmResponseBundle.json	8808	6	0	0	0	0	2	0	0	1	0	0	0	0	0	0	0	0	0	0	13	6	0	0	0	0	0	0
fsh-generated/resources/StructureDefinition-PpqmRequestBundle.json	4152	4	1	0	0	0	0	61	0	49	0	0	0	0	0	0	0	0	0	0	151	463	0	0	0	3	0	3
fsh-generated/resources/Consent-Template203Consent.json	2150	3	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	5	5	0	0	0	0	0	0
fsh-generated/resources/Bundle-PpqmRequestBundleAdd.json	8490	6	0	0	0	0	3	0	1	0	0	0	0	0	0	0	0	0	0	0	12	6	0	0	0	0	0	0
fsh-generated/resources/CodeSystem-PpqmPolicySetTemplateId.json	1201	2	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	8	19	0	0	0	0	0	0
fsh-generated/resources/ValueSet-PpqmConsentIdentifierType.json	486	1	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	3	30	0	0	0	0	0	0
fsh-generated/resources/Consent-Template301Consent.json	2284	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	5	0	0	0	0	0	0
fsh-generated/resources/StructureDefinition-PpqmConsent.json	27412	21	0	0	0	0	0	188	0	187	0	0	0	0	0	0	0	1	0	0	673	1524	0	0	0	12	1	1
fsh-generated/resources/ValueSet-PpqmPolicySetTemplateId.json	461	1	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	3	23	0	0	0	1	0	0
fsh-generated/resources/Consent-Template302Consent.json	2357	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6	6	0	0	0	0	0	0
fsh-generated/resources/Bundle-PpqmRequestBundleUpdate.json	9326	5	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	12	6	0	0	0	0	0	0
