URL,Version,Status,OIDs,Name,Title,Descriptino,Used
urn:oid:2.16.756.5.30.1.127.3.10.10,2.0.10,active,"2.16.756.5.30.1.127.3.10.10",ChEhealthCodesystemFormat,ch-ehealth-codesystem-format,"Document format as per Annex; EPRO-FDHA.         This unambiguous code defines the format of the XDS document. Together with the mimetype, this should provide the potential consumer with sufficient information as to whether they are in a position to process the document.      ",
urn:oid:2.16.756.5.30.1.127.3.10.12,2.0.10,active,"2.16.756.5.30.1.127.3.10.12",ChEhealthCodesystemLanguage,ch-ehealth-codesystem-language,"Document language as per Annex 3 EPRO-FDHA. Defines the language in which the document was written.",
urn:oid:2.16.756.5.30.1.127.3.10.14,2.0.10,active,"2.16.756.5.30.1.127.3.10.14",ChEhealthCodesystemAgentRole,ch-ehealth-codesystem-agentRole,"Role codes as per Annex 5 EPRO-FDHA, CH:ATC, version July 2019",
urn:oid:2.16.756.5.30.1.127.3.10.18,2.0.10,active,"2.16.756.5.30.1.127.3.10.18",ChEhealthCodesystemEprDeletionStatus,ch-ehealth-codesystem-eprdeletionstatus,"Deletion codes as per supplement 1 to Annex 5 EPRO-FDHA.",
urn:oid:2.16.756.5.30.1.127.3.10.5,2.0.10,active,"2.16.756.5.30.1.127.3.10.5",ChEhealthCodesystemPurposeOfUse,ch-ehealth-codesystem-purposeOfUse,"Purpose Of Use as per Annex 5 EPRO-FDHA, Extension 1.",
urn:oid:2.16.756.5.30.1.127.3.10.6,2.0.10,active,"2.16.756.5.30.1.127.3.10.6",ChEhealthCodesystemRole,ch-ehealth-codesystem-role,"Role codes as per Annex 5 EPRO-FDHA, version July 2019",
urn:oid:2.16.756.5.30.1.127.3.10.7,2.0.10,active,"2.16.756.5.30.1.127.3.10.7",ChEhealthCodesystemAtc,ch-ehealth-codesystem-atc,"Audit Trail Consumption Event Types for CH:ATC",
urn:oid:2.16.756.5.30.1.127.3.10.9,2.0.10,active,"2.16.756.5.30.1.127.3.10.9",ChEhealthCodesystemHpd,ch-ehealth-codesystem-hpd,"HCProfessional.hcProfession",
urn:oid:2.16.756.5.30.1.127.3.5,2.0.10,active,"2.16.756.5.30.1.127.3.5",ChEhealthCodesystemMedreg,ch-ehealth-codesystem-medreg,"HCProfessional.hcSpecialisation",
urn:oid:2.16.756.5.30.1.127.3.6,2.0.10,active,"2.16.756.5.30.1.127.3.6",ChEhealthCodesystemNareg,ch-ehealth-codesystem-nareg,"Speciality of the author as per Annex 3.",
