Source File	Size	loadResources	load	generateSnapshots	load-configure	scan	loadDepInfo	loadInfo	checkR4R4B	generateNarratives	validate	loadLists	checkConformanceResources	checkConformanceResources2	checkConformanceResources3	generateLogicalMaps	validateExpressions	scanForUsageStats	checkURLsUnique	processProvenanceDetails	generate1	generate2	generateLogicals	makeDependencies	generateExampleZip	generateValidationPack	scanProfilesForR5	scanExamplesForR5
/fsh-generated/resources/ImplementationGuide-ch.fhir.ig.ch-epreg.json	40912	-	0	0	0	0	0	0	7	373	0	0	0	0	0	0	0	1	0	0	150	273	0	0	0	11	0	1
fsh-generated/resources/Bundle-UC1-Document.json	63189	18	59	0	0	0	0	0	3	3059	0	0	0	0	0	0	0	1	0	0	146	256	0	0	0	0	0	1
fsh-generated/resources/Bundle-UC2-Document.json	45831	12	15	0	0	0	0	0	1	36	0	0	0	0	0	0	0	0	0	0	100	122	0	0	0	0	0	1
fsh-generated/resources/Composition-UC1-Composition.json	9385	7	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	22	51	0	0	0	0	0	0
fsh-generated/resources/Coverage-UC1-BasicInsurance.json	919	5	0	0	1	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	14	25	0	0	0	0	0	0
fsh-generated/resources/Coverage-UC1-SupplementaryInsurance.json	900	6	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	14	24	0	0	0	0	0	0
fsh-generated/resources/Encounter-1ba6df42-ae1a-4b4a-886f-33d6b2223b1f.json	625	5	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	13	25	0	0	0	0	0	0
fsh-generated/resources/Encounter-22aeb067-85f9-4b3b-9301-161604005206.json	760	5	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	15	15	0	0	0	0	0	0
fsh-generated/resources/Encounter-833fd8f2-b75f-4dba-990f-6c46aa468d51.json	744	5	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	14	14	0	0	0	0	0	0
fsh-generated/resources/Encounter-8e89c502-964f-4234-9728-540d881b0380.json	811	5	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	14	22	0	0	0	0	0	0
fsh-generated/resources/Encounter-UC1-EncounterChild20250123.json	593	6	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	14	16	0	0	0	0	0	0
fsh-generated/resources/Encounter-UC1-EncounterChild20250205.json	593	5	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	22	13	0	0	0	0	0	0
fsh-generated/resources/Encounter-UC1-EncounterMother20250123.json	969	5	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	19	14	0	0	0	0	0	0
fsh-generated/resources/Encounter-UC1-EncounterMother20250205.json	529	5	0	0	1	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	21	13	0	0	0	0	0	0
fsh-generated/resources/Observation-1ce882f2-953f-428e-a90b-a55271020fca.json	806	5	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	17	14	0	0	0	0	0	0
fsh-generated/resources/Observation-2db81543-7bf1-4965-a75e-00400c62e78b.json	790	5	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	14	14	0	0	0	0	0	0
fsh-generated/resources/Observation-2f167f2f-44f7-49e3-a970-d7f7a6573cd3.json	863	6	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	13	15	0	0	0	0	0	0
