Source File	Size	loadResources	load	generateSnapshots	load-configure	scan	loadDepInfo	loadInfo	checkR4R4B	generateNarratives	validate	loadLists	checkConformanceResources	checkConformanceResources2	checkConformanceResources3	generateLogicalMaps	validateExpressions	scanForUsageStats	checkURLsUnique	processProvenanceDetails	generate1	generate2	generateLogicals	makeDependencies	generateExampleZip	generateValidationPack	scanProfilesForR5	scanExamplesForR5
/fsh-generated/resources/ImplementationGuide-ch.fhir.ig.ch-epreg.json	47529	-	0	0	0	0	0	0	18	79	0	0	0	0	0	0	0	2	1	0	198	237	0	0	0	14	0	1
fsh-generated/resources/Appointment-UC3-Appointment20250310.json	537	12	0	0	0	0	0	0	0	1239	0	0	0	0	0	0	0	0	0	0	22	33	0	0	0	0	0	0
fsh-generated/resources/Bundle-UC1-Document.json	61926	23	49	0	1	0	0	0	6	3059	0	0	0	0	0	0	0	1	0	0	172	224	0	0	0	0	0	1
fsh-generated/resources/Bundle-UC2-Document.json	45285	26	13	0	0	0	0	0	3	21	0	0	0	0	0	0	0	0	0	0	118	160	0	0	0	0	0	0
fsh-generated/resources/Bundle-UC3-Document.json	21364	21	21	0	0	0	0	0	1	15	0	0	0	0	0	0	0	1	0	0	66	93	0	0	0	0	0	0
fsh-generated/resources/Composition-UC1-Composition.json	9343	12	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	27	66	0	0	0	0	0	0
fsh-generated/resources/Composition-UC3-Composition.json	3611	13	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	21	46	0	0	0	0	0	0
fsh-generated/resources/Coverage-UC1-BasicInsurance.json	919	7	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	18	31	0	0	0	0	0	0
fsh-generated/resources/Coverage-UC1-SupplementaryInsurance.json	900	8	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	17	30	0	0	0	0	0	0
fsh-generated/resources/Encounter-1ba6df42-ae1a-4b4a-886f-33d6b2223b1f.json	625	8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	21	32	0	0	0	0	0	0
fsh-generated/resources/Encounter-22aeb067-85f9-4b3b-9301-161604005206.json	760	7	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	17	32	0	0	0	0	0	0
fsh-generated/resources/Encounter-833fd8f2-b75f-4dba-990f-6c46aa468d51.json	744	7	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	17	20	0	0	0	0	0	0
fsh-generated/resources/Encounter-8e89c502-964f-4234-9728-540d881b0380.json	641	8	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	16	28	0	0	0	0	0	0
fsh-generated/resources/Encounter-UC1-EncounterChild20250123.json	593	7	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	17	23	0	0	0	0	0	0
fsh-generated/resources/Encounter-UC1-EncounterChild20250205.json	593	7	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	17	17	0	0	0	0	0	0
fsh-generated/resources/Encounter-UC1-EncounterMother20250123.json	688	7	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	17	18	0	0	0	0	0	0
fsh-generated/resources/Encounter-UC1-EncounterMother20250205.json	529	7	0	0	1	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	16	23	0	0	0	0	0	1
fsh-generated/resources/Encounter-UC3-EncounterChildA20250210.json	597	7	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	20	34	0	0	0	0	0	0
fsh-generated/resources/Encounter-UC3-EncounterChildB20250210.json	597	7	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	17	29	0	0	0	0	0	0
fsh-generated/resources/Encounter-UC3-EncounterMother20250210.json	690	8	0	0	0	0	0	0	1	2	0	0	0	0	0	0	0	0	0	0	16	25	0	0	0	0	0	0
fsh-generated/resources/Observation-1ce882f2-953f-428e-a90b-a55271020fca.json	806	7	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	16	21	0	0	0	0	0	0
fsh-generated/resources/Observation-2db81543-7bf1-4965-a75e-00400c62e78b.json	790	7	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	17	16	0	0	0	0	0	0
fsh-generated/resources/Observation-2f167f2f-44f7-49e3-a970-d7f7a6573cd3.json	864	8	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	16	26	0	0	0	0	0	0
fsh-generated/resources/Observation-3e120206-7aa2-4ced-82c3-3704868e023f.json	781	7	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	16	32	0	0	0	0	0	0
fsh-generated/resources/Observation-4268bd90-eff8-41f4-a7b4-2178dac0e470.json	1778	7	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	19	34	0	0	0	0	0	0
fsh-generated/resources/Observation-4a907770-6665-4fb4-b186-afd0ddf48742.json	968	7	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	18	31	0	0	0	0	0	0
fsh-generated/resources/Observation-4b9ca365-383e-41c8-9bac-b3c79aea1c7e.json	917	7	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	22	32	0	0	0	0	0	0
fsh-generated/resources/Observation-6eafd07b-c40a-4864-874c-cfe2d5b222ed.json	795	7	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	16	32	0	0	0	0	0	0
fsh-generated/resources/Observation-84869994-4348-4ad3-95ee-d9b0faf75dba.json	864	8	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	17	28	0	0	0	0	0	0
fsh-generated/resources/Observation-UC1-ALAT-20250205.json	879	7	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	16	30	0	0	0	0	0	0
fsh-generated/resources/Observation-UC1-AP-20250205.json	874	7	0	0	0	0	0	0	1	2	0	0	0	0	0	0	0	0	0	0	17	30	0	0	0	0	0	0
fsh-generated/resources/Observation-UC1-AST-20250205.json	880	8	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	16	31	0	0	0	0	0	0
fsh-generated/resources/Observation-UC1-AbdominalCircumference-20250205.json	750	7	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	17	22	0	0	0	0	0	0
fsh-generated/resources/Observation-UC1-BloodGroup-20250205.json	919	8	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	16	18	0	0	0	0	0	0
fsh-generated/resources/Observation-UC1-BloodPressure-20250123.json	1609	7	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	19	22	0	0	0	0	0	0
fsh-generated/resources/Observation-UC1-BloodPressure-20250205.json	1610	7	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	18	34	0	0	0	0	0	0
fsh-generated/resources/Observation-UC1-BodyWeight-20250123.json	916	8	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	21	31	0	0	0	0	0	0
fsh-generated/resources/Observation-UC1-BodyWeight-20250205.json	914	7	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	17	33	0	0	0	0	0	0
fsh-generated/resources/Observation-UC1-Creatinine-20250205.json	1088	7	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	17	31	0	0	0	0	0	0
fsh-generated/resources/Observation-UC1-FetalHeartFeature-20250205.json	618	7	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	16	30	0	0	0	0	0	0
