URL,Version,Status,OIDs,Name,Title,Description,Used
http://fhir.ch/ig/ch-core/CodeSystem/bfs-medstats-17-admitsource,3.2.0,active,,BfsMedstats17Admitsource,BFS Medizinische Statistik - 17 1.2.V02 - Aufenthaltsort vor dem Eintritt / Séjour avant l’admission / Luogo di soggiorno prima dell’ammissione,"BFS defines variables for medical statistic (german, french, italian) see [BFS](https://www.bfs.admin.ch/bfs/de/home/statistiken/kataloge-datenbanken/publikationen.assetdetail.7066232.html). Unmittelbarer Aufenthaltsort vor dem Eintritt. Wo befand sich der Patient / die Patientin?","ValueSet/bfs-medstats-17-admitsource"
http://fhir.ch/ig/ch-core/CodeSystem/bfs-medstats-18-admittype,3.2.0,active,,BfsMedstats17Admittype,BFS Medizinische Statistik - 18 1.2.V03 - Eintrittsart / Mode d’admission / Genere di ricovero,"BFS defines variables for medical statistic (german, french, italian) see [BFS](https://www.bfs.admin.ch/bfs/de/home/statistiken/kataloge-datenbanken/publikationen.assetdetail.7066232.html). Beschreibung der Umstände des Eintritts. Wie wurde der Patient / die Patientin aufgenommen?","ValueSet/bfs-medstats-18-admittype"
http://fhir.ch/ig/ch-core/CodeSystem/bfs-medstats-21-encountertype,3.2.0,active,,BfsMedstats17Admitsource,BFS Medizinische Statistik - 21 1.3.V02 - Klasse / Classe / Classe,"BFS defines variables for medical statistic (german, french, italian) see [BFS](https://www.bfs.admin.ch/bfs/de/home/statistiken/kataloge-datenbanken/publikationen.assetdetail.7066232.html). Im Rahmen des Spitalaufenthaltes belegte Liegeklasse, nicht die Versicherungskategorie. Bei Wechsel der Klasse ist die im Wesentlichen beanspruchte Klasse anzugeben.","ValueSet/bfs-medstats-21-encountertype"
http://fhir.ch/ig/ch-core/CodeSystem/bfs-medstats-25-mainguarantor,3.2.0,active,,BfsMedstats25Mainguarantor,BFS Medizinische Statistik - 25 1.4.V02 - Hauptkostenträger für Grundversicherungsleistungen / Prise en charge des soins de base / Unità d’imputazione principale per le prestazioni dell’assicurazione di base,"BFS defines variables for medical statistic (german, french, italian) see [BFS](https://www.bfs.admin.ch/bfs/de/home/statistiken/kataloge-datenbanken/publikationen.assetdetail.7066232.html). Angabe des Hauptgaranten, der für die Kosten der Grundversicherungsleistungen des Spitalaufenthalts im Wesentlichen aufkommt. Keine Mehrfachnennungen möglich.","ValueSet/mainguarantor"
http://fhir.ch/ig/ch-core/CodeSystem/bfs-medstats-29-dischargeencounter,3.2.0,active,,BfsMedstats29Dischargeencounter,BFS Medizinische Statistik - 29 1.5.V04 - Behandlung nach Austritt / Prise en charge après la sortie / Trattamento dopo l’uscita,"BFS defines variables for medical statistic (german, french, italian) see [BFS](https://www.bfs.admin.ch/bfs/de/home/statistiken/kataloge-datenbanken/publikationen.assetdetail.7066232.html). Behandlung, Pflege, Rehabilitation nach dem Spitalaufenthalt. Es geht darum, den Behandlungserfolg resp. den Abhängigkeitsgrad bei Austritt anzugeben. Nur die am besten zutreffende Kategorie auswählen.","ValueSet/bfs-medstats-29-dischargeencounter"
http://fhir.ch/ig/ch-core/CodeSystem/ech-10,3.2.0,active,,ECH11CodeSystem,eCH-010 Types,"eCH-010 defines different Types for a postal address","ValueSet/ech-10-linetype"
http://fhir.ch/ig/ch-core/CodeSystem/ech-11-maritalstatus,3.2.0,active,,ECH11maritalstatus,eCH-011 MaritalStatus,"eCH-011 defines different maritalStatus Types. See [maritalData - Zivilstandsangaben eCH-11](https://www.bfs.admin.ch/bfs/de/home/statistiken/kataloge-datenbanken/publikationen.assetdetail.349276.html) and/or [BFS Amtlicher Katalog der Merkmale](https://www.bfs.admin.ch/bfs/de/home/statistiken/kataloge-datenbanken/publikationen.assetdetail.349276.html).","ValueSet/ch-core-maritalstatus"
http://fhir.ch/ig/ch-core/CodeSystem/ech-7-cantonflabbreviation,3.2.0,active,,CSECH007CantonFLAbbreviation,eCH-0007 Canton Abbreviation incl. FL (Fürstentum Liechtenstein),"eCH-0007 defines cantonAbbreviation/cantonFLAbbreviation (Kantonskürzel inkl. Fürstentum Liechtenstein), see [here](https://www.ech.ch/de/ech/ech-0007/6.0).","ValueSet/ech-7-cantonabbreviation"
http://fhir.ch/ig/ch-core/CodeSystem/mainguarantor,3.2.0,active,,Mainguarantor,Main guarantor,"BFS defines variables for the main guarantor, see [CodeSystem BfsMedstats25Mainguarantor](CodeSystem-bfs-medstats-25-mainguarantor.html). In the Swiss healthcare system, an additional value is used that is not covered by the BFS variables, so the code for supplementary insurance is defined here.","ValueSet/mainguarantor"
http://hl7.org/fhir/address-type,4.0.1,active,"2.16.840.1.113883.4.642.4.70",AddressType,AddressType,"The type of an address (physical / postal).","ValueSet/address-type"
http://hl7.org/fhir/address-use,4.0.1,active,"2.16.840.1.113883.4.642.4.68",AddressUse,AddressUse,"The use of an address.","ValueSet/address-use"
http://hl7.org/fhir/administrative-gender,4.0.1,active,"2.16.840.1.113883.4.642.4.2",AdministrativeGender,AdministrativeGender,"The gender of a person used for administrative purposes.","ValueSet/administrative-gender"
http://hl7.org/fhir/bundle-type,4.0.1,active,"2.16.840.1.113883.4.642.4.621",BundleType,BundleType,"Indicates the purpose of a bundle - how it is intended to be used.","ValueSet/bundle-type"
