Source File	Size	loadResources	load	generateSnapshots	load-configure	scan	loadDepInfo	loadInfo	checkR4R4B	generateNarratives	validate	loadLists	checkConformanceResources	checkConformanceResources2	checkConformanceResources3	generateLogicalMaps	validateExpressions	scanForUsageStats	checkURLsUnique	processProvenanceDetails	generate1	generate2	generateLogicals	makeDependencies	generateExampleZip	generateValidationPack	scanProfilesForR5	scanExamplesForR5
/fsh-generated/resources/ImplementationGuide-ch.fhir.ig.ch-epreg.json	47529	-	0	0	0	0	0	0	5	15	0	0	0	0	0	0	0	1	0	0	184	172	0	0	0	9	0	1
fsh-generated/resources/Appointment-UC3-Appointment20250310.json	537	16	0	0	0	0	0	0	0	1211	0	0	0	0	0	0	0	0	0	0	32	30	0	0	0	0	0	0
fsh-generated/resources/Bundle-UC1-Document.json	61926	27	23	0	1	0	0	0	3	437	0	0	0	0	0	0	0	1	0	0	192	175	0	0	0	0	0	0
fsh-generated/resources/Bundle-UC2-Document.json	45285	19	9	0	0	0	0	0	2	26	0	0	0	0	0	0	0	0	0	0	140	128	0	0	0	0	0	0
fsh-generated/resources/Bundle-UC3-Document.json	21364	16	7	0	0	0	0	0	1	16	0	0	0	0	0	0	0	0	0	0	85	83	0	0	0	0	0	1
fsh-generated/resources/Composition-UC1-Composition.json	9343	14	0	0	0	0	0	0	1	2	0	0	0	0	0	0	0	0	0	0	41	61	0	0	0	0	0	0
fsh-generated/resources/Composition-UC3-Composition.json	3611	13	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	31	40	0	0	0	0	0	0
fsh-generated/resources/Coverage-UC1-BasicInsurance.json	919	12	0	0	1	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	28	28	0	0	0	0	0	0
fsh-generated/resources/Coverage-UC1-SupplementaryInsurance.json	900	12	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	29	26	0	0	0	0	0	0
fsh-generated/resources/Encounter-1ba6df42-ae1a-4b4a-886f-33d6b2223b1f.json	625	12	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	29	28	0	0	0	0	0	0
fsh-generated/resources/Encounter-22aeb067-85f9-4b3b-9301-161604005206.json	760	12	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	28	30	0	0	0	0	0	0
fsh-generated/resources/Encounter-833fd8f2-b75f-4dba-990f-6c46aa468d51.json	744	11	0	0	1	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	25	28	0	0	0	0	0	0
fsh-generated/resources/Encounter-8e89c502-964f-4234-9728-540d881b0380.json	641	12	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	17	30	0	0	0	0	0	0
fsh-generated/resources/Encounter-UC1-EncounterChild20250123.json	593	11	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	17	19	0	0	0	0	0	0
fsh-generated/resources/Encounter-UC1-EncounterChild20250205.json	593	12	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	17	18	0	0	0	0	0	0
fsh-generated/resources/Encounter-UC1-EncounterMother20250123.json	688	11	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	16	18	0	0	0	0	0	0
fsh-generated/resources/Encounter-UC1-EncounterMother20250205.json	529	12	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	17	16	0	0	0	0	0	0
fsh-generated/resources/Encounter-UC3-EncounterChildA20250210.json	597	11	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	17	17	0	0	0	0	0	0
