Source File	Size	loadResources	load-configure	scan	loadDepInfo	loadInfo	load	generateSnapshots	checkR4R4B	generateNarratives	validate	loadLists	checkConformanceResources	checkConformanceResources2	checkConformanceResources3	generateLogicalMaps	validateExpressions	scanForUsageStats	checkURLsUnique	processProvenanceDetails	generate1	generate2	responsesForQuestionnaire	generateLogicals	makeDependencies	generateExampleZip	generateValidationPack	scanProfilesForR5	scanExamplesForR5
/fsh-generated/resources/ImplementationGuide-ch.fhir.ig.ch-etoc.json	22638	-	0	0	0	0	0	0	3	56	0	0	0	0	0	0	0	1	0	0	116	68	0	0	0	1	3	0	1
fsh-generated/resources/StructureDefinition-ch-etoc-document.json	2028	3	1	0	0	0	0	927	0	462	0	0	1	0	0	0	0	5	0	0	1222	5621	0	0	0	0	22	0	3
fsh-generated/resources/StructureDefinition-ch-etoc-procedure.json	1499	4	0	0	0	0	0	82	0	54	0	0	0	0	0	0	0	0	0	0	138	639	0	0	0	0	3	0	1
fsh-generated/resources/CodeSystem-ch-etoc-conditioncategory.json	958	2	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	8	932	0	0	0	0	0	0	0
fsh-generated/resources/StructureDefinition-ch-etoc-allergyintolerance.json	1628	3	0	0	0	0	0	76	0	55	0	0	0	0	0	0	0	1	0	0	157	678	0	0	0	0	3	1	0
fsh-generated/resources/StructureDefinition-ch-etoc-illness.json	2660	4	0	0	0	0	0	66	0	70	0	0	0	0	0	0	0	0	0	0	129	439	0	0	0	0	2	0	0
fsh-generated/resources/Questionnaire-ch-etoc-module-anamnesis.json	1843	2	0	0	0	0	0	0	0	7	0	0	0	0	0	0	0	0	0	0	26	14	0	0	0	0	1	0	0
fsh-generated/resources/Questionnaire-ch-etoc-module-allergyIntolerance.json	812	2	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	15	13	0	0	0	0	0	0	0
fsh-generated/resources/Questionnaire-ch-etoc-module-pathology.json	754	6	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	15	10	0	0	0	0	0	0	0
fsh-generated/resources/StructureDefinition-ch-etoc-secondary-diagnosis.json	2688	4	0	0	0	0	0	62	0	46	0	0	0	0	0	0	0	0	0	0	128	431	0	0	0	0	3	0	0
fsh-generated/resources/StructureDefinition-ch-etoc-device.json	1371	2	0	0	0	0	0	74	0	60	0	0	0	0	0	0	0	1	0	0	141	482	0	0	0	0	2	0	1
fsh-generated/resources/Patient-SUfferer.json	1433	3	0	0	0	0	0	0	0	38	0	0	0	0	0	0	0	0	0	0	6	9	0	0	0	0	0	0	0
fsh-generated/resources/Patient-SUffererCopyReceiver.json	619	2	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	4	5	0	0	0	0	0	0	0
fsh-generated/resources/Observation-BodyHeight.json	730	2	0	0	0	0	0	0	0	34	0	0	0	0	0	0	0	0	0	0	6	6	0	0	0	0	0	0	0
fsh-generated/resources/Questionnaire-ch-etoc-module-purpose.json	1302	2	0	0	0	0	0	0	0	8	0	0	0	0	0	0	0	0	0	0	21	9	0	0	0	0	0	0	0
fsh-generated/resources/Questionnaire-ch-etoc-module-diagnosis.json	2641	2	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	34	11	0	0	0	0	1	0	0
fsh-generated/resources/Questionnaire-QuestionnaireEtoc.json	91080	35	0	0	0	0	0	0	3	81	0	0	0	0	0	0	0	0	0	0	743	65	0	0	0	0	12	0	0
fsh-generated/resources/Questionnaire-ch-etoc-module-cardiology.json	789	2	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	16	11	0	0	0	0	1	0	0
fsh-generated/resources/Questionnaire-ch-etoc-module-attachment.json	1036	2	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	17	10	0	0	0	0	0	0	0
fsh-generated/resources/Observation-BodyWeight.json	730	2	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	6	7	0	0	0	0	0	0	0
