Source File	Size	loadResources	load	generateSnapshots	load-configure	scan	loadDepInfo	loadInfo	checkR4R4B	generateNarratives	validate	loadLists	checkConformanceResources	checkConformanceResources2	checkConformanceResources3	generateLogicalMaps	validateExpressions	scanForUsageStats	checkURLsUnique	processProvenanceDetails	generate1	generate2	responsesForQuestionnaire	generateLogicals	makeDependencies	generateExampleZip	generateValidationPack	scanProfilesForR5	scanExamplesForR5
/fsh-generated/resources/ImplementationGuide-ch.fhir.ig.ch-etoc.json	21670	-	0	0	0	0	0	0	15	176	0	0	0	0	1	0	0	1	0	0	102	143	0	0	0	0	6	0	1
fsh-generated/resources/AllergyIntolerance-AllergyIntolerance.json	490	5	0	0	1	0	0	0	0	46	0	0	0	0	0	0	0	0	0	1	11	22	0	0	0	0	0	0	0
fsh-generated/resources/Appointment-AppointmentHospitalStay.json	537	4	0	0	0	0	0	0	1	8	0	0	0	0	0	0	0	0	0	0	10	18	0	0	0	0	0	0	0
fsh-generated/resources/Bundle-DocumentEtoc.json	201367	61	84	0	0	0	0	0	15	3267	0	0	0	0	0	0	0	1	0	0	1058	410	0	0	0	0	0	0	6
fsh-generated/resources/Composition-CompositionEtoc.json	2006	8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	17	34	0	0	0	0	0	0	1
fsh-generated/resources/Condition-PastHistoryofIllnessesConditionEtoc.json	489	4	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	16	19	0	0	0	0	0	0	0
fsh-generated/resources/Condition-PrimaryDiagnosis.json	535	3	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	10	19	0	0	0	0	0	0	0
fsh-generated/resources/Condition-SecondaryDiagnosis1.json	554	3	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	10	19	0	0	0	0	0	0	0
fsh-generated/resources/Condition-SecondaryDiagnosis2.json	545	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	10	17	0	0	0	0	0	0	0
fsh-generated/resources/Coverage-CoverageKVG.json	1107	3	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	12	12	0	0	0	0	0	0	0
fsh-generated/resources/DocumentReference-DocumentReferenceAttachment.json	515	3	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	10	9	0	0	0	0	0	0	0
fsh-generated/resources/Location-LocationHospitalStay.json	450	3	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	16	8	0	0	0	0	0	0	0
fsh-generated/resources/Medication-MedicationEtoc1.json	217	3	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	14	11	0	0	0	0	0	0	0
fsh-generated/resources/Medication-MedicationEtoc2.json	214	2	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	10	8	0	0	0	0	0	0	0
fsh-generated/resources/Medication-MedicationEtoc3.json	239	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	9	8	0	0	0	0	0	0	0
fsh-generated/resources/Observation-Biopsy.json	799	3	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	11	10	0	0	0	0	0	0	0
fsh-generated/resources/Observation-BodyHeight.json	730	3	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	12	9	0	0	0	0	0	0	0
fsh-generated/resources/Observation-BodyWeight.json	730	3	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	16	10	0	0	0	0	0	0	0
fsh-generated/resources/Observation-Electrocardiogram.json	490	3	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	14	9	0	0	0	0	0	0	0
fsh-generated/resources/Observation-HbA1c.json	444	3	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	10	10	0	0	0	0	0	0	0
fsh-generated/resources/Observation-Hemoglobin.json	446	2	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	9	9	0	0	0	0	0	0	0
fsh-generated/resources/Observation-Imaging.json	473	3	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	10	10	0	0	0	0	0	0	0
fsh-generated/resources/Organization-HappyDoctors.json	397	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	9	8	0	0	0	0	0	0	0
fsh-generated/resources/Organization-HappyHospital.json	411	2	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	11	8	0	0	0	0	0	0	0
fsh-generated/resources/Patient-SUfferer.json	1433	3	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	11	9	0	0	0	0	0	0	0
fsh-generated/resources/Practitioner-DAtaenterer.json	450	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	14	10	0	0	0	0	0	0	0
fsh-generated/resources/Practitioner-ORderfiller.json	299	3	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	10	9	0	0	0	0	0	0	0
fsh-generated/resources/Practitioner-ORderplacer.json	856	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	10	8	0	0	0	0	0	0	0
fsh-generated/resources/Practitioner-SMeier.json	842	3	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	10	9	0	0	0	0	0	0	0
fsh-generated/resources/PractitionerRole-DAtaentererHappyDoctors.json	334	3	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	9	9	0	0	0	0	0	0	0
fsh-generated/resources/PractitionerRole-ORderfillerHappyHospital.json	336	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	10	9	0	0	0	0	0	0	0
fsh-generated/resources/PractitionerRole-ORderplacerHappyDoctors.json	334	2	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	15	13	0	0	0	0	0	0	0
fsh-generated/resources/Questionnaire-QuestionnaireEtoc-modular.json	16847	5	0	0	0	0	0	0	2	19	0	0	0	0	0	0	0	1	0	0	130	43	0	0	0	0	6	0	0
fsh-generated/resources/Questionnaire-QuestionnaireEtoc.json	114123	17	0	0	0	0	0	0	6	87	0	0	0	0	0	0	0	0	0	0	674	385	0	0	0	0	29	0	5
fsh-generated/resources/Questionnaire-ch-etoc-module-allergyIntolerance.json	790	3	0	0	1	0	0	0	0	7	0	0	0	0	0	0	0	0	0	0	19	19	0	0	0	0	1	0	0
fsh-generated/resources/Questionnaire-ch-etoc-module-anamnesis.json	1765	3	0	0	0	0	0	0	0	6	0	0	0	0	0	0	0	0	0	0	26	18	0	0	0	0	1	0	0
fsh-generated/resources/Questionnaire-ch-etoc-module-attachment.json	1039	3	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	21	18	0	0	0	0	1	0	0
fsh-generated/resources/Questionnaire-ch-etoc-module-cardiology.json	771	3	0	0	0	0	0	0	1	4	0	0	0	0	0	0	0	0	0	0	17	16	0	0	0	0	0	0	0
fsh-generated/resources/Questionnaire-ch-etoc-module-diagnosis.json	2589	3	0	0	0	0	0	0	0	10	0	0	0	0	0	0	0	0	0	0	36	20	0	0	0	0	2	0	0
fsh-generated/resources/Questionnaire-ch-etoc-module-imaging.json	736	2	0	0	0	0	0	0	0	7	0	0	0	0	0	0	0	0	0	0	22	16	0	0	0	0	0	0	0
fsh-generated/resources/Questionnaire-ch-etoc-module-immunizationstatus.json	774	3	0	0	0	0	0	0	0	6	0	0	0	0	0	0	0	0	0	0	18	15	0	0	0	0	1	0	0
fsh-generated/resources/Questionnaire-ch-etoc-module-lab.json	728	2	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	18	15	0	0	0	0	0	0	0
fsh-generated/resources/Questionnaire-ch-etoc-module-medication.json	1043	3	0	0	0	0	0	0	0	7	0	0	0	0	0	0	0	0	0	0	20	16	0	0	0	0	1	0	0
fsh-generated/resources/Questionnaire-ch-etoc-module-pathology.json	737	3	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	22	39	0	0	0	0	0	0	0
fsh-generated/resources/Questionnaire-ch-etoc-module-purpose.json	1311	3	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	22	18	0	0	0	0	1	0	0
fsh-generated/resources/QuestionnaireResponse-QuestionnaireResponseEtocRequestPrevious.json	27168	6	0	0	0	0	0	0	2	7	0	0	0	0	0	0	0	0	0	0	251	70	0	0	0	0	0	0	1
fsh-generated/resources/QuestionnaireResponse-QuestionnaireResponseEtocTransCare.json	40326	8	0	0	1	0	0	0	3	8	0	0	0	0	0	0	0	0	0	0	320	89	0	0	0	0	0	0	2
fsh-generated/resources/ServiceRequest-ServiceRequestEtoc.json	1609	5	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	1	0	0	13	23	0	0	0	0	0	0	0
fsh-generated/resources/StructureDefinition-ch-etoc-allergyintolerance.json	1730	3	0	244	0	0	0	0	0	25	0	0	1	0	0	0	0	0	0	0	133	1052	0	0	0	0	8	0	1
fsh-generated/resources/StructureDefinition-ch-etoc-bodyheight-observation.json	1717	4	0	96	0	0	0	0	0	28	0	0	0	0	0	0	0	1	0	0	193	940	0	0	0	0	12	0	2
fsh-generated/resources/StructureDefinition-ch-etoc-bodyweight-observation.json	1717	3	0	99	0	0	0	0	0	19	0	0	0	0	0	0	0	1	0	0	184	583	0	0	0	0	12	1	1
fsh-generated/resources/StructureDefinition-ch-etoc-cardiology-observation.json	1510	3	0	77	0	0	0	0	0	14	0	0	0	0	0	0	0	1	0	0	135	1680	0	0	0	0	8	0	2
fsh-generated/resources/StructureDefinition-ch-etoc-composition.json	22910	8	0	228	0	0	0	0	0	86	0	0	1	0	0	0	0	3	0	0	965	1229	0	0	0	0	48	0	4
fsh-generated/resources/StructureDefinition-ch-etoc-device.json	1032	3	0	57	0	0	0	0	0	13	0	0	0	0	0	0	0	1	0	0	116	202	0	0	0	0	7	0	0
fsh-generated/resources/StructureDefinition-ch-etoc-document.json	1587	3	0	204	0	0	0	0	0	57	0	0	1	0	0	0	0	4	0	0	841	1125	0	0	0	0	53	1	3
fsh-generated/resources/StructureDefinition-ch-etoc-expecteddeliverydate.json	1856	4	0	57	1	0	0	0	0	14	0	0	0	0	0	0	0	0	0	0	126	216	0	0	0	0	9	0	1
fsh-generated/resources/StructureDefinition-ch-etoc-functionalstatus.json	1806	3	0	62	0	0	0	0	0	11	0	0	0	0	0	0	0	1	0	0	108	3071	0	0	0	0	6	0	0
fsh-generated/resources/StructureDefinition-ch-etoc-illness.json	1780	3	0	51	0	0	0	0	0	11	0	0	0	0	0	0	0	0	0	0	105	172	0	0	0	0	6	1	1
fsh-generated/resources/StructureDefinition-ch-etoc-immunization.json	1666	3	0	95	0	0	0	0	0	14	0	0	0	0	0	0	0	1	0	0	128	237	0	0	0	0	8	0	0
fsh-generated/resources/StructureDefinition-ch-etoc-lab-observation.json	1456	3	0	57	0	0	0	0	0	12	0	0	0	0	0	0	0	0	0	0	126	223	0	0	0	0	8	0	1
fsh-generated/resources/StructureDefinition-ch-etoc-pathology-observation.json	1490	3	0	54	0	0	0	0	0	13	0	0	0	0	0	0	0	1	0	0	128	215	0	0	0	0	8	0	0
fsh-generated/resources/StructureDefinition-ch-etoc-pregnancystatus.json	2766	3	0	56	0	0	0	0	0	14	0	0	0	0	0	0	0	0	0	0	144	248	0	0	0	0	10	0	1
fsh-generated/resources/StructureDefinition-ch-etoc-primary-diagnosis.json	1792	3	0	53	0	0	0	0	0	11	0	0	0	0	0	0	0	1	0	0	106	166	0	0	0	0	7	0	0
fsh-generated/resources/StructureDefinition-ch-etoc-procedure.json	1038	3	0	45	0	0	0	0	0	11	0	0	1	0	0	0	0	0	0	0	106	186	0	0	0	0	7	0	1
fsh-generated/resources/StructureDefinition-ch-etoc-radiology-observation.json	1482	3	0	49	0	0	0	0	0	12	0	0	0	0	0	0	0	1	0	0	128	208	0	0	0	0	9	0	0
fsh-generated/resources/StructureDefinition-ch-etoc-secondary-diagnosis.json	1808	3	0	43	0	0	0	0	0	11	0	0	0	0	0	0	0	0	0	0	108	163	0	0	0	0	6	0	0
fsh-generated/resources/StructureDefinition-ch-etoc-servicerequest.json	11333	7	0	59	1	0	0	0	1	28	0	0	0	0	0	0	0	1	0	0	232	497	0	0	1	0	18	1	1
