Source File	Size	loadResources	load	generateSnapshots	load-configure	scan	loadDepInfo	loadInfo	checkR4R4B	generateNarratives	validate	loadLists	checkConformanceResources	checkConformanceResources2	checkConformanceResources3	generateLogicalMaps	validateExpressions	scanForUsageStats	checkURLsUnique	processProvenanceDetails	generate1	generate2	responsesForQuestionnaire	generateLogicals	makeDependencies	generateExampleZip	generateValidationPack	scanProfilesForR5	scanExamplesForR5
/fsh-generated/resources/ImplementationGuide-ch.fhir.ig.ch-etoc.json	21670	-	0	0	0	0	0	0	4	10	0	0	0	0	0	0	0	1	0	0	93	93	0	0	0	0	7	0	0
fsh-generated/resources/AllergyIntolerance-AllergyIntolerance.json	490	4	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	15	20	0	0	0	0	0	0	0
fsh-generated/resources/Appointment-AppointmentHospitalStay.json	537	7	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	12	18	0	0	0	0	0	0	0
fsh-generated/resources/Bundle-DocumentEtoc.json	201367	18	29	0	0	0	0	0	7	640	0	0	0	0	0	0	0	1	0	0	1037	233	0	0	0	0	0	0	1
fsh-generated/resources/Composition-CompositionEtoc.json	2006	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	13	24	0	0	0	0	0	0	0
fsh-generated/resources/Condition-PastHistoryofIllnessesConditionEtoc.json	489	4	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	19	18	0	0	0	0	0	0	0
fsh-generated/resources/Condition-PrimaryDiagnosis.json	535	4	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	19	18	0	0	0	0	0	0	0
fsh-generated/resources/Condition-SecondaryDiagnosis1.json	554	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	12	17	0	0	0	0	0	0	0
fsh-generated/resources/Condition-SecondaryDiagnosis2.json	545	4	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	12	18	0	0	0	0	0	0	0
fsh-generated/resources/Coverage-CoverageKVG.json	1107	4	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	13	19	0	0	0	0	0	0	0
fsh-generated/resources/DocumentReference-DocumentReferenceAttachment.json	515	4	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	13	18	0	0	0	0	0	0	0
fsh-generated/resources/Location-LocationHospitalStay.json	450	4	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	11	16	0	0	0	0	0	0	0
