URL,Version,Status,OIDs,Name,Title,Description,Used
http://fhir.ch/ig/ch-idmp/CodeSystem/ch-Refdata-marketing-status,1.0.0-ballot,active,,ChRefdataMarketingStatusCS,CH Refdata - Marketing Status,"CH - Standard Terms used in Switzerland (aggregations of codes of ValueSets Vermarktungsstatus)","ValueSet/ch-Refdata-marketing-status"
http://fhir.ch/ig/ch-idmp/CodeSystem/ch-SMC-MedicinalProductCategory,1.0.0-ballot,active,,ChSMCMedicinalProductCategoryCS,CH SMC - MedicinalProductCategory,"CH - Standard Terms used in Switzerland (aggregations of codes of ValueSets MedicinalProductCategory)","ValueSet/ch-SMC-MedicinalProductCategory"
http://fhir.ch/ig/ch-idmp/CodeSystem/ch-SMC-additional-monitoring-indicator,1.0.0-ballot,active,,ChSMCAdditionalMonitoringIndicatorCS,CH SMC - Additional Monitoring Indicator,"CH - Standard Terms used in Switzerland (aggregations of codes of ValueSets Additional Monitoring Indicator","ValueSet/ch-SMC-additional-monitoring-indicator"
http://fhir.ch/ig/ch-idmp/CodeSystem/ch-SMC-attached-document-type,1.0.0-ballot,active,,ChSMCAttachedDocumentTypeCS,CH SMC - Attached Document Type,"CH - Standard Terms used in Switzerland (aggregations of codes of ValueSets Typ des Anhangs)","ValueSet/ch-SMC-attached-document-type"
http://fhir.ch/ig/ch-idmp/CodeSystem/ch-SMC-authorisation-category,1.0.0-ballot,active,,ChSMCAuthorisationCategoryCS,CH SMC - Authorisation Category,"CH - Standard Terms used in Switzerland (aggregations of codes of ValueSets Authorisation Category)","ValueSet/ch-SMC-authorisation-category"
http://fhir.ch/ig/ch-idmp/CodeSystem/ch-SMC-authorisation-status,1.0.0-ballot,active,,ChSMCAuthorisationStatusCS,CH SMC - Authorisation Status,"CH - Standard Terms used in Switzerland (aggregations of codes of ValueSets Zulassungsstatus)","ValueSet/ch-SMC-authorisation-status"
http://fhir.ch/ig/ch-idmp/CodeSystem/ch-SMC-ingredient-role,1.0.0-ballot,active,,ChSMCIngredientRoleCS,CH SMC - Ingredient Role,"CH - Standard Terms used in Switzerland (aggregations of codes of ValueSets Funktion des Inhaltsstoffes)","ValueSet/ch-SMC-ingredient-role"
http://fhir.ch/ig/ch-idmp/CodeSystem/ch-SMC-legal-status-of-supply,1.0.0-ballot,active,,ChSMCLegalStatusOfSupplyCS,CH SMC - Legal Status of Supply,"CH - Standard Terms used in Switzerland (aggregations of codes of ValueSets Abgabekategorie)","ValueSet/ch-SMC-legal-status-of-supply"
http://fhir.ch/ig/ch-idmp/CodeSystem/ch-SMC-marketing-status,1.0.0-ballot,active,,ChSMCMarketingStatusCS,CH SMC - Marketing Status,"CH - Standard Terms used in Switzerland (aggregations of codes of ValueSets Vermarktungsstatus)","ValueSet/ch-SMC-marketing-status"
http://fhir.ch/ig/ch-idmp/CodeSystem/ch-SMC-pediatric-use-indicator,1.0.0-ballot,active,,ChSMCPediatricUseIndicatorCS,CH SMC - Pediatric Use Indicator,"CH - Standard Terms used in Switzerland (aggregations of codes of ValueSets Pediatric Use Indicator)","ValueSet/ch-SMC-pediatric-use-indicator"
http://fhir.ch/ig/ch-idmp/CodeSystem/ch-SMC-special-precautions-for-storage,1.0.0-ballot,active,,ChSMCSpecialPrecautionsForStorageCS,CH SMC - Special Precautions for Storage,"CH - Standard Terms used in Switzerland (aggregations of codes of ValueSets Besondere Vorsichtsmassnahmen für die Aufbewahrung)","ValueSet/ch-SMC-special-precautions-for-storage"
http://fhir.ch/ig/ch-idmp/CodeSystem/ch-SMC-substance,1.0.0-ballot,active,,ChSMCSubstanceCS,CH SMC - Substance,"CH - Standard Terms used in Switzerland (aggregations of codes of ValueSets Substanzen)","ValueSet/ch-SMC-substance"
http://fhir.ch/ig/ch-idmp/CodeSystem/ch-authorisation-type-cs,1.0.0-ballot,active,,ChAuthorisationTypeCS,CH - Authorisation Type,"CH EPL - Standard Terms used in Switzerland (aggregations of codes of ValueSets Authorisation Type","ValueSet/ch-authorisation-type-vs"
http://fhir.ch/ig/ch-idmp/CodeSystem/ch-medicinal-product-name-type,1.0.0-ballot,active,,ChMedicinalProductNameTypeCS,CH - Medicinal Product Name Type,"CH - Standard Terms used in Switzerland (aggregations of codes of ValueSets Typ des Arzneimittelnamens)","ValueSet/ch-medicinal-product-name-type"
http://fhir.ch/ig/ch-idmp/CodeSystem/ch-other-characteristics-type,1.0.0-ballot,active,,ChOtherCharacteristicsTypeCS,CH - Other Characteristics Type,"CH - Standard Terms to define the different other characteristics","ValueSet/ch-other-characteristics-type"
http://spor.ema.europa.eu/v1/lists/100000000004,1.0.0-ballot,active,,EMADomainCS,EMA - Domain,"CH - Standard Terms used in Switzerland (aggregations of codes of Value Set for the Domain from EMA used by SMC)","ValueSet/ema-domain"
http://spor.ema.europa.eu/v1/lists/100000073343,1.0.0-ballot,active,,EMAShelfLifeTypeCS,EMA - Shelf Life Type,"CH - Standard Terms used in Switzerland (aggregations of codes of Value Set for the Shelf Life Type from EMA used by SMC)","ValueSet/ema-shelf-life-type"
http://spor.ema.europa.eu/v1/lists/200000003186,1.0.0-ballot,active,,EMAIntendedEffectCS,EMA - Intended Effect,"CH - Standard Terms used in Switzerland (aggregations of codes of Value Set for the Intended Effect from EMA used by SMC)","ValueSet/ema-intended-effect"
http://standardterms.edqm.eu,1.0.0-ballot,active,,EdqmCS,EDQM - Standard Terms,"EDQM - Standard Terms used in Switzerland (see original codes system defined in https://standardterms.edqm.eu/#)","ValueSet/edqm-pharmaceutical-dose-form,ValueSet/edqm-unit-of-presentation,ValueSet/edqm-combination-packaging,ValueSet/edqm-packaging,ValueSet/edqm-combined-pharmaceutical-dose-form,ValueSet/edqm-route-of-administration,ValueSet/edqm-combined-term"
