Source File	Size	loadResources	load	generateSnapshots	load-configure	scan	loadDepInfo	loadInfo	checkR4R4B	generateNarratives	validate	loadLists	checkConformanceResources	checkConformanceResources2	checkConformanceResources3	generateLogicalMaps	validateExpressions	scanForUsageStats	checkURLsUnique	processProvenanceDetails	generate1	generate2	generateLogicals	makeDependencies	generateExampleZip	generateValidationPack	scanProfilesForR5	scanExamplesForR5
/fsh-generated/resources/ImplementationGuide-ch.fhir.ig.ch-ips.json	19120	-	0	0	0	0	0	0	5	238	0	0	0	0	0	0	0	0	0	0	100	110	0	0	0	4	0	2
fsh-generated/resources/AllergyIntolerance-27da84cc-526a-4098-afb5-f08c7836d893.json	1149	7	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	22	24	0	0	0	0	0	0
fsh-generated/resources/Bundle-UC1-SwissIpsDocument1.json	21388	16	18	0	1	0	0	0	2	598	0	0	0	0	0	0	0	0	0	0	69	69	0	0	0	0	0	0
fsh-generated/resources/Bundle-UC1-SwissIpsDocument2.json	46220	18	32	0	0	0	0	0	2	29	0	0	0	0	0	0	0	1	0	0	126	110	0	0	0	0	0	1
fsh-generated/resources/Composition-UC1-Composition1.json	4305	10	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	28	32	0	0	0	0	0	0
fsh-generated/resources/Condition-12d8debe-5e03-465d-83f3-17675be9db4a.json	1742	7	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	22	22	0	0	0	0	0	0
fsh-generated/resources/Condition-2c67cf62-d712-44c7-aedb-b5582bc707f1.json	1364	7	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	19	21	0	0	0	0	0	0
fsh-generated/resources/Condition-506b9fef-be0a-4398-bb7e-7d14c311912f.json	1363	7	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	20	21	0	0	0	0	0	0
fsh-generated/resources/Condition-8a79d459-0d2f-460b-87fd-a7de12d49871.json	1379	7	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	20	21	0	0	0	0	0	0
fsh-generated/resources/Condition-CoronaryHeartDisease.json	1268	7	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	20	19	0	0	0	0	0	0
fsh-generated/resources/Condition-DiabetesMellitus.json	1263	8	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	18	22	0	0	0	0	0	0
fsh-generated/resources/Condition-HighBloodPressure.json	1280	7	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	19	20	0	0	0	0	0	0
fsh-generated/resources/Immunization-19efd704-3461-4120-b3cf-a76ae046e150.json	1897	7	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	21	22	0	0	0	0	0	0
fsh-generated/resources/Medication-MetforminIssue2.json	1659	7	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	20	18	0	0	0	0	0	0
fsh-generated/resources/MedicationStatement-6f369210-adb1-4f11-893d-9977e34932de.json	2960	7	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	25	24	0	0	0	0	0	0
fsh-generated/resources/MedicationStatement-88ee1ffb-26d0-49a2-95e4-6212261805a6.json	2546	8	0	0	1	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	24	24	0	0	0	0	0	0
fsh-generated/resources/MedicationStatement-MedStatCandesartan.json	2474	7	0	0	0	0	0	0	1	3	0	0	0	0	0	0	0	0	0	0	27	21	0	0	0	0	0	0
fsh-generated/resources/MedicationStatement-MedStatMetformin.json	2446	7	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	24	13	0	0	0	0	0	0
fsh-generated/resources/MedicationStatement-e463547f-7414-47cb-b97f-04a81e1ab7d8.json	2687	8	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	24	12	0	0	0	0	0	0
