Source File	Size	loadResources	load	generateSnapshots	load-configure	scan	loadDepInfo	loadInfo	checkR4R4B	generateNarratives	validate	loadLists	checkConformanceResources	checkConformanceResources2	checkConformanceResources3	generateLogicalMaps	validateExpressions	scanForUsageStats	checkURLsUnique	processProvenanceDetails	generate1	generate2	responsesForQuestionnaire	generateLogicals	makeDependencies	generateExampleZip	generateValidationPack	scanProfilesForR5	scanExamplesForR5
/fsh-generated/resources/ImplementationGuide-ch.fhir.ig.ch-lab-order.json	12886	-	0	0	0	0	0	0	12	156	0	0	0	0	0	0	0	1	0	0	91	104	0	0	0	0	7	0	4
fsh-generated/resources/Bundle-0-best-practice-document-with-sr.json	39574	21	48	0	1	0	0	0	91	1562	0	0	0	0	0	0	0	1	0	0	112	173	0	0	0	0	0	0	1
fsh-generated/resources/Bundle-1-tvt-document-with-sr-and-form.json	104308	29	32	0	0	0	0	0	12	1770	0	0	0	0	0	0	0	1	0	0	578	320	0	0	0	0	0	0	4
fsh-generated/resources/Bundle-1-tvt-document-with-sr.json	35080	8	8	0	0	0	0	0	4	31	0	0	0	0	0	0	0	1	0	0	75	170	0	0	0	0	0	0	1
fsh-generated/resources/Bundle-2-pertussis-document-with-sr-and-form.json	93346	12	12	0	0	0	0	0	11	53	0	0	0	0	0	0	0	0	0	0	536	179	0	0	0	0	0	0	3
fsh-generated/resources/Bundle-2-pertussis-document-with-sr.json	27291	7	7	0	0	0	0	0	3	24	0	0	0	0	0	0	0	1	0	0	69	82	0	0	0	0	0	0	1
fsh-generated/resources/Bundle-3-gyn-document-with-sr-and-form.json	94864	13	11	0	1	0	0	0	11	54	0	0	0	0	0	0	0	0	0	0	538	185	0	0	0	0	0	0	2
fsh-generated/resources/Bundle-3-gyn-document.json	28040	7	6	0	0	0	0	0	3	23	0	0	0	0	0	0	0	1	0	0	72	97	0	0	0	0	0	0	0
fsh-generated/resources/Bundle-5-biol-monit-document-with-sr-and-form.json	93568	12	12	0	0	0	1	0	11	530	0	0	0	0	0	0	0	0	0	0	572	183	0	0	0	0	0	0	1
fsh-generated/resources/Bundle-5-biol-monit-document-with-sr.json	26247	6	9	0	0	0	0	0	3	17	0	0	0	0	0	0	0	1	0	0	59	69	0	0	0	0	0	0	0
fsh-generated/resources/Bundle-6-histopath-document-with-sr-and-form.json	522572	15	68	0	0	0	0	0	8	569	0	0	0	0	0	0	0	0	0	0	1024	198	0	0	0	0	0	0	2
fsh-generated/resources/Bundle-6-histopath-document-with-sr.json	457029	9	22	0	0	0	0	0	2	10	0	0	0	0	0	0	0	1	0	0	541	90	0	0	0	0	0	0	0
fsh-generated/resources/Bundle-ch-lab-order-document-with-sr.json	17756	6	4	0	0	0	0	0	1	6	0	0	0	0	0	0	0	0	0	0	41	47	0	0	0	0	0	0	0
fsh-generated/resources/Bundle-ch-lab-order-with-sr-and-form.json	107501	12	10	0	0	0	0	0	9	35	0	0	0	0	0	0	0	0	0	0	620	164	0	0	0	1	0	0	1
fsh-generated/resources/CodeSystem-ServiceRequest.categories.json	1809	4	0	0	1	0	0	0	1	32	0	0	0	0	0	0	0	1	0	0	18	505	0	0	0	0	1	0	0
fsh-generated/resources/CodeSystem-Specimen.processing.procedure.json	808	4	0	0	0	0	0	0	0	24	0	0	0	0	0	0	0	0	0	0	13	53	0	0	0	0	0	0	0
fsh-generated/resources/Questionnaire-LabOrder-form.json	55959	7	0	0	0	0	0	0	5	59	0	0	0	0	0	0	0	0	0	0	440	2329	0	0	0	0	21	0	1
fsh-generated/resources/StructureDefinition-ch-lab-order-SR.json	5177	5	0	156	0	0	0	0	1	35	0	0	1	0	0	0	0	2	0	0	241	1022	0	0	0	0	17	0	1
fsh-generated/resources/StructureDefinition-ch-lab-order-composition-with-sr-and-form.json	2023	4	0	127	0	0	0	0	0	28	0	0	0	0	0	0	0	2	0	0	297	831	0	0	0	0	22	0	1
fsh-generated/resources/StructureDefinition-ch-lab-order-composition-with-sr.json	5489	5	0	101	0	0	0	0	0	28	0	0	0	0	0	0	0	2	0	0	263	517	0	0	0	0	17	0	1
fsh-generated/resources/StructureDefinition-ch-lab-order-document-reference.json	2992	4	0	68	1	0	0	0	0	16	0	0	0	0	0	0	0	1	0	0	142	317	0	0	0	0	10	1	0
fsh-generated/resources/StructureDefinition-ch-lab-order-document-with-sr-and-form.json	2055	4	0	219	0	0	0	0	0	70	0	0	1	0	0	0	0	7	0	0	857	1586	0	0	0	0	64	0	3
fsh-generated/resources/StructureDefinition-ch-lab-order-document-with-sr.json	3339	4	0	153	0	0	0	0	0	46	0	0	1	0	0	0	0	63	0	0	596	1332	0	0	0	0	38	1	3
fsh-generated/resources/ValueSet-MicrobiolProcedures.json	959	4	0	0	0	0	0	0	1	759	0	0	0	0	0	0	0	0	0	0	14	838	0	0	0	0	1	0	0
fsh-generated/resources/ValueSet-ServiceRequest.categories.json	499	4	0	0	0	0	0	0	0	6	0	0	0	0	0	0	0	0	0	0	13	58	0	0	0	0	0	0	0
fsh-generated/resources/ValueSet-ch-lab-order-study-types.json	2672	5	0	0	0	0	0	0	1	135	0	0	0	0	0	0	0	0	0	0	17	205	0	0	0	0	1	0	0
fsh-generated/resources/ValueSet-ch-lab-vs-order-control.json	920	4	0	0	1	0	0	0	0	10	0	0	0	0	0	0	0	0	0	0	14	51	0	0	0	0	0	0	0
