Source File	Size	loadResources	load-configure	scan	loadDepInfo	loadInfo	load	generateSnapshots	checkR4R4B	generateNarratives	validate	loadLists	checkConformanceResources	checkConformanceResources2	checkConformanceResources3	generateLogicalMaps	validateExpressions	scanForUsageStats	checkURLsUnique	processProvenanceDetails	generate1	generate2	generateLogicals	makeDependencies	generateExampleZip	generateValidationPack	scanProfilesForR5	scanExamplesForR5
/fsh-generated/resources/ImplementationGuide-ch.fhir.ig.ch-lab-report.json	16482	-	0	0	0	0	0	0	3	98	0	0	0	0	0	0	0	1	0	0	133	296	0	0	0	5	0	1
fsh-generated/resources/Bundle-LabResultReport-1-tvt.json	80523	230	1	0	0	0	157	0	3	1198	0	0	0	0	0	0	0	1	0	0	280	588	0	0	0	0	0	0
fsh-generated/resources/Bundle-LabResultReport-4-sepsis.json	123497	334	1	0	0	0	90	0	4	646	0	0	0	0	0	0	0	1	0	0	707	594	0	0	0	0	0	1
fsh-generated/resources/Device-523fa1b9-f24d-4ae6-aa98-92d7f57b2066.json	621	5	1	0	0	0	0	0	1	13	0	0	0	0	0	0	0	0	0	0	44	13	0	0	0	0	0	0
fsh-generated/resources/Device-729d1c62-051e-4e3a-80d4-06f861b2a794.json	614	5	0	0	0	0	0	0	0	9	0	0	0	0	0	0	0	0	0	0	48	15	0	0	0	0	0	0
fsh-generated/resources/Device-Afinion-2.json	594	9	0	0	0	0	0	0	0	11	0	0	0	0	0	0	0	0	0	0	44	13	0	0	0	0	0	0
fsh-generated/resources/Device-XP-300.json	577	8	0	0	0	0	0	0	0	8	0	0	0	0	0	0	0	0	0	0	32	16	0	0	0	0	0	0
fsh-generated/resources/StructureDefinition-ch-core-patient-ech-11-placeoforigin.json	2044	11	0	0	1	0	0	78	0	146	0	0	0	0	0	0	0	0	0	0	172	1455	0	1	0	1	0	0
fsh-generated/resources/StructureDefinition-ch-lab-diagnosticreport.json	7645	21	0	0	0	0	0	613	0	265	0	0	0	0	0	0	0	1	0	0	526	1730	0	0	0	8	0	1
fsh-generated/resources/StructureDefinition-ch-lab-observation-ActivityDefinition.json	3812	10	0	0	0	0	0	246	0	145	0	0	0	0	0	0	0	0	0	0	337	1419	0	0	0	7	0	0
fsh-generated/resources/StructureDefinition-ch-lab-observation-results-ery-dist-width-ratio.json	2093	9	1	0	0	0	0	318	0	160	0	0	0	0	0	0	0	1	0	0	347	949	0	0	0	8	1	1
fsh-generated/resources/StructureDefinition-ch-lab-observation-results-ery-distribution-width.json	2097	7	0	0	0	0	0	119	0	162	0	0	1	0	0	0	0	1	0	0	281	779	0	0	0	9	0	1
fsh-generated/resources/StructureDefinition-ch-lab-observation-results-hb.json	1919	8	0	0	0	0	0	113	0	232	0	0	0	0	0	0	0	0	0	0	279	727	0	0	0	8	0	1
fsh-generated/resources/StructureDefinition-ch-lab-observation-results-ht.json	1958	22	0	0	0	0	0	117	0	204	0	0	0	0	0	0	0	1	0	0	276	734	0	0	0	10	0	1
fsh-generated/resources/StructureDefinition-ch-lab-observation-results-laboratory.json	6153	15	0	0	0	0	0	0	0	204	0	0	0	0	0	0	0	1	0	0	288	713	1	0	0	10	0	0
fsh-generated/resources/StructureDefinition-ch-lab-observation-results-mch.json	1958	7	0	0	0	0	0	127	0	175	0	0	0	0	0	0	0	1	0	0	270	674	0	0	0	8	0	1
fsh-generated/resources/StructureDefinition-ch-lab-observation-results-mchc.json	1989	7	1	0	0	0	0	136	0	169	0	0	0	0	0	0	0	1	0	0	286	569	0	0	0	9	0	1
fsh-generated/resources/StructureDefinition-ch-lab-observation-results-mcv.json	1935	7	0	0	0	0	0	123	0	206	0	0	0	0	0	0	0	1	0	0	289	425	0	0	0	8	0	0
fsh-generated/resources/StructureDefinition-ch-lab-observation-results-platelets-distribution-width.json	2051	8	0	0	0	0	0	126	0	171	0	0	0	0	0	0	0	1	0	0	261	592	0	0	1	9	0	0
fsh-generated/resources/StructureDefinition-ch-lab-observation-results-platelets-mean-volume.json	2023	7	0	0	0	0	0	112	0	156	0	0	0	0	0	0	0	1	0	0	268	475	0	0	0	8	0	1
