Source File	Size	loadResources	load	generateSnapshots	load-configure	scan	loadDepInfo	loadInfo	checkR4R4B	generateNarratives	validate	loadLists	checkConformanceResources	checkConformanceResources2	checkConformanceResources3	generateLogicalMaps	validateExpressions	scanForUsageStats	checkURLsUnique	processProvenanceDetails	generate1	generate2	generateLogicals	makeDependencies	generateExampleZip	generateValidationPack	scanProfilesForR5	scanExamplesForR5
/fsh-generated/resources/ImplementationGuide-ch.fhir.ig.ch-lab-report.json	39619	-	0	0	0	0	0	0	6	566	0	0	0	0	0	0	0	1	0	0	165	187	0	0	0	23	0	2
fsh-generated/resources/Bundle-LabResultReport-1-tvt.json	84425	27	149	0	1	0	0	0	6	3262	0	0	0	0	0	0	0	1	0	0	201	260	0	0	0	0	0	1
fsh-generated/resources/Bundle-LabResultReport-2-electrophoresis.json	108187	16	44	0	0	0	0	0	4	306	0	0	0	0	0	0	0	0	0	0	180	136	0	0	0	0	0	0
fsh-generated/resources/Bundle-LabResultReport-3-breath-test.json	170606	11	19	0	0	0	0	0	2	277	0	0	0	0	0	0	0	1	0	0	226	107	0	0	0	0	0	0
fsh-generated/resources/Bundle-LabResultReport-4-sepsis.json	132793	19	16	0	0	0	0	0	8	345	0	0	0	0	0	0	0	1	0	0	241	237	0	0	0	0	0	1
fsh-generated/resources/Device-3b9c6849-cf71-45e9-9d88-31f7879342f0.json	614	6	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	18	18	0	0	0	0	0	0
fsh-generated/resources/Device-523fa1b9-f24d-4ae6-aa98-92d7f57b2066.json	628	5	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	18	17	0	0	0	0	0	0
fsh-generated/resources/Device-729d1c62-051e-4e3a-80d4-06f861b2a794.json	621	5	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	18	17	0	0	0	0	0	0
fsh-generated/resources/Device-Afinion-2.json	599	5	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	17	16	0	0	0	0	0	0
fsh-generated/resources/Device-Combur-Test.json	605	5	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	31	17	0	0	0	0	0	0
fsh-generated/resources/Observation-AlbuminCreatininRatioUrin.json	1153	5	0	0	0	0	0	0	0	522	0	0	0	0	0	0	0	0	0	0	19	26	0	0	0	0	0	0
fsh-generated/resources/Observation-BloodGroup-codedResult-1.json	3993	5	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	25	25	0	0	0	0	0	0
fsh-generated/resources/Observation-BloodGroup-codedResult-2.json	4349	6	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	24	28	0	0	0	0	0	0
fsh-generated/resources/Observation-BloodGroup-codedResult-3.json	4370	6	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	24	25	0	0	0	0	0	2
fsh-generated/resources/Observation-BloodGroup-freeTextResult-1.json	3578	7	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	22	25	0	0	0	0	0	0
fsh-generated/resources/Observation-BloodGroup-freeTextResult-2.json	3518	6	0	0	0	0	0	0	1	3	0	0	0	0	0	0	0	0	0	0	23	20	0	0	0	0	0	0
fsh-generated/resources/Observation-BloodGroup-freeTextResult-3.json	3583	5	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	38	22	0	0	0	0	0	0
fsh-generated/resources/Observation-BloodGroupAB0RhD.json	1854	5	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	24	19	0	0	0	0	0	0
fsh-generated/resources/Observation-BloodGroupCompAB0CompRhD.json	2596	5	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	40	19	0	0	0	0	0	0
fsh-generated/resources/Observation-BloodGroupCompAB0CompRhDWeakD.json	2611	5	0	0	1	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	40	20	0	0	0	0	0	0
