Source File	Size	loadResources	load	generateSnapshots	load-configure	scan	loadDepInfo	loadInfo	checkR4R4B	generateNarratives	validate	loadLists	checkConformanceResources	checkConformanceResources2	checkConformanceResources3	generateLogicalMaps	validateExpressions	scanForUsageStats	checkURLsUnique	processProvenanceDetails	generate1	generate2	generateLogicals	makeDependencies	generateExampleZip	generateValidationPack	scanProfilesForR5	scanExamplesForR5
/fsh-generated/resources/ImplementationGuide-ch.fhir.ig.ch-lab-report.json	39276	-	0	0	0	0	0	0	14	78	0	0	0	0	0	0	0	1	0	0	132	205	0	0	0	12	0	1
fsh-generated/resources/Bundle-LabResultReport-1-tvt.json	84425	28	60	0	1	0	0	0	8	3209	0	0	0	0	0	0	0	1	0	0	136	305	0	0	0	0	0	1
fsh-generated/resources/Bundle-LabResultReport-2-electrophoresis.json	108187	15	39	0	0	0	0	0	6	341	0	0	0	0	0	0	0	1	0	0	117	161	0	0	0	0	0	0
fsh-generated/resources/Bundle-LabResultReport-3-breath-test.json	170606	15	20	0	0	0	0	0	4	372	0	0	0	0	0	0	0	0	0	0	131	101	0	0	0	0	0	0
fsh-generated/resources/Bundle-LabResultReport-4-sepsis.json	132793	20	14	0	0	0	0	0	11	260	0	0	0	0	0	0	0	1	0	0	187	207	0	0	0	0	0	1
fsh-generated/resources/Device-3b9c6849-cf71-45e9-9d88-31f7879342f0.json	614	7	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	15	14	0	0	0	0	0	0
fsh-generated/resources/Device-523fa1b9-f24d-4ae6-aa98-92d7f57b2066.json	628	6	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	13	12	0	0	0	0	0	0
fsh-generated/resources/Device-729d1c62-051e-4e3a-80d4-06f861b2a794.json	621	6	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	19	13	0	0	0	0	0	0
fsh-generated/resources/Device-Afinion-2.json	599	5	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	15	14	0	0	0	0	0	0
fsh-generated/resources/Device-Combur-Test.json	605	6	0	0	0	0	0	0	1	2	0	0	0	0	0	0	0	0	0	0	20	13	0	0	0	0	0	0
fsh-generated/resources/Observation-AlbuminCreatininRatioUrin.json	1153	6	0	0	0	0	0	0	0	799	0	0	0	0	0	0	0	0	0	0	15	18	0	0	0	0	0	0
fsh-generated/resources/Observation-BloodGroup-codedResult-1.json	3993	6	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	17	16	0	0	0	0	0	1
fsh-generated/resources/Observation-BloodGroup-codedResult-2.json	4349	6	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	17	17	0	0	0	0	0	0
fsh-generated/resources/Observation-BloodGroup-codedResult-3.json	4370	6	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	30	17	0	0	0	0	0	0
fsh-generated/resources/Observation-BloodGroup-freeTextResult-1.json	3578	7	0	0	1	0	0	0	1	2	0	0	0	0	0	0	0	0	0	0	29	17	0	0	0	0	0	0
fsh-generated/resources/Observation-BloodGroup-freeTextResult-2.json	3518	6	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	27	16	0	0	0	0	0	0
fsh-generated/resources/Observation-BloodGroup-freeTextResult-3.json	3583	5	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	30	16	0	0	0	0	0	0
fsh-generated/resources/Observation-BloodGroupAB0RhD.json	1854	6	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	25	15	0	0	0	0	0	0
fsh-generated/resources/Observation-BloodGroupCompAB0CompRhD.json	2596	6	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	26	15	0	0	0	0	0	0
fsh-generated/resources/Observation-BloodGroupCompAB0CompRhDWeakD.json	2611	5	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	27	15	0	0	0	0	0	0
fsh-generated/resources/Observation-BloodGroupMemberABO.json	1728	6	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	25	15	0	0	0	0	0	0
fsh-generated/resources/Observation-BloodGroupMemberRh.json	1680	5	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	25	16	0	0	0	0	0	0
fsh-generated/resources/Observation-BloodGroupPanel.json	1846	6	0	0	1	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	14	16	0	0	0	0	0	0
fsh-generated/resources/Observation-Estimated-GFR.json	1124	5	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	19	14	0	0	0	0	0	0
fsh-generated/resources/Observation-ExampleObservationCBCPanel.json	1666	5	0	0	0	0	0	0	0	5390	0	0	0	0	0	0	0	0	0	0	17	20	0	0	0	0	0	0
fsh-generated/resources/Observation-ExampleObservationHb.json	1003	5	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	15	17	0	0	0	0	0	0
fsh-generated/resources/Observation-ExampleObservationHt.json	999	6	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	14	14	0	0	0	0	0	0
fsh-generated/resources/Observation-ExampleObservationMCH.json	1004	5	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	15	15	0	0	0	0	0	0
fsh-generated/resources/Observation-ExampleObservationMCHC.json	1007	6	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	14	15	0	0	0	0	0	0
fsh-generated/resources/Observation-ExampleObservationMCV.json	1004	5	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	14	14	0	0	0	0	0	0
fsh-generated/resources/Observation-ExampleObservationPlateletCount.json	1028	6	0	0	1	0	0	0	0	239	0	0	0	0	0	0	0	0	0	0	14	17	0	0	0	0	0	0
fsh-generated/resources/Observation-ExampleObservationRBC.json	1014	5	0	0	0	0	0	0	0	239	0	0	0	0	0	0	0	0	0	0	15	17	0	0	0	0	0	0
fsh-generated/resources/Observation-ExampleObservationRDW-CV.json	1098	6	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	14	15	0	0	0	0	0	0
fsh-generated/resources/Observation-ExampleObservationRDW-SD.json	1100	5	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	16	15	0	0	0	0	0	0
fsh-generated/resources/Observation-ExampleObservationWBC.json	1012	6	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	15	14	0	0	0	0	0	0
fsh-generated/resources/Observation-Hematocrit.json	1033	6	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	13	15	0	0	0	0	0	0
fsh-generated/resources/Observation-Hemoglobin.json	1036	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	14	14	0	0	0	0	0	0
fsh-generated/resources/Observation-Observation-eGFR-CKD-EPI-2009-cr-cys.json	3589	6	0	0	0	0	0	0	1	1481	0	0	0	0	0	0	0	0	0	0	16	21	0	0	0	0	0	0
fsh-generated/resources/Observation-Observation-eGFR-CKD-EPI-2009-cr.json	3582	6	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	16	17	0	0	0	0	0	0
fsh-generated/resources/Observation-Observation-eGFR-MDRD-female.json	3746	5	0	0	0	0	0	0	1	555	0	0	0	0	0	0	0	0	0	0	16	17	0	0	0	0	0	0
fsh-generated/resources/Observation-Observation-eGFR-MDRD-male.json	3756	6	0	0	1	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	17	16	0	0	0	0	0	0
fsh-generated/resources/Observation-ObservationPanel.json	1059	5	0	0	0	0	0	0	0	607	0	0	0	0	0	0	0	0	0	0	14	16	0	0	0	0	0	0
fsh-generated/resources/Observation-ObservationRenalInsufficiencyPanel.json	1037	6	0	0	0	0	0	0	0	1957	0	0	0	0	0	0	0	0	0	0	15	15	0	0	0	0	0	0
fsh-generated/resources/Observation-Result-CBC.json	3327	6	0	0	0	0	0	0	1	232	0	0	0	0	0	0	0	0	0	0	16	18	0	0	0	0	0	0
fsh-generated/resources/Observation-Result-egfr-cr-ckd-epi-2021.json	1719	5	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	17	15	0	0	0	0	0	0
fsh-generated/resources/Observation-Result-egfr-cr-cys-ckd-epi-2021.json	1738	6	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	16	15	0	0	0	0	0	0
fsh-generated/resources/Specimen-BloodCBC.json	358	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	13	12	0	0	0	0	0	0
fsh-generated/resources/Specimen-Urin.json	718	5	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	14	14	0	0	0	0	0	0
fsh-generated/resources/StructureDefinition-ChLab-observation-panel.json	5823	6	0	290	1	0	0	0	1	71	0	0	8	0	0	0	0	1	0	0	166	3197	0	1	0	20	0	2
fsh-generated/resources/StructureDefinition-ChLab-observation-single-test.json	1861	6	0	78	0	0	0	0	0	38	0	0	11	0	0	0	0	1	0	0	146	7781	0	0	0	17	0	2
fsh-generated/resources/StructureDefinition-ch-lab-diagnosticreport.json	10270	6	0	76	0	0	0	0	0	35	0	0	0	0	0	0	0	1	0	0	83	306	0	0	0	10	1	1
fsh-generated/resources/StructureDefinition-ch-lab-observation-albumin-creatinine-urine-ratio.json	3217	6	0	67	0	0	0	0	0	52	0	0	12	0	0	0	0	1	0	0	165	1543	0	0	0	20	0	1
fsh-generated/resources/StructureDefinition-ch-lab-observation-blood-group.json	1915	6	0	69	0	0	0	0	0	41	0	0	11	0	0	0	0	1	0	0	154	1850	0	0	0	10	0	2
fsh-generated/resources/StructureDefinition-ch-lab-observation-cbc-panel.json	7663	7	0	59	0	0	0	0	0	48	0	0	8	0	0	0	0	1	0	0	214	527	0	0	0	11	0	2
fsh-generated/resources/StructureDefinition-ch-lab-observation-cbc.json	24336	7	0	189	0	0	0	0	0	146	0	0	42	0	0	0	0	4	0	0	663	7847	0	0	0	54	1	7
fsh-generated/resources/StructureDefinition-ch-lab-observation-egfr-ckd-epi-2009.json	5643	6	0	122	1	0	0	0	0	47	0	0	13	0	0	0	0	2	0	0	230	1924	0	0	0	16	0	3
