URL,Version,Status,OIDs,Name,Title,Description,Used
http://fhir.ch/ig/ch-core/CodeSystem/bfs-medstats-21-encountertype,3.1.0,active,,BfsMedstats17Admitsource,BFS Medizinische Statistik - 21 1.3.V02 - Klasse / Classe / Classe,"BFS defines variables for medical statistic (german, french, italian) see [BFS](https://www.bfs.admin.ch/bfs/de/home/statistiken/kataloge-datenbanken/publikationen.assetdetail.7066232.html). Im Rahmen des Spitalaufenthaltes belegte Liegeklasse, nicht die Versicherungskategorie. Bei Wechsel der Klasse ist die im Wesentlichen beanspruchte Klasse anzugeben.","ValueSet/ch-orf-vs-desiredaccommodation"
http://fhir.ch/ig/ch-core/CodeSystem/bfs-medstats-25-mainguarantor,3.1.0,active,,BfsMedstats25Mainguarantor,BFS Medizinische Statistik - 25 1.4.V02 - Hauptkostenträger für Grundversicherungsleistungen / Prise en charge des soins de base / Unità d’imputazione principale per le prestazioni dell’assicurazione di base,"BFS defines variables for medical statistic (german, french, italian) see [BFS](https://www.bfs.admin.ch/bfs/de/home/statistiken/kataloge-datenbanken/publikationen.assetdetail.7066232.html). Angabe des Hauptgaranten, der für die Kosten der Grundversicherungsleistungen des Spitalaufenthalts im Wesentlichen aufkommt. Keine Mehrfachnennungen möglich.","ValueSet/mainguarantor"
http://fhir.ch/ig/ch-core/CodeSystem/mainguarantor,3.1.0,active,,Mainguarantor,Main guarantor,"BFS defines variables for the main guarantor, see [CodeSystem BfsMedstats25Mainguarantor](CodeSystem-bfs-medstats-25-mainguarantor.html). In the Swiss healthcare system, an additional value is used that is not covered by the BFS variables, so the code for supplementary insurance is defined here.","ValueSet/mainguarantor"
http://fhir.ch/ig/ch-orf/CodeSystem/ch-orf-cs-consentstatus,3.0.0,active,,ChOrfConsentStatus,Consent Status,"Value Set for CH ORF Consent Status","ValueSet/ch-orf-vs-consentstatus"
http://fhir.ch/ig/ch-orf/CodeSystem/ch-orf-cs-coverageidentifiertype,3.0.0,active,,ChOrfCoverageIdentifierType,Coverage Identifier Type,"Code System for CH ORF Coverage Identifier Type","ValueSet/ch-orf-vs-coverageidentifiertype"
http://hl7.org/fhir/appointmentstatus,4.0.1,draft,"2.16.840.1.113883.4.642.4.485",AppointmentStatus,AppointmentStatus,"The free/busy status of an appointment.","ValueSet/ch-orf-vs-appointmentstatus"
http://snomed.info/sct,null,active,"2.16.840.1.113883.6.96",SNOMED_CT,SNOMED CT (all versions),"SNOMED CT is the most comprehensive and precise clinical health terminology product in the world, owned and distributed around the world by The International Health Terminology Standards Development Organisation (IHTSDO).","ValueSet/ch-orf-vs-legalrelation,ValueSet/DocumentEntry.typeCode,ValueSet/ch-orf-vs-personalrelation,ValueSet/ch-orf-vs-consentstatus,ValueSet/DocumentEntry.classCode"
http://terminology.hl7.org/CodeSystem/v3-ActCode,9.0.0,active,"2.16.840.1.113883.5.4",ActCode,ActCode,"A code specifying the particular kind of Act that the Act-instance represents within its class.    *Constraints:* The kind of Act (e.g. physical examination, serum potassium, inpatient encounter, charge financial transaction, etc.) is specified with a code from one of several, typically external, coding systems. The coding system will depend on the class of Act, such as LOINC for observations, etc.    Conceptually, the Act.code must be a specialization of the Act.classCode. This is why the structure of ActClass domain should be reflected in the superstructure of the ActCode domain and then individual codes or externally referenced vocabularies subordinated under these domains that reflect the ActClass structure.    Act.classCode and Act.code are not modifiers of each other but the Act.code concept should really imply the Act.classCode concept. For a negative example, it is not appropriate to use an Act.code ""potassium"" together with and Act.classCode for ""laboratory observation"" to somehow mean ""potassium laboratory observation"" and then use the same Act.code for ""potassium"" together with Act.classCode for ""medication"" to mean ""substitution of potassium"". This mutually modifying use of Act.code and Act.classCode is not permitted.","ValueSet/ch-orf-vs-encounterclass"
urn:ietf:bcp:47,2.0.1,active,"2.16.840.1.113883.6.121",Ietf3066,Tags for the Identification of Languages,"Older value from OID registry.  Superceded; see recommendations in BCP-47.","ValueSet/DocumentEntry.languageCode"
urn:oid:2.16.756.5.30.1.127.3.10.12,3.1.0,active,"2.16.756.5.30.1.127.3.10.12",ChEhealthCodesystemLanguage,ch-ehealth-codesystem-language,"Document language as per Annex 3 EPRO-FDHA. Defines the language in which the document was written.","ValueSet/DocumentEntry.languageCode"
