Source File	Size	loadResources	load-configure	scan	loadDepInfo	loadInfo	load	generateSnapshots	checkR4R4B	generateNarratives	validate	loadLists	checkConformanceResources	checkConformanceResources2	checkConformanceResources3	generateLogicalMaps	validateExpressions	scanForUsageStats	checkURLsUnique	processProvenanceDetails	generate1	generate2	responsesForQuestionnaire	generateLogicals	makeDependencies	generateExampleZip	generateValidationPack	scanProfilesForR5	scanExamplesForR5
/input/ch.fhir.ig.ch-orf.xml	28854	-	1	0	0	0	0	0	9	1	0	0	0	0	0	0	0	1	0	0	175	136	0	0	0	0	14	0	11
fsh-generated/resources/Appointment-AppointmentBooked.json	486	5	0	0	0	1	0	0	0	281	0	0	0	0	0	0	0	0	0	0	16	20	0	0	0	0	0	0	0
fsh-generated/resources/Appointment-AppointmentPending.json	488	3	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	12	9	0	0	0	0	0	0	0
fsh-generated/resources/Appointment-AppointmentProposed.json	537	3	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	10	9	0	0	0	0	0	0	0
fsh-generated/resources/CodeSystem-ch-orf-cs-consentstatus.json	657	2	1	0	0	0	0	0	0	8	0	0	1	0	0	0	0	1	0	0	13	2050	0	0	0	0	1	0	0
fsh-generated/resources/CodeSystem-ch-orf-cs-coverageidentifiertype.json	823	2	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	14	68	0	0	0	0	0	0	0
fsh-generated/resources/Composition-spitex-order.json	3584	3	0	0	0	0	0	0	0	632	0	0	0	0	0	0	0	0	0	0	24	17	0	0	0	0	0	0	0
fsh-generated/resources/Consent-ChOrfConsentSUfferer.json	1142	2	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	13	12	0	0	0	0	0	0	0
fsh-generated/resources/EpisodeOfCare-ChOrfEpisodeOfCareSUfferer.json	513	2	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	12	10	0	0	0	0	0	0	0
fsh-generated/resources/Location-LocationOfAppointment.json	438	2	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	10	10	0	0	0	0	0	0	0
fsh-generated/resources/Organization-OrganizationSpitalTrubschachen.json	227	2	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	9	8	0	0	0	0	0	0	0
fsh-generated/resources/Patient-SUfferer.json	1543	2	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	12	10	0	0	0	0	0	0	0
fsh-generated/resources/Practitioner-ChCorePractitionerTRub.json	280	2	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	10	8	0	0	0	0	0	0	0
fsh-generated/resources/Practitioner-ChOrfPractitionerFAmily.json	285	2	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	9	8	0	0	0	0	0	0	0
fsh-generated/resources/Practitioner-ChOrfPractitionerSPitex.json	282	2	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	7	8	0	0	0	0	0	0	0
fsh-generated/resources/PractitionerRole-ChOrfPractitionerRoleFAmily.json	280	2	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	10	9	0	0	0	0	0	0	0
fsh-generated/resources/PractitionerRole-ChOrfPractitionerRoleSPitex.json	280	2	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	9	8	0	0	0	0	0	0	0
fsh-generated/resources/Questionnaire-ch-orf-module-address.json	2190	2	0	0	0	0	0	0	0	21	0	0	0	0	0	0	0	0	0	0	42	19	0	0	0	0	1	0	0
fsh-generated/resources/Questionnaire-ch-orf-module-appointment.json	4327	2	0	0	0	0	0	0	0	9	0	0	0	0	0	0	0	0	0	0	74	21	0	0	0	0	3	0	0
fsh-generated/resources/Questionnaire-ch-orf-module-consent.json	1580	3	1	0	0	0	0	0	0	7	0	0	0	0	0	0	0	0	0	0	37	13	0	0	0	0	1	0	0
fsh-generated/resources/Questionnaire-ch-orf-module-coverage.json	8488	2	0	0	0	0	0	0	1	17	0	0	0	0	0	0	0	0	0	0	153	25	0	0	0	0	4	0	1
fsh-generated/resources/Questionnaire-ch-orf-module-familydoctor.json	4101	3	0	0	0	0	0	0	0	10	0	0	0	0	0	0	0	0	0	0	83	21	0	0	0	0	3	0	0
fsh-generated/resources/Questionnaire-ch-orf-module-initiator.json	8127	2	0	0	0	0	0	0	0	12	0	0	0	0	0	0	0	0	0	0	97	24	0	0	0	0	3	0	0
fsh-generated/resources/Questionnaire-ch-orf-module-order.json	6945	3	0	0	0	0	0	0	0	12	0	0	0	0	0	0	0	0	0	0	100	24	0	0	0	0	3	0	0
fsh-generated/resources/Questionnaire-ch-orf-module-patient.json	13528	3	1	0	0	0	0	0	1	18	0	0	0	0	0	0	0	1	0	0	142	343	0	0	1	0	4	0	0
fsh-generated/resources/Questionnaire-ch-orf-module-practitioner-nametel.json	1740	2	0	0	0	0	0	0	0	7	0	0	0	0	0	0	0	0	0	0	47	13	0	0	0	0	2	0	0
fsh-generated/resources/Questionnaire-ch-orf-module-receiver.json	4047	3	0	0	0	0	0	0	0	77	0	0	0	0	0	0	0	0	0	0	80	14	0	0	0	0	2	0	0
fsh-generated/resources/Questionnaire-ch-orf-module-receivercopy.json	5769	2	0	0	0	0	0	0	1	11	0	0	0	0	0	0	0	0	0	0	89	19	0	0	0	0	2	0	0
fsh-generated/resources/Questionnaire-ch-orf-module-requestedencounter.json	2339	2	1	0	0	0	0	0	0	6	0	0	0	0	0	0	0	0	0	0	38	15	0	0	0	0	2	0	0
fsh-generated/resources/Questionnaire-ch-orf-module-sender.json	10666	4	0	0	0	0	0	0	0	12	0	0	0	0	0	0	0	0	0	0	110	25	0	0	0	0	3	0	0
fsh-generated/resources/Questionnaire-order-referral-form-modular.json	12009	3	0	0	0	0	0	0	1	17	0	0	0	0	0	0	0	0	0	0	150	31	0	0	0	0	5	0	0
fsh-generated/resources/Questionnaire-order-referral-form.json	104299	20	0	0	0	0	0	0	4	107	0	0	0	0	0	0	0	1	0	0	1176	286	0	0	0	0	39	0	1
fsh-generated/resources/QuestionnaireResponse-qr-external-diagnostics-order.json	14825	5	0	0	0	0	0	0	1	10	0	0	0	0	0	0	0	0	0	0	236	37	0	0	0	0	0	0	0
fsh-generated/resources/QuestionnaireResponse-qr-order-referral-form.json	30944	7	0	0	0	0	0	0	1	347	0	0	0	0	0	0	0	0	0	0	492	61	0	0	0	0	0	0	1
fsh-generated/resources/QuestionnaireResponse-qr-radiology-order.json	12442	4	1	0	0	0	0	0	1	5	0	0	0	0	0	0	0	0	0	0	204	33	0	0	0	0	0	0	0
fsh-generated/resources/RelatedPerson-ChOrfRelatedPersonMUfferer.json	318	2	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	9	15	0	0	0	0	0	0	0
fsh-generated/resources/StructureDefinition-ch-orf-antecedentepisodeofcare.json	2177	2	0	0	0	0	0	10	0	49	0	0	0	0	0	0	0	0	0	0	61	538	0	0	0	0	3	1	0
fsh-generated/resources/StructureDefinition-ch-orf-appointment.json	3895	2	0	0	0	0	0	92	0	19	0	0	0	0	0	0	0	0	0	0	230	915	0	0	0	0	12	0	0
fsh-generated/resources/StructureDefinition-ch-orf-composition.json	14340	4	0	0	0	0	0	308	0	64	0	0	0	0	0	0	0	2	0	0	802	1550	0	0	0	0	24	0	2
fsh-generated/resources/StructureDefinition-ch-orf-consent.json	3514	3	0	0	0	0	0	77	0	34	0	0	1	0	0	0	0	1	0	0	316	538	0	0	0	0	13	0	0
fsh-generated/resources/StructureDefinition-ch-orf-consentcode.json	1815	2	0	0	0	0	0	24	0	8	0	0	0	0	0	0	0	0	0	0	57	123	0	0	0	0	2	0	0
fsh-generated/resources/StructureDefinition-ch-orf-consentnote.json	1669	2	1	0	0	0	0	24	0	7	0	0	0	0	0	0	0	0	0	0	55	116	0	0	0	0	2	0	0
fsh-generated/resources/StructureDefinition-ch-orf-copyreceiver.json	2068	2	0	0	0	0	0	23	0	7	0	0	0	0	0	0	0	0	0	0	58	115	0	0	0	0	2	0	1
fsh-generated/resources/StructureDefinition-ch-orf-coverage.json	2713	2	0	0	0	0	0	40	0	20	0	0	0	0	0	0	0	1	0	0	289	557	0	0	0	0	9	0	0
fsh-generated/resources/StructureDefinition-ch-orf-desiredaccommodation.json	2001	3	1	0	0	0	0	26	0	8	0	0	0	0	0	0	0	0	0	0	66	110	0	0	0	0	3	0	0
fsh-generated/resources/StructureDefinition-ch-orf-document.json	6298	4	0	0	0	0	0	249	0	80	0	0	1	0	0	0	0	4	0	0	1850	2214	0	0	0	0	56	1	5
fsh-generated/resources/StructureDefinition-ch-orf-documentreference.json	2940	2	0	0	0	0	0	19	1	13	0	0	0	0	0	0	0	0	0	0	273	271	0	0	0	0	9	0	1
fsh-generated/resources/StructureDefinition-ch-orf-encounter.json	2177	2	0	0	0	0	0	37	0	23	0	0	0	0	0	0	0	1	0	0	320	391	0	0	0	0	26	1	1
fsh-generated/resources/StructureDefinition-ch-orf-episodeofcare.json	1865	2	0	0	0	0	0	13	0	18	0	0	0	0	0	0	0	1	0	0	169	170	0	0	0	0	6	0	0
fsh-generated/resources/StructureDefinition-ch-orf-initiator.json	4396	3	0	0	0	0	0	6	0	17	0	0	0	0	0	0	0	0	0	0	149	114	0	0	0	0	6	0	0
fsh-generated/resources/StructureDefinition-ch-orf-location.json	1030	2	0	0	0	0	0	7	0	13	0	0	0	0	0	0	0	0	0	0	169	188	0	0	0	0	5	0	1
fsh-generated/resources/StructureDefinition-ch-orf-locationandtime.json	1944	2	0	0	0	0	0	4	0	8	0	0	0	0	0	0	0	0	0	0	56	70	0	0	0	0	2	0	0
fsh-generated/resources/StructureDefinition-ch-orf-patientconsent.json	1857	3	0	0	0	0	0	4	0	7	0	0	0	0	0	0	0	0	0	0	56	70	0	0	0	0	2	0	0
fsh-generated/resources/StructureDefinition-ch-orf-precedentdocument.json	1835	4	1	0	0	0	0	3	0	8	0	0	0	0	0	0	0	0	0	0	56	68	0	0	0	0	1	0	0
fsh-generated/resources/StructureDefinition-ch-orf-questionnaire.json	849	3	0	0	0	0	0	12	0	15	0	0	0	0	0	0	0	1	0	0	284	707	0	0	0	0	9	0	0
fsh-generated/resources/StructureDefinition-ch-orf-questionnaireresponse.json	5249	4	0	0	0	0	0	7	0	22	0	0	0	0	0	0	0	0	0	0	255	359	0	0	0	0	11	0	1
fsh-generated/resources/StructureDefinition-ch-orf-receiver.json	1862	2	0	0	0	0	0	4	0	8	0	0	0	0	0	0	0	0	0	0	58	104	0	0	0	0	1	1	0
fsh-generated/resources/StructureDefinition-ch-orf-requestedencounterdetails.json	2034	2	0	0	0	0	0	3	0	7	0	0	0	0	0	0	0	0	0	0	57	104	0	0	0	0	2	0	0
fsh-generated/resources/StructureDefinition-ch-orf-servicerequest.json	6444	3	0	0	0	0	0	11	0	32	0	0	0	0	0	0	0	1	0	0	381	553	0	0	0	0	25	0	1
fsh-generated/resources/StructureDefinition-ch-orf-urgentnoficationcontactfortheresponsetothisdocument.json	2899	2	0	0	0	0	0	4	0	8	0	0	0	0	0	0	0	0	0	0	63	110	0	0	0	0	1	0	0
fsh-generated/resources/StructureDefinition-ch-orf-urgentnoficationcontactforthisdocument.json	2317	2	0	0	0	0	0	3	0	7	0	0	0	0	0	0	0	0	0	0	59	92	0	0	0	0	2	0	0
fsh-generated/resources/ValueSet-ch-orf-vs-appointmentstatus.json	657	2	0	0	1	0	0	0	0	106	0	0	0	0	0	0	0	0	0	0	14	3817	0	0	0	0	0	0	0
fsh-generated/resources/ValueSet-ch-orf-vs-consentstatus.json	993	2	1	0	0	0	0	0	0	186	0	0	0	0	0	0	0	0	0	0	14	284	0	0	0	0	1	0	0
fsh-generated/resources/ValueSet-ch-orf-vs-coverageidentifiertype.json	519	2	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	12	55	0	0	0	0	0	0	0
fsh-generated/resources/ValueSet-ch-orf-vs-desiredaccommodation.json	789	3	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	14	45	0	0	0	0	0	0	0
fsh-generated/resources/ValueSet-ch-orf-vs-encounterclass.json	642	1	0	0	0	0	0	0	0	8	0	0	0	0	0	0	0	0	0	0	17	60	0	0	0	0	1	0	0
fsh-generated/resources/ValueSet-ch-orf-vs-legalrelation.json	672	2	0	0	0	0	0	0	0	191	0	0	0	0	0	0	0	0	0	0	13	232	0	0	0	0	0	0	0
fsh-generated/resources/ValueSet-ch-orf-vs-personalrelation.json	1458	2	0	0	0	0	0	0	0	181	0	0	0	0	0	0	0	0	0	0	14	228	0	0	0	0	0	0	0
input/resources/OrfQrToBundle.map	90813	48	0	0	0	0	0	0	16	92	0	0	0	0	0	0	0	3	0	0	1114	278	0	0	1	0	42	0	6
input/resources/questionnaire-sdc-modular-issue126.xml	1042	15	1	0	0	0	0	0	0	8	0	0	0	0	0	0	0	0	0	0	30	14	0	0	0	0	1	0	0
/input/examples/bundle/bundle-order-referral-form.xml	141670	-	0	0	0	0	90	0	5	996	0	0	0	0	0	0	0	0	0	0	1628	1266	0	0	0	0	0	0	1
/input/examples/bundle/radiology-order.xml	112679	-	0	0	0	0	17	0	3	30	0	0	0	0	0	0	0	1	0	0	1313	137	0	0	0	0	0	0	0
