Source File	Size	loadResources	load	generateSnapshots	load-configure	scan	loadDepInfo	loadInfo	checkR4R4B	generateNarratives	validate	loadLists	checkConformanceResources	checkConformanceResources2	checkConformanceResources3	generateLogicalMaps	validateExpressions	scanForUsageStats	checkURLsUnique	processProvenanceDetails	generate1	generate2	responsesForQuestionnaire	generateLogicals	makeDependencies	generateExampleZip	generateValidationPack	scanProfilesForR5	scanExamplesForR5
/input/ch.fhir.ig.ch-orf.xml	28905	-	0	0	0	0	0	0	6	1	0	0	0	0	0	0	0	2	0	0	139	205	0	0	0	0	10	0	3
fsh-generated/resources/Appointment-AppointmentBooked.json	486	14	0	0	1	0	0	0	0	516	0	0	0	0	0	0	0	0	0	0	20	34	0	0	0	0	0	0	0
fsh-generated/resources/Appointment-AppointmentPending.json	488	11	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	18	29	0	0	0	0	0	0	0
fsh-generated/resources/Appointment-AppointmentProposed.json	537	12	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	19	27	0	0	0	0	0	0	0
fsh-generated/resources/CodeSystem-ch-orf-cs-consentstatus.json	657	12	0	0	0	0	0	0	0	9	0	0	1	0	0	0	0	0	0	0	19	2692	0	0	0	0	1	0	0
fsh-generated/resources/CodeSystem-ch-orf-cs-coverageidentifiertype.json	823	11	0	0	0	0	0	0	1	8	0	0	0	0	0	0	0	0	0	0	20	91	0	0	0	0	0	0	0
fsh-generated/resources/Composition-spitex-order.json	3584	13	0	0	0	0	0	0	0	671	0	0	0	0	0	0	0	0	0	0	23	37	0	0	0	0	0	0	0
fsh-generated/resources/Consent-ChOrfConsentSUfferer.json	1142	11	0	0	1	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	17	18	0	0	0	0	0	0	0
fsh-generated/resources/EpisodeOfCare-ChOrfEpisodeOfCareSUfferer.json	513	11	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	16	15	0	0	0	0	0	0	0
fsh-generated/resources/Location-LocationOfAppointment.json	438	11	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	17	14	0	0	0	0	0	0	0
fsh-generated/resources/Organization-OrganizationSpitalTrubschachen.json	227	11	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	17	13	0	0	0	0	0	0	1
fsh-generated/resources/Patient-SUfferer.json	1543	11	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	24	15	0	0	0	0	0	0	0
fsh-generated/resources/Practitioner-ChCorePractitionerTRub.json	280	10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	16	14	0	0	0	0	0	0	0
fsh-generated/resources/Practitioner-ChOrfPractitionerFAmily.json	285	5	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	14	12	0	0	0	0	0	0	0
fsh-generated/resources/Practitioner-ChOrfPractitionerSPitex.json	282	5	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	15	13	0	0	0	0	0	0	0
fsh-generated/resources/PractitionerRole-ChOrfPractitionerRoleFAmily.json	280	4	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	16	16	0	0	0	0	0	0	0
fsh-generated/resources/PractitionerRole-ChOrfPractitionerRoleSPitex.json	280	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	15	14	0	0	0	0	0	0	0
fsh-generated/resources/Questionnaire-ch-orf-module-address.json	2190	5	0	0	0	0	0	0	1	69	0	0	0	0	0	0	0	0	0	0	34	24	0	0	0	0	2	0	0
fsh-generated/resources/Questionnaire-ch-orf-module-appointment.json	4318	10	0	0	0	0	0	0	0	15	0	0	0	0	0	0	0	0	0	0	56	145	0	0	0	0	2	0	0
fsh-generated/resources/Questionnaire-ch-orf-module-consent.json	1580	11	0	0	0	0	0	0	0	12	0	0	0	0	0	0	0	0	0	0	41	19	0	0	0	0	1	0	0
fsh-generated/resources/Questionnaire-ch-orf-module-coverage.json	8479	12	0	0	0	0	0	0	1	26	0	0	0	0	0	0	0	0	0	0	92	30	0	0	0	0	4	0	0
fsh-generated/resources/Questionnaire-ch-orf-module-familydoctor.json	4092	12	0	0	1	0	0	0	0	18	0	0	0	0	0	0	0	0	0	0	54	33	0	0	0	0	2	0	0
fsh-generated/resources/Questionnaire-ch-orf-module-initiator.json	8100	12	0	0	0	0	0	0	1	15	0	0	0	0	0	0	0	0	0	0	57	25	0	0	1	0	2	0	0
fsh-generated/resources/Questionnaire-ch-orf-module-order.json	6927	12	0	0	0	0	0	0	0	12	0	0	0	0	0	0	0	1	0	0	59	24	0	0	0	0	3	0	0
fsh-generated/resources/Questionnaire-ch-orf-module-patient.json	13510	14	0	0	0	0	0	0	1	31	0	0	0	0	0	0	0	0	0	0	77	450	0	0	0	0	3	0	1
