Source File	Size	loadResources	load-configure	scan	loadDepInfo	loadInfo	load	generateSnapshots	checkR4R4B	generateNarratives	validate	loadLists	checkConformanceResources	checkConformanceResources2	checkConformanceResources3	generateLogicalMaps	validateExpressions	scanForUsageStats	checkURLsUnique	processProvenanceDetails	generate1	generate2	responsesForQuestionnaire	generateLogicals	makeDependencies	generateExampleZip	generateValidationPack	scanProfilesForR5	scanExamplesForR5
/fsh-generated/resources/ImplementationGuide-ch.fhir.ig.ch-rad-order.json	24060	-	0	0	0	0	0	0	8	46	0	0	0	0	0	0	0	0	0	0	148	156	0	0	0	0	8	0	2
fsh-generated/resources/Appointment-AppointmentRadiography.json	535	7	1	0	0	0	0	0	0	33	0	0	0	0	0	0	0	0	0	0	25	27	0	0	0	0	0	0	0
fsh-generated/resources/Bundle-DocumentRadiologyOrder.json	242472	41	0	0	0	0	96	0	9	4147	0	0	0	0	0	0	0	3	0	0	583	1481	0	0	0	0	0	0	4
fsh-generated/resources/CodeSystem-ch-rad-order-dicom-unknown.json	510	4	0	0	0	0	0	0	0	9	0	0	1	0	0	0	0	0	0	0	26	2178	0	0	0	0	1	0	0
fsh-generated/resources/CodeSystem-ch-rad-order-order-detail-type.json	821	3	0	0	0	0	0	0	0	7	0	0	0	0	0	0	0	0	0	0	21	81	0	0	0	0	0	0	0
fsh-generated/resources/CodeSystem-ch-rad-order-requested-service.json	1142	3	0	0	0	0	0	0	0	9	0	0	0	0	0	0	0	0	0	0	22	70	0	0	0	0	1	0	0
fsh-generated/resources/Composition-CompositionRadiologyOrder.json	2233	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	16	20	0	0	0	0	0	0	0
fsh-generated/resources/Condition-CaveatBloodCoagulation.json	1663	4	0	0	0	0	0	0	0	37	0	0	0	0	0	0	0	0	0	0	19	14	0	0	0	0	0	0	0
fsh-generated/resources/Condition-CaveatBodyPiercing.json	1363	2	1	0	0	0	0	0	0	26	0	0	0	0	0	0	0	0	0	0	21	13	0	0	0	0	0	0	0
fsh-generated/resources/Condition-CaveatDeviceCardiacPacemaker.json	1376	3	0	0	0	0	0	0	0	40	0	0	0	0	0	0	0	0	0	0	17	13	0	0	0	0	0	0	0
fsh-generated/resources/Condition-CaveatDrugPrescriptionMetformin.json	1398	3	0	0	0	0	0	0	0	30	0	0	0	0	0	0	0	0	0	0	19	16	0	0	0	0	0	0	0
fsh-generated/resources/Condition-CaveatRenalInsufficiency.json	1674	3	0	0	0	0	0	0	0	45	0	0	0	0	0	0	0	0	0	0	32	16	0	0	0	0	0	0	0
fsh-generated/resources/Condition-PrimaryDiagnosis.json	706	2	0	0	0	0	0	0	0	23	0	0	0	0	0	0	0	0	0	0	26	12	0	0	0	0	0	0	0
fsh-generated/resources/Condition-SecondaryDiagnosis1.json	713	3	0	0	0	0	0	0	1	31	0	0	0	0	0	0	0	0	0	0	26	14	0	0	0	0	0	0	0
fsh-generated/resources/Condition-SecondaryDiagnosis2.json	713	2	0	0	0	0	0	0	0	21	0	0	0	0	0	0	0	0	0	0	15	13	0	0	0	0	0	0	0
fsh-generated/resources/Coverage-CoverageKVG.json	1030	3	0	0	0	0	0	0	0	21	0	0	0	0	0	0	0	0	0	0	17	13	0	0	0	0	0	0	0
fsh-generated/resources/DocumentReference-DocumentReferenceNonDicom.json	512	2	0	0	0	0	0	0	0	16	0	0	0	0	0	0	0	0	0	0	16	11	0	0	0	0	0	0	0
fsh-generated/resources/ImagingStudy-DicomSopInstanceConformant.json	1107	4	0	0	0	0	0	0	0	25	0	0	0	0	0	0	0	0	0	0	27	14	0	0	0	0	0	0	0
fsh-generated/resources/Location-LocationRadiography.json	444	2	0	0	0	0	0	0	0	11	0	0	0	0	0	0	0	0	0	0	14	13	0	0	0	0	0	0	0
fsh-generated/resources/Observation-BodyHeight.json	793	3	0	0	0	0	0	0	0	26	0	0	0	0	0	0	0	0	0	0	17	15	0	0	0	0	0	0	0
fsh-generated/resources/Observation-BodyWeight.json	793	3	0	0	0	0	0	0	0	19	0	0	0	0	0	0	0	0	0	0	16	13	0	0	0	0	0	0	0
fsh-generated/resources/Observation-CaveatBloodCoagulationINR.json	635	2	1	0	0	0	0	0	0	17	0	0	0	0	0	0	0	0	0	0	15	13	0	0	0	0	0	0	0
fsh-generated/resources/Observation-CaveatBloodCoagulationPlatelets.json	651	3	0	0	0	0	0	0	0	22	0	0	0	0	0	0	0	0	0	0	20	12	0	0	0	0	0	0	0
fsh-generated/resources/Observation-CaveatRenalInsufficiencyCreatinine.json	673	2	0	0	0	0	0	0	0	16	0	0	0	0	0	0	0	0	0	0	20	13	0	0	0	0	0	0	0
