URL,Version,Status,OIDs,Name,Title,Description,Uses,Used,Sources
http://dicom.nema.org/medical/dicom/current/output/chtml/part16/sect_CID_29.html,2025.3.20250714,active,"1.2.840.10008.6.1.19",AcquisitionModality,,"Transitive closure of CID 29 AcquisitionModality","StructureDefinition/ch-rad-order-imagingstudy","DICOM"
http://fhir.ch/ig/ch-allergyintolerance/ValueSet/CHAllergyIntoleranceConditionValueSet,3.3.0,active,,CHAllergyIntoleranceConditionValueSet,CH AllergyIntolerance Condition,"CH AllergyIntolerance condition value set. This value set includes codes from SNOMED Clinical Terms®  values  for values from the manifestation of reactions value set PLUS findings for the documentation of allergy or intolerances in conditions as problem-list or as encounter-diagnosis as well as its absence (no know allergies)","StructureDefinition/ch-rad-order-diagnosis-condition,StructureDefinition/ch-rad-order-caveat-condition","SCT"
http://fhir.ch/ig/ch-rad-order/ValueSet/ch-rad-order-acquisition-modality,2.0.1,active,,ChRadOrderAcquisitionModality,Modality that created the series,"Valuset for the Type of equipment, or function or technique of that equipment, that created the data",,"Internal,Other"
http://fhir.ch/ig/ch-rad-order/ValueSet/ch-rad-order-caveat-condition,2.0.1,active,,ChRadOrderCaveatCondition,Caveat Condition,"Definition for Caveat Condition Value Set in the context of CH RAD-Order.","StructureDefinition/ch-rad-order-caveat-condition","SCT"
http://fhir.ch/ig/ch-rad-order/ValueSet/ch-rad-order-caveat-device,2.0.1,active,,ChRadOrderCaveatDevice,Caveat Device,"Definition for Caveat Device Value Set in the context of CH RAD-Order.","Questionnaire/QuestionnaireRadiologyOrder,Questionnaire/ch-rad-order-module-caveats","SCT"
http://fhir.ch/ig/ch-rad-order/ValueSet/ch-rad-order-caveat-qualifier-value,2.0.1,active,,ChRadOrderQualifierValue,Qualifier Value,"Qualifier values in the context of CH RAD-Order.","Questionnaire/QuestionnaireRadiologyOrder,StructureDefinition/ch-rad-order-qualifier-value,Questionnaire/ch-rad-order-module-caveats","SCT"
http://fhir.ch/ig/ch-rad-order/ValueSet/ch-rad-order-caveat-type,2.0.1,active,,ChRadOrderCaveatType,Type of Caveat,"Definition for Type of Caveat Value Set in the context of CH RAD-Order.","StructureDefinition/ch-rad-order-caveat-type","SCT"
http://fhir.ch/ig/ch-rad-order/ValueSet/ch-rad-order-guidance-for-action,2.0.1,active,,ChRadOrderGuidanceForAction,Guidance for Action,"Definition for Guidance for Action Value Set in the context of CH RAD-Order.","Questionnaire/QuestionnaireRadiologyOrder,StructureDefinition/ch-rad-order-servicerequest,Questionnaire/ch-rad-order-module-medinfo","hl7.terminology.r4"
http://fhir.ch/ig/ch-rad-order/ValueSet/ch-rad-order-imaging-focus,2.0.1,active,,ChRadOrderImagingFocus,Imaging Focus,"Definition for Imaging Focus Value Set in the context of CH RAD-Order.","Questionnaire/QuestionnaireRadiologyOrder,StructureDefinition/ch-rad-order-servicerequest,Questionnaire/ch-rad-order-module-medinfo","hl7.terminology.r4"
http://fhir.ch/ig/ch-rad-order/ValueSet/ch-rad-order-imaging-region,2.0.1,active,,ChRadOrderImagingRegion,Imaging Region,"Definition for Imaging Region Value Set in the context of CH RAD-Order.","Questionnaire/QuestionnaireRadiologyOrder,StructureDefinition/ch-rad-order-servicerequest,Questionnaire/ch-rad-order-module-medinfo","hl7.terminology.r4"
http://fhir.ch/ig/ch-rad-order/ValueSet/ch-rad-order-laterality,2.0.1,active,,ChRadOrderLaterality,Laterality,"Definition for Laterality Value Set in the context of CH RAD-Order.","Questionnaire/QuestionnaireRadiologyOrder,StructureDefinition/ch-rad-order-servicerequest,Questionnaire/ch-rad-order-module-medinfo","hl7.terminology.r4"
