Source File	Size	loadResources	load	generateSnapshots	load-configure	scan	loadDepInfo	loadInfo	checkR4R4B	generateNarratives	validate	loadLists	checkConformanceResources	checkConformanceResources2	checkConformanceResources3	generateLogicalMaps	validateExpressions	scanForUsageStats	checkURLsUnique	processProvenanceDetails	generate1	generate2	generateLogicals	makeDependencies	generateExampleZip	generateValidationPack	scanProfilesForR5	scanExamplesForR5
/fsh-generated/resources/ImplementationGuide-ch.fhir.ig.ch-term.json	66724	-	0	0	0	0	0	0	11	464	0	0	0	0	0	0	0	2	0	0	259	233	0	0	0	15	0	21
fsh-generated/resources/CodeSystem-allergyintolerance-category-supplement.json	1938	6	0	0	0	0	0	0	0	17	0	0	0	0	0	0	0	0	0	0	21	1921	0	0	0	1	0	1
fsh-generated/resources/CodeSystem-allergyintolerance-clinical-supplement.json	1573	5	0	0	1	0	0	0	0	9	0	0	0	0	0	0	0	0	0	0	19	76	0	0	0	1	0	0
fsh-generated/resources/CodeSystem-allergyintolerance-criticality-supplement.json	1696	7	0	0	0	0	0	0	0	6	0	0	0	0	0	0	0	0	0	0	29	63	0	0	0	0	0	0
fsh-generated/resources/CodeSystem-allergyintolerance-severity-supplement.json	1535	8	0	0	0	0	0	0	0	8	0	0	0	0	0	0	0	1	0	0	27	58	0	0	0	0	0	0
fsh-generated/resources/CodeSystem-allergyintolerance-type-supplement.json	1199	4	0	0	0	0	0	0	0	6	0	0	0	0	0	0	0	0	0	0	15	56	0	0	0	1	0	0
fsh-generated/resources/CodeSystem-allergyintolerance-verification-supplement.json	2034	5	0	0	0	0	0	0	1	12	0	0	0	0	0	0	0	0	0	0	23	54	0	0	0	0	0	0
fsh-generated/resources/CodeSystem-bfs-medstats-25-mainguarantor.json	1473	5	0	0	0	0	0	0	0	6	0	0	0	0	0	0	0	0	0	0	16	60	0	0	0	1	0	0
fsh-generated/resources/CodeSystem-ch-etoc-conditioncategory.json	900	5	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	25	51	0	0	0	1	0	0
fsh-generated/resources/CodeSystem-ch-vacd-myvaccines-cs.json	42308	11	0	0	0	0	0	0	3	24	0	0	0	0	0	0	0	1	0	0	100	95	0	0	0	5	0	2
fsh-generated/resources/CodeSystem-ch-vacd-recommendation-categories-cs.json	2663	4	0	0	0	0	0	0	0	12	0	0	0	0	0	0	0	0	0	0	30	47	0	0	0	0	0	1
fsh-generated/resources/CodeSystem-ch-vacd-recommendation-forecast-status-cs.json	7969	5	0	0	1	0	0	0	0	13	0	0	0	0	0	0	0	0	0	0	28	57	0	0	0	1	0	0
fsh-generated/resources/CodeSystem-ch-vacd-swissmedic-cs.json	74804	11	0	0	0	0	0	0	4	34	0	0	0	0	0	0	0	1	0	0	117	104	0	0	0	8	0	3
fsh-generated/resources/CodeSystem-ch-vacd-swissmedic-imunglobuline-cs.json	29484	7	0	0	0	0	0	0	1	20	0	0	0	0	0	0	0	0	0	0	58	61	0	0	0	2	0	1
fsh-generated/resources/CodeSystem-ch-vacd-swissmedic-imunsera-cs.json	13784	6	0	0	0	0	0	0	1	15	0	0	0	0	0	0	0	0	0	0	33	54	0	0	0	1	0	1
fsh-generated/resources/CodeSystem-ech-7-cantonflabbreviation.json	1445	5	0	0	0	0	0	0	0	12	0	0	0	0	0	0	0	0	0	0	18	51	0	0	0	1	0	0
fsh-generated/resources/CodeSystem-mainguarantor.json	697	4	0	0	6	0	0	0	0	12	0	0	0	0	0	0	0	0	0	0	14	57	0	0	0	0	0	0
fsh-generated/resources/CodeSystem-servicerequest-category.json	2497	4	0	0	0	0	0	0	0	11	0	0	0	0	0	0	0	0	0	0	19	46	0	0	0	1	0	0
