Source File	Size	loadResources	load	generateSnapshots	load-configure	scan	loadDepInfo	loadInfo	checkR4R4B	generateNarratives	validate	loadLists	checkConformanceResources	checkConformanceResources2	checkConformanceResources3	generateLogicalMaps	validateExpressions	scanForUsageStats	checkURLsUnique	processProvenanceDetails	generate1	generate2	generateLogicals	makeDependencies	generateExampleZip	generateValidationPack	scanProfilesForR5	scanExamplesForR5
/fsh-generated/resources/ImplementationGuide-ch.fhir.ig.ch-term.json	74945	-	0	0	0	0	0	0	27	97	0	0	0	0	1	0	0	2	0	0	305	208	0	0	0	17	0	3
fsh-generated/resources/CodeSystem-allergyintolerance-category-supplement.json	1938	3	0	0	2	0	0	0	0	9	0	0	0	0	1	0	0	0	0	0	16	64	0	0	0	1	0	0
fsh-generated/resources/CodeSystem-allergyintolerance-clinical-supplement.json	1573	2	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	15	41	0	0	0	0	0	0
fsh-generated/resources/CodeSystem-allergyintolerance-criticality-supplement.json	1696	1	0	0	0	0	0	0	0	3	0	0	0	0	1	0	0	0	0	0	12	40	0	0	0	1	0	0
fsh-generated/resources/CodeSystem-allergyintolerance-severity-supplement.json	1535	1	0	0	0	0	0	0	1	3	0	0	1	0	0	0	0	0	0	0	12	106	0	0	0	0	0	0
fsh-generated/resources/CodeSystem-allergyintolerance-type-supplement.json	1199	1	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	9	33	0	0	0	1	0	0
fsh-generated/resources/CodeSystem-allergyintolerance-verification-supplement.json	2034	1	0	0	0	0	0	0	0	4	0	0	0	0	1	0	0	0	0	0	15	36	0	0	0	0	0	0
fsh-generated/resources/CodeSystem-bfs-medstats-25-mainguarantor.json	1473	1	0	0	0	0	0	0	0	3	0	0	0	0	1	0	0	0	0	0	9	35	0	0	0	1	0	0
fsh-generated/resources/CodeSystem-ch-etoc-conditioncategory.json	900	1	0	0	0	0	0	0	0	2	0	0	0	0	1	0	0	0	0	0	9	33	0	0	0	0	0	0
fsh-generated/resources/CodeSystem-ch-vacd-myvaccines-cs.json	42068	7	0	0	0	0	0	0	5	16	0	0	0	0	0	0	0	0	0	0	89	99	0	0	0	6	0	1
fsh-generated/resources/CodeSystem-ch-vacd-recommendation-categories-cs.json	3209	1	0	0	0	0	0	0	0	3	0	0	0	0	1	0	0	0	0	0	16	31	0	0	0	1	0	0
fsh-generated/resources/CodeSystem-ch-vacd-recommendation-forecast-status-cs.json	7945	2	0	0	0	0	0	0	1	5	0	0	0	0	0	0	0	1	0	0	26	34	0	0	0	1	0	0
fsh-generated/resources/CodeSystem-ch-vacd-swissmedic-cs.json	83366	7	0	0	0	0	0	0	6	40	0	0	0	0	0	0	0	0	0	0	166	234	0	0	0	8	0	0
fsh-generated/resources/CodeSystem-ch-vacd-swissmedic-immunesera-cs.json	14224	2	0	0	0	0	0	0	1	8	0	0	0	0	1	0	0	0	0	0	29	48	0	0	0	1	0	0
