Source File	Size	loadResources	load-configure	scan	loadDepInfo	loadInfo	load	generateSnapshots	checkR4R4B	generateNarratives	validate	loadLists	checkConformanceResources	checkConformanceResources2	checkConformanceResources3	generateLogicalMaps	validateExpressions	scanForUsageStats	checkURLsUnique	processProvenanceDetails	generate1	generate2	generateLogicals	makeDependencies	generateExampleZip	generateValidationPack	scanProfilesForR5	scanExamplesForR5
/fsh-generated/resources/ImplementationGuide-ch.fhir.ig.ch-vacd.json	112735	-	0	0	0	0	0	0	6	116	0	0	0	0	0	0	0	1	0	0	307	131	0	0	0	6	0	1
fsh-generated/resources/Composition-RDE01-Composition.json	3838	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	10	10	0	0	0	0	0	0
fsh-generated/resources/Composition-RDC04-Composition.json	2856	6	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8	5	0	0	0	0	0	0
fsh-generated/resources/Composition-RDB03-Composition.json	3813	8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	10	6	0	0	0	0	0	0
fsh-generated/resources/Composition-F-D2-HCP1-C1-Composition.json	3034	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8	5	0	0	0	0	0	0
fsh-generated/resources/AllergyIntolerance-TCF02-ALLINTO1.json	1118	3	0	0	0	0	0	0	0	43	0	0	0	0	0	0	0	0	0	0	7	6	0	0	0	0	0	0
fsh-generated/resources/StructureDefinition-ch-vacd-immunization-recommendation.json	6068	8	0	0	0	0	0	75	0	74	0	0	0	0	0	0	0	1	0	0	128	1538	0	0	0	3	0	1
fsh-generated/resources/Composition-C-D1-P-C1-Composition.json	3642	3	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	9	10	0	0	0	0	0	0
fsh-generated/resources/Bundle-B-D1-HCP1-C1.json	20946	13	0	0	0	0	27	0	0	65	0	0	0	0	0	0	0	0	0	0	50	34	0	0	0	0	0	1
fsh-generated/resources/ImmunizationRecommendation-10-1-ImmunizationRecommendation.json	1839	3	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	11	6	0	0	0	0	0	0
fsh-generated/resources/Composition-2-3-VaccinationRecordComposition.json	43094	7	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	64	13	0	0	0	0	0	0
fsh-generated/resources/Composition-F-D6-HCP1-C1-Composition.json	3011	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8	7	0	0	0	0	0	0
fsh-generated/resources/Bundle-B-D6-HCP1-C1.json	10524	7	0	0	0	0	6	0	0	22	0	0	0	0	0	0	0	0	0	0	24	9	0	0	0	0	0	0
fsh-generated/resources/Patient-3-2-Patient.json	647	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	4	4	0	0	0	0	0	0
fsh-generated/resources/Organization-5-2-Organization.json	513	2	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	4	5	0	0	0	0	0	0
fsh-generated/resources/Composition-C-D4-HCP2-C2-Composition.json	3013	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7	20	0	0	0	0	0	0
fsh-generated/resources/Organization-TC-ORG2.json	905	2	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	6	5	0	0	0	0	0	0
fsh-generated/resources/ValueSet-ch-vacd-entry-conflict-vs.json	1740	2	0	0	0	0	0	0	0	357	0	0	0	0	0	0	0	0	0	0	6	4146	0	0	0	0	0	0
fsh-generated/resources/Condition-TCF03-UNDILL3.json	1325	2	0	0	0	0	0	0	1	16	0	0	0	0	0	0	0	0	0	0	8	6	0	0	0	0	0	0
fsh-generated/resources/Bundle-D-D4-HCP2-C2.json	31569	19	0	0	0	0	7	0	0	31	0	0	0	0	0	0	0	0	0	0	72	22	0	0	0	0	0	0
fsh-generated/resources/Composition-D-D1-HCP1-C1-Composition.json	3636	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	9	6	0	0	0	0	0	0
fsh-generated/resources/Condition-TCB05-EXPRISK2.json	1367	2	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	9	6	0	0	0	0	0	0
fsh-generated/resources/Medication-TC-IMMUN-MEDIC-HAVRIX1440.json	1361	2	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	9	6	0	0	0	0	0	0
fsh-generated/resources/Composition-C-D2-HCP1-C1-Composition.json	3767	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	9	7	0	0	0	0	0	0
fsh-generated/resources/Bundle-RDA03.json	33169	20	0	0	0	0	14	0	1	48	0	0	0	0	0	0	0	0	0	0	77	19	0	0	0	0	0	0
fsh-generated/resources/Composition-A-D3-HCP2-C2-Composition.json	3079	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8	7	0	0	0	0	0	0
fsh-generated/resources/Immunization-TCC02-IMMUN3-HCP1-ORG1-ROLE.json	2314	3	0	0	0	0	0	0	0	7	0	0	0	0	0	0	0	0	0	0	10	7	0	0	0	0	0	0
fsh-generated/resources/CodeSystem-ch-vacd-recommendation-forecast-status-cs.json	7950	6	0	0	0	0	0	0	0	9	0	0	0	0	0	0	0	0	0	0	22	28	0	0	0	0	0	0
fsh-generated/resources/ValueSet-ch-vacd-route-of-administration-vs.json	5067	4	1	0	0	0	0	0	0	6	0	0	0	0	0	0	0	0	0	0	15	34	0	0	0	0	0	0
fsh-generated/resources/Practitioner-TC-HCP2-C2.json	1063	2	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	6	8	0	0	0	0	0	0
fsh-generated/resources/Bundle-RDF01.json	14222	9	0	0	0	0	7	0	0	6	0	0	0	0	0	0	0	0	0	0	34	10	0	0	0	0	0	0
fsh-generated/resources/Composition-D-D5-HCP1-C1-Composition.json	3019	2	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	8	6	0	0	0	0	0	0
fsh-generated/resources/Bundle-RDC02.json	17448	12	0	0	0	0	4	0	0	20	0	0	0	0	0	0	0	0	0	0	38	11	0	0	1	0	0	0
fsh-generated/resources/ImmunizationRecommendation-10-4-ImmunizationRecommendation.json	1845	2	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	9	6	0	0	0	0	0	0
fsh-generated/resources/PractitionerRole-TC-HCP2-ORG2-ROLE-performer.json	354	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	4	4	0	0	0	0	0	0
fsh-generated/resources/ValueSet-ch-vacd-risks-vs.json	2449	3	0	0	0	0	0	0	0	12	0	0	0	0	0	0	0	0	0	0	9	42	0	0	0	1	0	0
fsh-generated/resources/Observation-TCB04-LABRES1.json	1076	1	0	0	0	0	0	0	0	13	0	0	0	0	0	0	0	0	0	0	7	8	0	0	0	0	0	0
