URL,Version,Status,OIDs,Name,Title,Descriptino,Used
http://fhir.ch/ig/ch-vacd/CodeSystem/ch-vacd-allergyintolerance-cs,4.0.1,active,,SwissAllergyIntoleranceCodesystem,Swiss AllergyIntolerance Codesystem,"AllergyIntolerance codes in Switzerland.","ValueSet/ch-vacd-immunization-allergyintolerances-vs"
http://fhir.ch/ig/ch-vacd/CodeSystem/ch-vacd-basic-immunization-cs,4.0.1,active,,BasicImmunizationCodesystem,Basic Immunization codes,"Clinical Decision Support Event","ValueSet/ch-vacd-basic-immunization-vs"
http://fhir.ch/ig/ch-vacd/CodeSystem/ch-vacd-entry-conflict-cs,4.0.1,active,,EntryConflictCodesystem,Entry Conflict Code System,"The entry conflict codesystem","ValueSet/ch-vacd-entry-conflict-vs"
http://fhir.ch/ig/ch-vacd/CodeSystem/ch-vacd-exposure-risks-cs,4.0.1,active,,SwissExposureRisksCodesystem,Swiss Exposure Risks Codesystem,"Exposure risks codes available in Switzerland.","ValueSet/ch-vacd-risks-occupation-vs"
http://fhir.ch/ig/ch-vacd/CodeSystem/ch-vacd-myvaccines-cs,4.0.1,active,,OldSwissVaccinesCodesystem,Old Swiss Vaccines Codesystem,"Old vaccines codes earlier available in Switzerland.","ConceptMap/ch-vacd-vaccines-targetdiseases-cm,ConceptMap/ch-vacd-vaccines-sct-sm-cm,ValueSet/ch-vacd-vaccines-vs,ConceptMap/ch-vacd-targetdiseases-vaccines-cm,ConceptMap/ch-vacd-vaccines-sm-sct-cm"
http://fhir.ch/ig/ch-vacd/CodeSystem/ch-vacd-recommendation-categories-cs,4.0.1,active,"2.16.756.5.30.1.127.3.3.4",SwissImmunizationRecommendationCategoriesCodesystem,Swiss Immunization Recommendation Categories Codesystem,"Immunization recommendation categories available in Switzerland.","ValueSet/ch-vacd-recommendation-categories-vs"
http://fhir.ch/ig/ch-vacd/CodeSystem/ch-vacd-swissmedic-cs,4.0.1,active,,SwissMedicAuthorizedVaccinesCodesystem,Swiss Medic Authorized Vaccines Codesystem,"The vaccines swissmedic has given an autorization number.","ConceptMap/ch-vacd-vaccines-targetdiseases-cm,ConceptMap/ch-vacd-vaccines-sct-sm-cm,ValueSet/ch-vacd-vaccines-vs,ConceptMap/ch-vacd-targetdiseases-vaccines-cm,ConceptMap/ch-vacd-vaccines-sm-sct-cm"
http://hl7.org/fhir/uv/ips/CodeSystem/absent-unknown-uv-ips,1.0.0,active,,IPSCodeSystemAbsentUnknown,Absent and Unknown Data - IPS,"International Patient Summary (IPS) codes for ""known absent"" and ""not known"" data.","ValueSet/absent-or-unknown-immunizations-uv-ips"
http://loinc.org,3.1.0,active,"2.16.840.1.113883.6.1",LOINC,Logical Observation Identifiers, Names and Codes (LOINC),"LOINC provides a set of universal names and ID codes for identifying laboratory and clinical test results.1,2 LOINC facilitates the exchange and pooling of results, such as blood hemoglobin, serum potassium, or vital signs, for clinical care, outcomes management, and research. LOINC's universal identifiers (names and codes) can be used in the context of order and observation exchanges between information systems that use syntax standards such as HL73, CEN TC251, ISO TC215, ASTM4, and DICOM. Specifically, the identifier can be used as the coded value for an observation in any other standard that uses the observation/observation value paradigm, whether messages, documents, application programming interface (API), etc. For example, LOINC codes are used widely in the OBX segment Observation Identifier field (OBX-3) of an ORU HL7 (HL7 version 2.x or ASTM 1238-9410) message that may be sent between a Clinical Laboratory Information Management Systems (LIMS) and Electronic Health Record Systems (EHR).5, 6 In this way, LOINC codes provide universal identifiers that allow the exchange of clinical data between heterogeneous computing environments.","ValueSet/ch-vacd-laboratory-serology-vs"
http://snomed.info/sct,null,active,"2.16.840.1.113883.6.96",SNOMED_CT,SNOMED CT (all versions),"SNOMED CT is the most comprehensive and precise clinical health terminology product in the world, owned and distributed around the world by The International Health Terminology Standards Development Organisation (IHTSDO).","ValueSet/ch-vacd-risks-occupation-vs,ConceptMap/ch-vacd-vaccines-sct-sm-cm,ValueSet/ch-vacd-risks-preillness-vs,ConceptMap/ch-vacd-targetdiseases-vaccines-cm,ConceptMap/ch-vacd-vaccines-sct-targetdiseases-cm,ConceptMap/ch-vacd-vaccines-sm-sct-cm,ValueSet/ch-vacd-risks-social-vs,ConceptMap/ch-vacd-vaccines-targetdiseases-cm,ValueSet/ch-vacd-risks-medical-vs,ValueSet/ch-vacd-vaccines-snomedct-vs,ValueSet/ch-vacd-ch-vaccination-plan-immunizations-vs,ValueSet/ch-vacd-vaccines-vs,ValueSet/ch-vacd-immunization-allergyintolerances-vs,ValueSet/ch-vacd-targetdiseasesandillnessesundergoneforimmunization-vs"
