Source File	Size	loadResources	load-configure	scan	loadDepInfo	loadInfo	load	generateSnapshots	checkR4R4B	generateNarratives	validate	loadLists	checkConformanceResources	checkConformanceResources2	checkConformanceResources3	generateLogicalMaps	validateExpressions	scanForUsageStats	checkURLsUnique	processProvenanceDetails	generate1	generate2	generateLogicals	makeDependencies	generateExampleZip	generateValidationPack	scanProfilesForR5	scanExamplesForR5
/fsh-generated/resources/ImplementationGuide-ch.fhir.ig.ch-vacd.json	130933	-	0	0	0	0	0	0	7	108	0	0	0	0	0	0	0	1	0	0	354	207	0	0	0	10	0	8
fsh-generated/resources/AllergyIntolerance-11-1-AllergyIntolerance.json	878	2	0	0	0	1	0	0	0	279	0	0	0	0	0	0	0	0	0	0	11	22	0	0	0	0	0	0
fsh-generated/resources/AllergyIntolerance-11-2-AllergyIntolerance.json	873	1	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	10	7	0	0	0	0	0	0
fsh-generated/resources/AllergyIntolerance-11-3-AllergyIntolerance.json	878	2	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	12	6	0	0	0	0	0	0
fsh-generated/resources/AllergyIntolerance-11-4-AllergyIntolerance.json	873	1	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	9	5	0	0	0	0	0	0
fsh-generated/resources/AllergyIntolerance-TCB01-ALLINTO1.json	1223	3	0	0	0	0	0	0	0	6	0	0	0	0	0	0	0	0	0	0	9	6	0	0	0	0	0	1
fsh-generated/resources/AllergyIntolerance-TCF02-ALLINTO1.json	1118	2	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	9	7	0	0	0	0	0	0
fsh-generated/resources/AllergyIntolerance-TCF02-ALLINTO2.json	2231	8	0	0	0	0	0	0	1	17	0	0	0	0	0	0	0	0	0	0	12	7	0	0	0	0	0	0
fsh-generated/resources/AllergyIntolerance-TCF02-ALLINTO3.json	1389	2	0	0	0	0	0	0	0	6	0	0	0	0	0	0	0	0	0	0	12	6	0	0	0	0	0	0
fsh-generated/resources/Binary-originalRepresentation1.json	84568	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	127	28	0	0	0	0	0	0
fsh-generated/resources/Bundle-1-1-ImmunizationAdministration.json	19800	8	1	0	0	0	19	0	0	29	0	0	0	0	0	0	0	0	0	0	41	19	0	0	0	0	0	0
fsh-generated/resources/Bundle-1-3-VaccinationRecord.json	73608	22	0	0	0	0	21	0	1	67	0	0	0	0	0	0	0	0	0	0	138	36	0	0	0	0	0	0
fsh-generated/resources/Bundle-1-4-ImmunizationRecommendationRequest.json	30063	17	0	0	0	0	10	0	0	152	0	0	0	0	0	0	0	1	0	0	86	37	0	0	0	0	0	1
fsh-generated/resources/Bundle-1-5-ImmunizationRecommendationResponse.json	8909	5	0	0	0	0	13	0	0	12	0	0	0	0	0	0	0	0	0	0	27	14	0	0	0	0	0	0
fsh-generated/resources/Bundle-A-D1-P-C1.json	14488	8	0	0	0	0	5	0	1	28	0	0	0	0	0	0	0	0	0	0	35	16	0	0	0	0	0	0
fsh-generated/resources/Bundle-A-D2-HCP1-C1.json	12279	7	0	0	0	0	3	0	0	6	0	0	0	0	0	0	0	0	0	0	29	13	0	0	0	0	0	0
fsh-generated/resources/Bundle-A-D3-HCP2-C2.json	15259	8	0	0	0	0	3	0	0	8	0	0	0	0	0	0	0	0	0	0	36	17	0	0	0	0	0	0
fsh-generated/resources/Bundle-A-D4-HCP2-C2.json	15592	9	1	0	0	0	4	0	1	7	0	0	0	0	0	0	0	0	0	0	40	16	0	0	0	0	0	1
fsh-generated/resources/Bundle-A-D5-P-C1.json	16216	9	0	0	0	0	3	0	0	9	0	0	0	0	0	0	0	0	0	0	43	16	0	0	0	0	0	0
fsh-generated/resources/Bundle-A-D6-HCP1-C1.json	19796	12	0	0	0	0	49	0	0	11	0	0	0	0	0	0	0	0	0	0	46	24	0	0	0	0	0	0
