Source File	Size	loadResources	load	generateSnapshots	load-configure	scan	loadDepInfo	loadInfo	checkR4R4B	generateNarratives	validate	loadLists	checkConformanceResources	checkConformanceResources2	checkConformanceResources3	generateLogicalMaps	validateExpressions	scanForUsageStats	checkURLsUnique	processProvenanceDetails	generate1	generate2	generateLogicals	makeDependencies	generateExampleZip	generateValidationPack	scanProfilesForR5	scanExamplesForR5
/fsh-generated/resources/ImplementationGuide-ch.fhir.ig.ch-vacd.json	127355	-	0	0	0	0	0	0	13	607	0	0	0	0	0	0	0	2	0	0	371	346	0	0	0	13	0	2
fsh-generated/resources/AllergyIntolerance-11-1-AllergyIntolerance.json	1098	5	0	0	1	0	0	0	0	603	0	0	0	0	0	0	0	0	0	0	20	16	0	0	0	0	0	0
fsh-generated/resources/AllergyIntolerance-11-2-AllergyIntolerance.json	1093	3	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	18	9	0	0	0	0	0	0
fsh-generated/resources/AllergyIntolerance-11-3-AllergyIntolerance.json	1098	3	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	20	10	0	0	0	0	0	0
fsh-generated/resources/AllergyIntolerance-11-4-AllergyIntolerance.json	1093	3	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	16	8	0	0	0	0	0	0
fsh-generated/resources/AllergyIntolerance-TCB01-ALLINTO1.json	1207	4	0	0	0	0	1	0	0	4	0	0	0	0	0	0	0	0	0	0	15	9	0	0	0	0	0	0
fsh-generated/resources/AllergyIntolerance-TCF02-ALLINTO1.json	1102	4	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	18	9	0	0	0	0	0	0
fsh-generated/resources/AllergyIntolerance-TCF02-ALLINTO2.json	2199	4	0	0	0	0	0	0	1	3	0	0	0	0	0	0	0	0	0	0	21	11	0	0	0	0	0	0
fsh-generated/resources/AllergyIntolerance-TCF02-ALLINTO3.json	1373	3	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	17	15	0	0	0	0	0	0
fsh-generated/resources/Binary-1-1-ImmunizationAdministration-Binary.json	181014	4	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	251	43	0	0	0	0	0	0
fsh-generated/resources/Binary-originalRepresentation1.json	84568	4	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	106	19	0	0	0	0	0	0
fsh-generated/resources/Bundle-1-1-ImmunizationAdministration.json	202286	6	62	0	0	0	0	0	0	14	0	0	0	0	0	0	0	0	0	0	238	46	0	0	0	0	0	0
fsh-generated/resources/Bundle-1-3-VaccinationRecord.json	78387	9	25	0	0	0	0	0	2	309	0	0	0	0	0	0	0	0	0	0	126	137	0	0	0	0	0	1
fsh-generated/resources/Bundle-1-4-ImmunizationRecommendationRequest.json	34604	6	12	0	0	0	0	0	1	62	0	0	0	0	0	0	0	0	0	0	93	88	0	0	0	0	0	0
fsh-generated/resources/Bundle-1-5-ImmunizationRecommendationResponse.json	8957	4	10	0	0	0	0	0	0	26	0	0	0	0	0	0	0	0	0	0	35	28	0	0	0	0	0	0
fsh-generated/resources/Bundle-A-D1-P-C1.json	14776	4	8	0	0	0	0	0	1	3890	0	0	0	0	0	0	0	0	0	0	39	35	0	0	0	0	0	0
fsh-generated/resources/Bundle-A-D2-HCP1-C1.json	12579	5	4	0	0	1	0	0	0	7	0	0	0	0	0	0	0	0	0	0	38	32	0	0	0	0	0	0
fsh-generated/resources/Bundle-A-D3-HCP2-C2.json	15543	5	4	0	0	0	0	0	1	9	0	0	0	0	0	0	0	0	0	0	48	37	0	0	0	0	0	0
fsh-generated/resources/Bundle-A-D4-HCP2-C2.json	15876	4	4	0	1	0	0	0	0	9	0	0	0	0	0	0	0	0	0	0	46	39	0	0	0	0	0	0
fsh-generated/resources/Bundle-A-D5-P-C1.json	16379	5	3	0	0	0	0	0	1	9	0	0	0	0	0	0	0	0	0	0	46	37	0	0	0	0	0	0
fsh-generated/resources/Bundle-A-D6-HCP1-C1.json	19791	5	6	0	0	0	0	0	0	9	0	0	0	0	0	0	0	1	0	0	38	38	0	0	0	0	0	0
fsh-generated/resources/Bundle-B-D1-HCP1-C1.json	21851	6	4	0	0	0	0	0	1	14	0	0	0	0	0	0	0	0	0	0	46	53	0	0	0	0	0	1
fsh-generated/resources/Bundle-B-D2-HCP1-C1.json	10329	4	3	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	32	27	0	0	0	0	0	0
fsh-generated/resources/Bundle-B-D3-HCP1-C1.json	10429	5	2	0	0	0	0	0	1	4	0	0	0	0	0	0	0	0	0	0	27	27	0	0	0	0	0	0
fsh-generated/resources/Bundle-B-D4-HCP1-C1.json	10375	4	3	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	22	26	0	0	0	0	0	0
fsh-generated/resources/Bundle-B-D5-HCP1-C1.json	11649	4	3	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	24	27	0	0	0	0	0	0
fsh-generated/resources/Bundle-B-D6-HCP1-C1.json	10535	5	3	0	1	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	23	30	0	0	0	0	0	0
fsh-generated/resources/Bundle-C-D1-P-C1.json	16466	4	3	0	0	0	0	0	1	8	0	0	0	0	0	0	0	0	0	0	31	36	0	0	0	0	0	0
fsh-generated/resources/Bundle-C-D2-HCP1-C1.json	19789	5	5	0	0	0	0	0	0	9	0	0	0	0	0	0	0	0	0	0	38	38	0	0	0	0	0	0
fsh-generated/resources/Bundle-C-D3-HCP1-C1.json	11647	4	4	0	0	0	0	0	1	5	0	0	0	0	0	0	0	0	0	0	25	26	0	0	0	0	0	0
fsh-generated/resources/Bundle-C-D4-HCP2-C2.json	13592	5	3	0	0	0	0	0	0	6	0	0	0	0	0	0	0	0	0	0	30	30	0	0	0	0	0	0
fsh-generated/resources/Bundle-C-D5-HCP1-C1.json	11526	4	4	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	25	28	0	0	0	0	0	0
fsh-generated/resources/Bundle-C-D6-P-C1.json	8069	4	3	0	0	0	0	0	1	3	0	0	0	0	0	0	0	0	0	0	19	22	0	0	0	0	0	0
fsh-generated/resources/Bundle-C-D7-HCP1-C1.json	11195	4	3	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	24	27	0	0	0	0	0	0
fsh-generated/resources/Bundle-D-D1-HCP1-C1.json	22394	5	4	0	1	0	0	0	0	13	0	0	0	0	0	0	0	0	0	0	40	44	0	0	0	0	0	0
fsh-generated/resources/Bundle-D-D2-HCP2-C2.json	28213	6	4	0	0	0	0	0	1	17	0	0	0	0	0	0	0	1	0	0	52	51	0	0	0	0	0	0
